Величина,Значение
E_Hill_GPa,117.1336872354251
E_Reuss_GPa,109.1410459256491
E_Voigt_GPa,125.1263285452011
G_Hill_GPa,46.85347489417005
G_Reuss_GPa,43.65641837025966
G_Voigt_GPa,50.05053141808044
K_Hill_GPa,78.08912482361676
K_Reuss_GPa,72.7606972837661
K_Voigt_GPa,83.41755236346741
K_over_G_Hill,1.666666666666667
nu_Hill,0.25
