,"Время, ч","AL, матрица, ат.%","CR, матрица, ат.%","NI, матрица, ат.%"
0,0,9.8000000000000007,8.3000000000000007,81.899999999999991
1,2.7805555555555557e-06,9.8000000000000007,8.3000000000000007,81.899999999999991
2,5.5638916666666669e-06,9.7999840314318618,8.3000061312216147,81.900009837346516
3,5.6168677722938729e-06,9.7944566824644426,8.3021297506968494,81.903413566838708
4,5.6704390695941565e-06,9.788971241549735,8.3042398742704933,81.906788884179775
5,5.7245991278418458e-06,9.7835272670212809,8.3063366090377162,81.910136123941001
6,5.7793426655712695e-06,9.7781243226464731,8.3084200611904571,81.913455616163063
7,5.834665458342807e-06,9.7727619788874343,8.310490335814336,81.916747685298233
8,5.890564251214678e-06,9.7674398126969955,8.3125475369227839,81.92001265038023
9,5.9470366777027679e-06,9.7621574073201725,8.3145917674912866,81.923250825188546
10,6.0040811851270588e-06,9.7569143521090655,8.3166231294886508,81.926462518402275
11,6.0616969661348291e-06,9.751710242350752,8.3186417239053387,81.929648033743902
12,6.1198838961214523e-06,9.7465446791069699,8.3206476507790761,81.932807670113945
13,6.1786424762236954e-06,9.7414172690647014,8.3226410092179535,81.935941721717342
14,6.2379737815389255e-06,9.736327624397374,8.3246218974209754,81.939050478181656
15,6.2978794142126963e-06,9.7312753626349355,8.3265904126965982,81.942134224668479
16,6.3583614610281467e-06,9.7262601065431742,8.3285466514789892,81.945193241977847
17,6.4194224551518033e-06,9.7212814840101451,8.3304907093427047,81.948227806647139
18,6.4810653416880652e-06,9.7163391279406728,8.3324226810154158,81.951238191043913
19,6.5432934467266575e-06,9.7114326761565248,8.3343426603893551,81.954224663454127
20,6.6061104495700187e-06,9.7065617713032815,8.336250740531236,81.957187488165488
21,6.6695203578567098e-06,9.7017260607615032,8.3381470136912306,81.960126925547257
22,6.7335274853226421e-06,9.6969251965660206,8.3400315713099058,81.963043232124065
23,6.7981364319409959e-06,9.6921588353241734,8.341904504025873,81.965936660649959
24,6.8633520662325611e-06,9.6874266381430836,8.3437659016811594,81.968807460175768
25,6.929179509527631e-06,9.6827282705585507,8.3456158533263203,81.971655876115122
26,6.9956241219992034e-06,9.6780634024676147,8.3474544472249068,81.97448215030748
27,7.0626914902915788e-06,9.6734317080639034,8.3492817708573668,81.977286521078724
28,7.1303874165847505e-06,9.6688328657765368,8.3510979109242633,81.980069223299196
29,7.1987179089722307e-06,9.6642665582106595,8.3529029533493357,81.982830488440001
30,7.2676891730003569e-06,9.6597324720911342,8.3546969832819169,81.985570544626952
31,7.3373076042690965e-06,9.6552302982079503,8.3564800850991308,81.98828961669291
32,7.4075797819900395e-06,9.6507597313637135,8.3582523424078481,81.990987926228428
33,7.4785124634007978e-06,9.6463204703231575,8.3600138380462798,81.993665691630554
34,7.5501125789592593e-06,9.6419122177639203,8.3617646540855137,81.996323128150578
35,7.6223872282365483e-06,9.6375346802296153,8.3635048718307132,81.998960447939666
36,7.6953436764420312e-06,9.6331875680835459,8.3652345718222545,82.001577860094201
37,7.7689893515199212e-06,9.6288705954646137,8.36695383383673,82.004175570698663
38,7.8433318417641191e-06,9.6245834802438797,8.3686627368878046,82.006753782868316
39,7.9183788938964868e-06,9.6203259439827153,8.3703613592270347,82.009312696790246
40,7.9941384115666624e-06,9.616097711892138,8.3720497783444845,82.011852509763372
41,8.0706184542423798e-06,9.6118985127928909,8.373728070969495,82.014373416237603
42,8.1478272364343351e-06,9.6077280790771429,8.3753963130711089,82.016875607851745
43,8.2257731272445178e-06,9.6035861466706312,8.3770545798586706,82.019359273470698
44,8.3044646501975587e-06,9.5978022738971109,8.3793176998918835,82.022880026211013
45,8.3871103901599439e-06,9.5920787735493693,8.3815580669026328,82.026363159547998
46,8.4735916416793146e-06,9.5864109627107528,8.3837792464118213,82.029809790877422
47,8.5637845404656711e-06,9.5807977417946741,8.3859817144520434,82.033220543753288
48,8.6575587420235013e-06,9.5752381881073028,8.3881657531967271,82.036596058695977
49,8.7547814375140227e-06,9.5697314218366323,8.3903316310747869,82.039936947088577
50,8.8553209917264588e-06,9.5642766032061033,8.3924796036404423,82.043243793153451
51,8.95904994251935e-06,9.5588729294829733,8.3946099145080062,82.046517156009031
52,9.0658473498817065e-06,9.5535196319576343,8.3967227963259834,82.04975757171637
53,9.1756005273753768e-06,9.5482159729970952,8.3988184717497685,82.052965555253138
54,9.2882062185209699e-06,9.5429612432511544,8.4008971543806741,82.056141602368172
55,9.4035712972921861e-06,9.5377547590785845,8.40295904964416,82.059286191277252
56,9.52161307771771e-06,9.5325958601243084,8.4050043556190133,82.062399784256684
57,9.6422593158765045e-06,9.5274839072968689,8.4070332637544816,82.06548282894866
58,9.7654479797607637e-06,9.5224196147199933,8.4090454603579374,82.068534924922076
59,9.8911224269422063e-06,9.5174030827829803,8.4110408246055197,82.071556092611502
60,1.0019233124344539e-05,9.5124337560871428,8.4130195338784208,82.07454671003444
61,1.014973937655579e-05,9.5075111094208484,8.4149817390691162,82.077507151510034
62,1.0282608663515108e-05,9.5026346299092737,8.416927587500016,82.080437782590707
63,1.0417816008815102e-05,9.4978038164823566,8.4188572231771683,82.083338960340484
64,1.0555343356723262e-05,9.4930181795094786,8.4207707869035939,82.086211033586935
65,1.0695178972406014e-05,9.4882772404988973,8.422668416368289,82.089054343132801
66,1.0837316875070625e-05,9.4835805318492845,8.4245502462155919,82.091869221935127
67,1.0981756309867866e-05,9.4789275966428015,8.4264164080986657,82.094655995258535
68,1.1128501261428311e-05,9.4743179884720252,8.4282670307198124,82.097414980808153
69,1.1277560009827118e-05,9.4697512712936618,8.4301022398604175,82.100146488845922
70,1.1428944728235545e-05,9.4652270193038603,8.4319221584023278,82.102850822293803
71,1.158267112049411e-05,9.4607448168311432,8.4337269063423168,82.105528276826533
72,1.1738758096227661e-05,9.4563042582425449,8.4355166008011313,82.10817914095631
73,1.1897227480713579e-05,9.4519049478738015,8.4372913560252734,82.11080369610093
74,1.2058026758767228e-05,9.4475483048538234,8.4390505499098865,82.113401145236281
75,1.2221175539576556e-05,9.4432340152768095,8.4407942679875294,82.115971716735658
76,1.2386698959929235e-05,9.4389616933927272,8.4425226218776697,82.118515684729616
77,1.255462394242794e-05,9.4347309633742729,8.4442357202077272,82.121033316418007
78,1.272497903088602e-05,9.4291251431837448,8.4464705488565599,82.124404307959693
79,1.2905278390149818e-05,9.4235986039701309,8.4486725682666073,82.127728827763264
80,1.3095115370319183e-05,9.4181438782247504,8.4508482091876633,82.131007912587577
81,1.3294094566779177e-05,9.4127597694649161,8.4529981799459986,82.13424205058908
82,1.3501821562139142e-05,9.4074454399199627,8.4551227244424521,82.137431835637585
83,1.3717916478549278e-05,9.4022000765287821,8.4572220792518973,82.140577844219322
