,"Время, ч","AL, матрица на границе, ат.%","AL, выделение на границе, ат.%","CR, матрица на границе, ат.%","CR, выделение на границе, ат.%"
0,0,8.4710586868229178,19.556236342772834,8.781798351413407,4.7629449477266235
1,2.7805555555555557e-06,8.4710586868228415,19.556236342772788,8.7817983514133857,4.7629449477266599
2,5.5638916666666669e-06,8.471058550146461,19.556236196196245,8.7817987714271215,4.7629451333206205
3,5.6168677722938729e-06,8.4710107131224071,19.556184894183563,8.781945777767568,4.7630100915700888
4,5.6704390695941565e-06,8.4709622311211774,19.556132900626899,8.7820947674985241,4.7630759256103392
5,5.7245991278418458e-06,8.4709131256121388,19.556080238556653,8.7822456746947548,4.7631426062866682
6,5.7793426655712695e-06,8.4708634176055604,19.556026930510644,8.7823984348420883,4.7632101050682669
7,5.834665458342807e-06,8.4708131275506133,19.555972998424807,8.7825529851459034,4.7632783941856838
8,5.890564251214678e-06,8.4707622753554475,19.555918463654628,8.7827092644754057,4.763347446604616
9,5.9470366777027679e-06,8.4707108804013362,19.555863346990311,8.7828672133153898,4.7634172360061502
10,6.0040811851270588e-06,8.470658961559991,19.555807668675577,8.7830267737162568,4.7634877367632766
11,6.0616969661348291e-06,8.4706065372077735,19.555751448422562,8.7831878892487296,4.7635589239218419
12,6.1198838961214523e-06,8.4705536252393987,19.555694705426792,8.783350504960314,4.7636307731812737
13,6.1786424762236954e-06,8.4705002430828245,19.555637458382989,8.7835145673332988,4.7637032608753298
14,6.2379737815389255e-06,8.470446407711977,19.555579725498752,8.7836800242439157,4.7637763639543573
15,6.2978794142126963e-06,8.4703921356581287,19.555521524506855,8.783846824925055,4.763850059969414
16,6.3583614610281467e-06,8.4703374430232454,19.555462872679591,8.7840149199287652,4.7639243270547533
17,6.4194224551518033e-06,8.470282345491654,19.555403786840877,8.784184261089715,4.7639991439120433
18,6.4810653416880652e-06,8.4702268583396414,19.555344283377167,8.7843548014930946,4.7640744897966343
19,6.5432934467266575e-06,8.4701709964484522,19.555284378250999,8.7845264954382056,4.7641503445005924
20,6.6061104495700187e-06,8.4701147743126022,19.555224087009861,8.7846992984096364,4.7642266883409574
21,6.6695203578567098e-06,8.4700582060523004,19.555163424799979,8.784873167043628,4.7643035021434121
22,6.7335274853226421e-06,8.4700013054211762,19.555102406373969,8.7850480590993474,4.7643807672312333
23,6.7981364319409959e-06,8.4699440858163939,19.555041046102165,8.7852239334299878,4.7644584654116651
24,6.8633520662325611e-06,8.4698865602887903,19.554979357983321,8.7854007499529736,4.7645365789624723
25,6.929179509527631e-06,8.4698287415505398,19.554917355652886,8.7855784696239372,4.7646150906211888
26,6.9956241219992034e-06,8.4697706419846259,19.554855052393034,8.7857570544090198,4.7646939835723332
27,7.0626914902915788e-06,8.4697122736534052,19.554792461141961,8.7859364672594698,4.7647732414360799
28,7.1303874165847505e-06,8.4696536483060871,19.554729594501964,8.7861166720862247,4.7648528482575854
29,7.1987179089722307e-06,8.4695947773875151,19.554666464748781,8.7862976337355967,4.7649327884954902
30,7.2676891730003569e-06,8.4695356720456001,19.554603083839485,8.78647931796454,4.7650130470117551
31,7.3373076042690965e-06,8.4694763431387639,19.554539463420646,8.7866616914184181,4.7650936090611546
32,7.4075797819900395e-06,8.469416801243435,19.554475614836321,8.7868447216080856,4.7651744602816306
33,7.4785124634007978e-06,8.4693570566614707,19.554411549135832,8.7870283768870667,4.7652555866839661
34,7.5501125789592593e-06,8.4692971194271909,19.55434727708165,8.7872126264307422,4.7653369746422491
35,7.6223872282365483e-06,8.4692369993136207,19.554282809155747,8.7873974402156474,4.7654186108854883
36,7.6953436764420312e-06,8.4691767058394536,19.554218155567337,8.7875827889983213,4.7655004824877452
37,7.7689893515199212e-06,8.4691162482759683,19.554153326260149,8.787768644296424,4.7655825768595923
38,7.8433318417641191e-06,8.4690556356525359,19.554088330918386,8.7879549783679796,4.7656648817395419
39,7.9183788938964868e-06,8.4689948767638317,19.554023178974379,8.7881417641928952,4.7657473851852536
40,7.9941384115666624e-06,8.4689339801742474,19.553957879613517,8.7883289754567624,4.7658300755668677
41,8.0706184542423798e-06,8.4688729542259722,19.553892441782715,8.7885165865286332,4.7659129415565511
42,8.1478272364343351e-06,8.4688118070426057,19.553826874194318,8.7887045724469974,4.76599597212304
43,8.2257731272445178e-06,8.4687505465352775,19.553761185332807,8.7888929089020529,4.766079156523495
44,8.3044646501975587e-06,8.4686857787473837,19.553691735923802,8.7890920303109699,4.7661671033387867
45,8.3871103901599439e-06,8.4686213900356169,19.55362269326141,8.7892899886697258,4.766254535363359
46,8.4735916416793146e-06,8.468556643434983,19.553553267113639,8.7894890497215918,4.766342453305656
47,8.5637845404656711e-06,8.4684915083274497,19.553483424654107,8.7896893076420817,4.7664308987404169
48,8.6575587420235013e-06,8.4684260052428524,19.55341318790126,8.7898906993552277,4.7665198437898217
49,8.7547814375140227e-06,8.4683601539716431,19.553342578080247,8.790093164053344,4.7666092615797426
50,8.8553209917264588e-06,8.4682939736331875,19.553271615696431,8.7902966429930238,4.7666991261480396
51,8.95904994251935e-06,8.4682274827333721,19.553200320597121,8.7905010793105607,4.7667894123649068
52,9.0658473498817065e-06,8.468160699215959,19.553128712026425,8.7907064178704069,4.7668800958643978
53,9.1756005273753768e-06,8.4680936405011007,19.553056808666785,8.7909126051437685,4.7669711529914709
54,9.2882062185209699e-06,8.4680263235149926,19.552984628670835,8.7911195891170859,4.7670625607616355
55,9.4035712972921861e-06,8.4679587647144317,19.552912189687426,8.7913273192196844,4.7671542968283456
56,9.52161307771771e-06,8.4678909801056879,19.552839508882233,8.7915357462619941,4.7672463394563369
57,9.6422593158765045e-06,8.4678229852533082,19.552766602946893,8.7917448224107027,4.7673386675104794
58,9.7654479797607637e-06,8.467754801144995,19.552693494387754,8.7919544831550667,4.7674312524917317
59,9.8911224269422063e-06,8.4676864604906257,19.552620218279344,8.7921646279354668,4.7675240499841012
60,1.0019233124344539e-05,8.4676179723633691,19.552546784352153,8.7923752288688313,4.7676170476667412
61,1.014973937655579e-05,8.4675493519260971,19.552473208865997,8.792586239348239,4.7677102249505507
62,1.0282608663515108e-05,8.4674806139710199,19.552399507682821,8.792797613899026,4.7678035617488446
63,1.0417816008815102e-05,8.4674117728999416,19.552325696245827,8.793009308249701,4.7678970385060495
64,1.0555343356723262e-05,8.4673428427300905,19.552251789585654,8.7932212793062465,4.7679906361882249
65,1.0695178972406014e-05,8.4672738371042993,19.552177802331229,8.7934334851252682,4.7680843362701699
66,1.0837316875070625e-05,8.4672047692987729,19.552103748718114,8.7936458848875638,4.7681781207243477
67,1.0981756309867866e-05,8.4671356522333472,19.552029642599653,8.7938584388690035,4.7682719720073639
68,1.1128501261428311e-05,8.4670664984801114,19.551955497455932,8.7940711084117442,4.768365873047939
69,1.1277560009827118e-05,8.4669973202731779,19.551881326404512,8.7942838558949958,4.7684598072336106
70,1.1428944728235545e-05,8.4669281295201149,19.551807142212795,8.7944966447029707,4.7685537583958419
71,1.158267112049411e-05,8.4668589378091177,19.551732957305298,8.7947094391962946,4.7686477107990948
72,1.1738758096227661e-05,8.466789756422795,19.551658783778834,8.7949222046772171,4.7687416491235739
73,1.1897227480713579e-05,8.4667205963449064,19.551584633409544,8.7951349073626108,4.7688355584546827
74,1.2058026758767228e-05,8.4666514987162937,19.551510550306308,8.795347420719116,4.7689293829293726
75,1.2221175539576556e-05,8.466582474078912,19.551436545770812,8.7955597123167042,4.7690231082334016
76,1.2386698959929235e-05,8.4665135329736767,19.551362631103437,8.7957717497261587,4.7691167200538498
77,1.255462394242794e-05,8.4664446856985869,19.551288817343917,8.7959835012636525,4.7692102044076741
78,1.272497903088602e-05,8.4663672104457834,19.551205753573093,8.7962217928639319,4.7693154042006043
79,1.2905278390149818e-05,8.4662913531382564,19.551124424833063,8.7964551114604053,4.769418406993899
80,1.3095115370319183e-05,8.4662156602870873,19.551043272784661,8.796687927513533,4.7695211864086966
81,1.3294094566779177e-05,8.466140023990091,19.55096218174176,8.7969205728940931,4.7696238889600933
82,1.3501821562139142e-05,8.4660644667954177,19.550881175877766,8.797152978239934,4.7697264840314695
83,1.3717916478549278e-05,8.4659890105937468,19.550800278660592,8.7973850762056927,4.7698289418987985
84,1.3942024963407556e-05,8.4659136766576921,19.550719512895252,8.7976168013443967,4.7699312336774842
85,1.417382552175711e-05,8.4658384857164481,19.550638900803648,8.7978480898752824,4.7700333312206888
86,1.4413033708701367e-05,8.4657634580213781,19.55055846409498,8.7980788794868197,4.7701352070308314
87,1.4659403805486969e-05,8.4656886133957698,19.550478224019198,8.7983091091788506,4.7702368341914818
88,1.4912728606193718e-05,8.4656139712789091,19.550398201414136,8.7985387191286382,4.7703381863075203
89,1.5172837879425509e-05,8.4655395399979145,19.550318405204248,8.7987676836956901,4.7704392520727747
90,1.5439611639458254e-05,8.4654653212986997,19.55023883725821,8.7989959974812173,4.7705400291169964
91,1.5712961100932107e-05,8.4653913418852245,19.550159526201377,8.7992235783095989,4.7706404811812053
92,1.599282574658794e-05,8.4653176190518487,19.550080490571005,8.7994503729475522,4.7707405847831685
93,1.6279170446137013e-05,8.4652441698453309,19.550001748638504,8.799676328919988,4.7708403167768045
94,1.6571982539131765e-05,8.4651710111049496,19.54992331845256,8.7999013943878275,4.770939654297897
95,1.6871269106046418e-05,8.4650981594761809,19.549845217853825,8.8001255181059239,4.7710385747455089
96,1.7177054462612424e-05,8.4650256314229448,19.54976746448795,8.8003486493842242,4.7711370557651218
97,1.748937788877428e-05,8.46495344324196,19.549690075821179,8.8005707380443816,4.7712350752292405
98,1.7808291588141771e-05,8.4648816110768514,19.549613069155118,8.800791734378743,4.7713326112188241
99,1.8133858864460336e-05,8.4648101509300435,19.549536461639978,8.8010115891085672,4.7714296420059341
100,1.8466152496262229e-05,8.4647390786783951,19.549460270290936,8.8012302533411724,4.7715261460336267
101,1.8805218463895978e-05,8.464668416745635,19.549384519141245,8.8014476580375067,4.7716220928552575
102,1.9150943082232111e-05,8.46459821731343,19.54930926412489,8.8016636425982941,4.7717174116182264
103,1.9503405437786584e-05,8.4645284926381272,19.549234518374426,8.8018781692577033,4.7718120856817698
104,1.9862688056891265e-05,8.4644588894488599,19.549159903174921,8.8020923249129748,4.7719065947275503
105,2.0249928183909956e-05,8.4643657038567532,19.549060007937673,8.802379043443743,4.7720331244864607
106,2.0659503843945186e-05,8.4642894496930445,19.548978263664686,8.8026136701325139,4.7721366642415219
107,2.1089843040689122e-05,8.4642140386654461,19.548897423604654,8.8028457058529685,4.7722390590943586
108,2.1539879607091342e-05,8.4641394831117029,19.548817500971101,8.8030751125303315,4.772340292294416
109,2.2008644918515177e-05,8.4640658059530089,19.548738520322669,8.8033018195273627,4.7724403327215716
110,2.2495285094264979e-05,8.4639930301771855,19.548660506289099,8.8035257559960396,4.7725391491647162
111,2.2999066013802617e-05,8.463921179166082,19.548583483922265,8.8037468498738534,4.7726367098778315
112,2.3519369549994572e-05,8.4638502768891613,19.54850747890357,8.8039650272901167,4.7727329823176436
113,2.4055684244995153e-05,8.4637803460551311,19.548432515562826,8.8041802182486517,4.7728279356521224
114,2.4607607549487116e-05,8.4637113852333759,19.5483585923531,8.8043924270351006,4.7729215718263793
115,2.5174861100129159e-05,8.4636434110847869,19.548285727121069,8.8046016022633964,4.7730138682203993
116,2.5757226676154952e-05,8.4635764608815496,19.548213959807487,8.8048076291199155,4.7731047742280666
117,2.6354537704092127e-05,8.463510561816717,19.548143319548284,8.8050104238044238,4.7731942529290787
118,2.6966668215054794e-05,8.4634457414783935,19.548073835902787,8.8052099012967275,4.7732822668662207
119,2.7593522568463401e-05,8.4633820277051885,19.548005538698551,8.8054059758047831,4.7733687782425083
120,2.8235026412366153e-05,8.4633194484269474,19.547938457860589,8.8055985612544152,4.7734537491373041
121,2.8891118821062302e-05,8.4632580315014074,19.547872623236508,8.8057875717905514,4.7735371417276413
122,2.9561745517517576e-05,8.4631978045485177,19.547808064418877,8.8059729222892074,4.7736189185136553
123,3.0246853077657747e-05,8.4631387947794465,19.54774481056171,8.8061545288811445,4.7736990425503629
124,3.0946384015429358e-05,8.4630810288257248,19.54768289019783,8.8063323094821779,4.7737774776800306
125,3.1660204603450351e-05,8.4630245374458397,19.547622336283489,8.806506169303967,4.773854182141104
126,3.2387819806200457e-05,8.4629693731183178,19.54756320505685,8.8066759467113584,4.773929084680784
127,3.3129119117829188e-05,8.4629155536547227,19.547505515595752,8.8068415867594307,4.7740021611172123
128,3.3883974856915828e-05,8.4628624473780967,19.547448590790477,8.80700503346233,4.774074269147528
129,3.4701164443427752e-05,8.4627861168418264,19.547366772142389,8.8072399609671699,4.7741779111586284
130,3.5563512666737192e-05,8.4627304111479589,19.547307061488926,8.8074114121506621,4.7742535486017212
131,3.6465727206996441e-05,8.4626773848039338,19.547250223005577,8.8075746184756483,4.7743255479750113
132,3.7404092128270456e-05,8.4626269695745364,19.547196183524203,8.8077297897190405,4.7743940019341222
133,3.8375278024187634e-05,8.4625791151072658,19.547144889046869,8.8078770806321849,4.7744589788523015
134,3.9376354318584608e-05,8.4625337741278841,19.547096288877249,8.8080166365130843,4.7745205429237085
135,4.0404768211771297e-05,8.4624909027278807,19.547050335928539,8.8081485923125431,4.7745787537713049
136,4.1458305356311954e-05,8.4624504599361341,19.547006986264019,8.8082730739576061,4.7746336670299332
137,4.2535043704639217e-05,8.4624124068965205,19.546966198215475,8.8083902008775716,4.7746853354620891
138,4.3633307671912782e-05,8.4623767039779203,19.54692792928579,8.8085000949018308,4.7747338128823831
139,4.4751666120634725e-05,8.462343294453742,19.546892118655002,8.8086029304928122,4.7747791763173595
140,4.5888876123516365e-05,8.462312150057393,19.546858736010194,8.8086987945240427,4.7748214641500502
141,4.7043821344906709e-05,8.4622832362891955,19.546827744358467,8.8087877930677703,4.774860723227067
142,4.8215493354464037e-05,8.4622565143401438,19.546799102089242,8.8088700454696642,4.7748970062454275
143,4.9402974917702766e-05,8.4622319430115009,19.546772765031839,8.8089456784429991,4.7749303691468761
144,5.0605427191616887e-05,8.4622094785458923,19.546748686274,8.8090148265877719,4.7749608713472984
145,5.1822080236655623e-05,8.4621890745875099,19.546726816119726,8.8090776325108582,4.774988575789977
146,5.3052226100539658e-05,8.4621706822583995,19.546707102170497,8.8091342465940325,4.7750135488432068
147,5.4295213836747159e-05,8.4621542503221825,19.546689489501169,8.8091848264860158,4.7750358600767342
148,5.555044593220339e-05,8.4621397254199806,19.546673920912323,8.8092295363788402,4.7750555819423912
149,5.6817375723102297e-05,8.4621270523535888,19.546660337234218,8.8092685461338718,4.7750727893891467
150,5.8095505470772713e-05,8.4621161744017339,19.546648677665402,8.8093020303090075,4.7750875594338744
151,5.938438484900443e-05,8.4621070336519164,19.546638880128317,8.8093301671342594,4.775099970710488
152,6.0683609660442303e-05,8.4620995713385501,19.546630881631888,8.8093531374751244,4.7751101030116052
153,6.1992820652978284e-05,8.4620937281692576,19.546624618621031,8.8093711238220145,4.7751180368444572
154,6.3311702347228313e-05,8.4620894446543033,19.546620027329677,8.8093843092790305,4.7751238529843603
155,6.4639981838662052e-05,8.4620866613747623,19.546617044068405,8.8093928767375456,4.7751276321102569
156,6.5977032715315085e-05,8.4620853188287359,19.546615605059113,8.809397009348757,4.7751294550139365
157,6.7322557921136892e-05,8.4620853562091138,19.546615645125271,8.80939689428455,4.77512940425897
158,6.8676415003970538e-05,8.4620867147814991,19.54661710131251,8.8093927123412303,4.7751275595947309
159,7.0038496321524579e-05,8.4620893372774653,19.546619912237674,8.8093846398048683,4.7751239987801553
160,7.1408727817209812e-05,8.4620931676218518,19.546624017797456,8.8093728492907442,4.7751187979535414
