"Время, ч","AL, матрица, ат.%","CR, матрица, ат.%","NI, матрица, ат.%"
0.001374318165591134,7.5,8.5,84.0
0.0013859324837567249,7.5,8.5,84.0
0.0013975584162404812,7.5,8.5,84.0
0.0014091959746567217,7.5,8.5,84.0
0.0014208451706313782,7.5,8.5,84.0
0.0014325060158020093,7.5,8.5,84.0
0.0014441785218178114,7.5,8.5,84.0
0.0014558627003396292,7.5,8.5,84.0
0.0014675585630399687,7.5,8.5,84.0
0.0014792661216030084,7.5,8.5,84.0
0.0014909853877246113,7.5,8.5,84.0
0.0015027163731123358,7.5,8.5,84.0
0.001514459089485448,7.5,8.5,84.0
0.0015262135485749333,7.5,8.5,84.0
0.0015379797621235083,7.5,8.5,84.0
0.0015497577418856316,7.5,8.5,84.0
0.0015615474996275172,7.5,8.5,84.0
0.0015733490471271448,7.5,8.5,84.0
0.0015851623961742722,7.5,8.5,84.0
0.0015969875585704464,7.5,8.5,84.0
0.001608824546129017,7.5,8.5,84.0
0.0016206733706751462,7.5,8.5,84.0
0.0016325340440458216,7.5,8.5,84.0
0.0016444065780898676,7.5,8.5,84.0
0.0016562909846679576,7.5,8.5,84.0
0.0016681872756526257,7.5,8.5,84.0
0.0016800954629282783,7.5,8.5,84.0
0.0016920155583912068,7.5,8.5,84.0
0.0017039475739495985,7.5,8.5,84.0
0.0017158915215235483,7.5,8.5,84.0
0.0017278474130450721,7.5,8.5,84.0
0.0017398152604581173,7.5,8.5,84.0
0.0017517950757185757,7.5,8.5,84.0
0.0017637868707942948,7.5,8.5,84.0
0.0017757906576650895,7.5,8.5,84.0
0.0017878064483227549,7.5,8.5,84.0
0.0017998342547710783,7.5,8.5,84.0
0.0018118740890258498,7.5,8.5,84.0
0.0018239259631148764,7.5,8.5,84.0
0.001835989889077992,7.5,8.5,84.0
0.0018480658789670704,7.5,8.5,84.0
0.0018601539448460382,7.5,8.5,84.0
0.0018722540987908848,7.5,8.5,84.0
0.001884366352889676,7.5,8.5,84.0
0.0018964907192425661,7.5,8.5,84.0
0.001908627209961809,7.5,8.5,84.0
0.0019207758371717711,7.5,8.5,84.0
0.0019329366130089432,7.5,8.5,84.0
0.0019451095496219525,7.5,8.5,84.0
0.00197967822008605,7.5,8.5,84.0
0.002015082818224461,7.5,8.5,84.0
0.002051761059513461,7.5,8.5,84.0
0.002089774806620531,7.5,8.5,84.0
0.002129197588795234,7.5,8.5,84.0
0.00217010824569728,7.5,8.5,84.0
0.0022125915571038247,7.5,8.5,84.0
0.0022567388061102106,7.5,8.5,84.0
0.0023026484100271355,7.5,8.5,84.0
0.0023504266256331938,7.5,8.5,84.0
0.002400188339209479,7.5,8.5,84.0
0.0024520579534090506,7.5,8.5,84.0
0.002506170385018841,7.5,8.5,84.0
0.002562672190046012,7.5,8.5,84.0
0.0026217228353312316,7.5,8.5,84.0
0.0026834961393758434,7.5,8.5,84.0
0.002748181909007397,7.5,8.5,84.0
0.0028159878034645395,7.5,8.5,84.0
0.0028871414634229105,7.5,8.5,84.0
0.0029618929495835882,7.5,8.5,84.0
0.003040517544316606,7.5,8.5,84.0
0.003123318980523674,7.5,8.5,84.0
0.0032106331751033884,7.5,8.5,84.0
0.0033028325607953493,7.5,8.5,84.0
0.0034003311304424727,7.5,8.5,84.0
0.0035035903330535257,7.5,8.5,84.0
0.0036131259929521146,7.5,8.5,84.0
0.0037295164633920842,7.5,8.5,84.0
0.0038534122772339507,7.5,8.5,84.0
0.003985547622387356,7.5,8.5,84.0
0.004126754053806025,7.5,8.5,84.0
0.004277976962584454,7.5,8.500000000000002,84.0
0.004440295464647219,7.499999999999997,8.5,84.00000000000001
0.004614946558250123,7.499999999999991,8.500000000000004,84.00000000000001
0.004803354647019987,7.499999999999972,8.50000000000001,84.00000000000001
0.00500716785628348,7.499999999999912,8.500000000000028,84.00000000000006
0.005228303017275924,7.499999999999725,8.500000000000089,84.00000000000018
0.0054690018026852865,7.499999999999139,8.500000000000272,84.00000000000058
0.005731901335739471,7.499999999997302,8.500000000000849,84.00000000000185
0.00602012376274788,7.499999999991543,8.50000000000266,84.0000000000058
0.00633739092496985,7.499999999973504,8.500000000008336,84.00000000001816
0.0066881726146878475,7.499999999916998,8.500000000026107,84.0000000000569
0.007077880299701367,7.4999999997400275,8.500000000081773,84.0000000001782
0.007513123192861959,7.499999999185867,8.50000000025608,84.00000000055805
0.008002050993835993,7.499999997450818,8.50000000080181,84.00000000174737
0.00855481894490453,7.499999992019073,8.500000002510248,84.00000000547068
0.009184228357778894,7.499999975015645,8.500000007858183,84.00000001712617
0.009906623459510966,7.49999992178914,8.500000024598583,84.00000005361228
0.01074317024268743,7.499999755160952,8.500000077003463,84.00000016783558
0.011721717629134978,7.499999233431414,8.500000241081564,84.00000052548702
0.012879569652993186,7.499997599319938,8.500000754964375,84.00000164571568
0.014267727888757532,7.4999924785555825,8.500002365195336,84.00000515624907
0.01595760205120662,7.4999764209255595,8.500007414104036,84.0000161649704
0.01805209477874854,7.499926032371289,8.500023255745916,84.00005071188279
0.02070508873983702,7.499767905017847,8.500072962604241,84.0001591323779
0.02415920060849196,7.499273091358201,8.500228483072672,84.00049842556912
