Показатель,Значение,Единица
Первое обнаружение выделений,0.0107432,ч
Максимальная объёмная доля,8.78766,%
Итоговая объёмная доля,8.78766,%
Итоговый средний радиус,15.4884,нм
Итоговая плотность частиц,5.08111e+21,1/м³
Пик скорости зарождения,6.1194e+21,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,да,—
