"Время, ч","AL, матрица на границе, ат.%","AL, выделение на границе, ат.%","CR, матрица на границе, ат.%","CR, выделение на границе, ат.%","MO, матрица на границе, ат.%","MO, выделение на границе, ат.%","NB, матрица на границе, ат.%","NB, выделение на границе, ат.%","NI, матрица на границе, ат.%","NI, выделение на границе, ат.%","TI, матрица на границе, ат.%","TI, выделение на границе, ат.%"
8.08535706072782e-05,1.2264759765495654,0.4444016109168046,24.304775313919855,1.7861821770420874,2.1102289398898866,0.5449503285584869,0.24785496764297932,16.380081567196626,49.08359234900797,73.37112057873794,0.08304162160863597,5.838246481430281
8.453159781106834e-05,1.2264759766090778,0.4444016109369174,24.304775313808186,1.7861821770390813,2.1102289398665603,0.5449503285543981,0.24785496764604353,16.380081567180635,49.083592349120174,73.37112057874742,0.08304162161067305,5.838246481433269
8.854481811340097e-05,1.2264759765423587,0.4444016108562857,24.30477531364365,1.786182176992608,2.1102289398622123,0.5449503285173944,0.2478549676383917,16.380081567031787,49.08359234909498,73.3711205787738,0.0830416216177177,5.838246481746207
9.293979856281746e-05,1.226475976673171,0.44440161104134035,24.30477531356607,1.786182177096531,2.1102289398121696,0.5449503286201637,0.24785496766222617,16.380081567468096,49.083592349140886,73.37112057865961,0.08304162160079791,5.83824648091792
9.777193953529797e-05,1.2264759765753508,0.44440161120161614,24.304775313101175,1.7861821773281987,2.110228939757003,0.5449503288115057,0.24785496770333496,16.380081568123597,49.08359234960162,73.37112057847598,0.08304162157342712,5.838246479678065
0.00010310763061097781,1.226475976513503,0.444401611561717,24.304775311434177,1.7861821777911728,2.1102289395891165,0.5449503292042708,0.24785496779996066,16.38008156939245,49.08359235106221,73.37112057812452,0.0830416215265144,5.838246477190991
0.00010902705881572718,1.2264759759546857,0.4444016130190286,24.304775306398206,1.7861821797263433,2.1102289389493265,0.5449503308278313,0.24785496816967684,16.380081574982558,49.08359235544817,73.3711205765471,0.08304162130384456,5.838246466575659
0.00011562790825133732,1.226475974736315,0.4444016174456677,24.30477529096084,1.786182185367967,2.1102289370433813,0.5449503355888871,0.24785496927157308,16.380081591272948,49.08359236899209,73.37112057198635,0.08304162066381085,5.838246435429154
0.00012303029372876694,1.2264759704710357,0.4444016311866186,24.304775242284688,1.786182203277047,2.11022893107669,0.5449503505964461,0.24785497274602467,16.380081642382564,49.08359241256438,73.37112055770626,0.08304161864944741,5.838246337576549
0.0001313834284938569,1.2264759572727395,0.44440167431928207,24.304775089864165,1.7861822591913201,2.1102289123450384,0.5449503975934347,0.2478549836118535,16.38008180279504,49.08359254737749,73.37112051279045,0.08304161233183689,5.838246030853597
0.0001408747675762365,1.2264759160067817,0.44440180945783697,24.304774612280077,1.7861824344518755,2.1102288536450575,0.5449505448164398,0.24785501766691992,16.380082305112186,49.08359297084589,73.3711203722151,0.0830415925484922,5.838245070078842
0.00015174274879560043,1.226475786719156,0.44440223269542006,24.304773116100503,1.786182983452777,2.1102286698111783,0.5449510059505149,0.2478551243421004,16.38008387828867,49.0835942980052,73.37111993198837,0.0830415305907656,5.8382420609124255
0.0001642948651882865,1.226475381943474,0.4444035586775542,24.304768428181482,1.7861847032545204,2.1102280937996962,0.5449524505578753,0.24785545853707913,16.38008880668456,49.08359845563659,73.37111855283078,0.08304133650076644,5.838232633925899
0.00017893381477117383,1.2264741136232997,0.44440771426871967,24.304753734581745,1.7861900930423775,2.1102262885168916,0.544956977907429,0.2478565059198514,16.38010425168175,49.083611487147024,73.37111423071951,0.08304072826166703,5.838203090502658
0.0001961962064830735,1.226470136429286,0.4444207441216431,24.30470765646023,1.7862069933419975,2.1102206277575375,0.5449711738466746,0.24785979013743845,16.380152678660554,49.08365235430672,73.3711006788347,0.08303882119971527,5.838110456851364
0.00021681140189196626,1.2264576557560884,0.44446163546918727,24.30456304775183,1.7862600304609548,2.1102028635628187,0.5450157246045229,0.24787009672682844,16.38030464332302,49.08378061452782,73.37105815109813,0.08303283696614988,5.8378197600767185
