Показатель,Значение,Единица
Первое обнаружение выделений,0.000140875,ч
Максимальная объёмная доля,72.7848,%
Итоговая объёмная доля,72.7848,%
Итоговый средний радиус,0.526457,нм
Итоговая плотность частиц,1.11124e+27,1/м³
Пик скорости зарождения,4.09022e+28,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,не выявлено,—
