Temperature (°C),Temperature (K),NP(LIQUID),NP(FCC_A1),"X(FCC_A1,CR)","X(FCC_A1,FE)","X(FCC_A1,NI)","X(LIQUID,CR)","X(LIQUID,FE)","X(LIQUID,NI)"
1800.0,2073.15,1.0,0.0,,,,0.16544245140364938,0.08215155175273257,0.7524059968436181
1790.0,2063.15,1.0,0.0,,,,0.16544245140353087,0.08215155175279225,0.7524059968436768
1780.0,2053.15,1.0,0.0,,,,0.1654424514034138,0.08215155175285498,0.7524059968437312
1770.0,2043.15,1.0,0.0,,,,0.16544245140329933,0.08215155175291249,0.7524059968437883
1760.0,2033.15,1.0,0.0,,,,0.16544245140317715,0.08215155175297527,0.7524059968438477
1750.0,2023.15,1.0,0.0,,,,0.16544245140305733,0.08215155175303701,0.7524059968439056
1740.0,2013.15,1.0,0.0,,,,0.16544245140294622,0.08215155175309652,0.7524059968439571
1730.0,2003.15,1.0,0.0,,,,0.1654424514028208,0.08215155175315929,0.7524059968440201
1720.0,1993.15,1.0,0.0,,,,0.16544245140269884,0.08215155175322109,0.75240599684408
1710.0,1983.15,1.0,0.0,,,,0.16544245140258523,0.08215155175328286,0.752405996844132
1700.0,1973.15,1.0,0.0,,,,0.165442451402467,0.0821515517533458,0.7524059968441873
1690.0,1963.15,1.0,0.0,,,,0.1654424514023483,0.08215155175340677,0.7524059968442448
1680.0,1953.15,1.0,0.0,,,,0.16544245140222863,0.08215155175346857,0.7524059968443026
1670.0,1943.15,1.0,0.0,,,,0.16544245140211186,0.08215155175353124,0.752405996844357
1660.0,1933.15,1.0,0.0,,,,0.16544245140199126,0.08215155175359506,0.7524059968444137
1650.0,1923.15,1.0,0.0,,,,0.1654424514018747,0.08215155175365627,0.7524059968444691
1640.0,1913.15,1.0,0.0,,,,0.16544245140175118,0.08215155175372038,0.7524059968445286
1630.0,1903.15,1.0,0.0,,,,0.16544245140163247,0.08215155175378386,0.7524059968445836
1620.0,1893.15,1.0,0.0,,,,0.16544245140151437,0.08215155175384524,0.7524059968446405
1610.0,1883.15,1.0,0.0,,,,0.16544245140139133,0.08215155175390944,0.7524059968446991
1600.0,1873.15,1.0,0.0,,,,0.16544245140127264,0.08215155175397368,0.7524059968447536
1590.0,1863.15,1.0,0.0,,,,0.16544245140115588,0.08215155175403617,0.752405996844808
1580.0,1853.15,1.0,0.0,,,,0.16544245140103964,0.08215155175409881,0.7524059968448615
1570.0,1843.15,1.0,0.0,,,,0.1654424514009115,0.08215155175416305,0.7524059968449256
1560.0,1833.15,1.0,0.0,,,,0.16544245140079725,0.08215155175422655,0.7524059968449762
1550.0,1823.15,1.0,0.0,,,,0.16544245140067387,0.08215155175429237,0.7524059968450337
1540.0,1813.15,1.0,0.0,,,,0.1654424514005586,0.08215155175435562,0.7524059968450858
1530.0,1803.15,1.0,0.0,,,,0.16544245140043337,0.08215155175441947,0.7524059968451472
1520.0,1793.15,1.0,0.0,,,,0.16544245140031802,0.08215155175448392,0.752405996845198
1510.0,1783.15,1.0,0.0,,,,0.1654424514002037,0.08215155175454843,0.7524059968452479
1500.0,1773.15,1.0,0.0,,,,0.16544245140008174,0.08215155175461361,0.7524059968453045
1490.0,1763.15,1.0,0.0,,,,0.1654424513999633,0.08215155175467685,0.7524059968453599
1480.0,1753.15,1.0,0.0,,,,0.1654424513998467,0.08215155175474062,0.7524059968454127
1470.0,1743.15,1.0,0.0,,,,0.16544245139972685,0.08215155175480626,0.752405996845467
1460.0,1733.15,1.0,0.0,,,,0.16544245139960728,0.08215155175487045,0.7524059968455223
1450.0,1723.15,1.0,0.0,,,,0.165442451399491,0.082151551754935,0.7524059968455742
1440.0,1713.15,1.0,0.0,,,,0.16544245139936745,0.08215155175500045,0.7524059968456321
1430.0,1703.15,1.0,0.0,,,,0.16544245139925431,0.0821515517550651,0.7524059968456808
1425.15625,1698.30625,2.220446049250313e-16,0.9999999999999998,0.1654424514006686,0.08215155175542167,0.7524059968439099,,,
