"Температура, °C","Доля расплава, %","CR, ат.%","CR, мас.%","FE, ат.%","FE, мас.%","NI, ат.%","NI, мас.%"
1800.0,100.0,16.54424514036494,14.999999996309455,8.215155175273257,8.000000002164256,75.24059968436181,77.00000000152627
1790.0,100.0,16.544245140353087,14.999999996298548,8.215155175279225,8.000000002169983,75.24059968436768,77.00000000153148
1780.0,100.0,16.544245140341378,14.999999996287775,8.215155175285497,8.000000002176007,75.24059968437312,77.00000000153622
1770.0,100.0,16.544245140329934,14.99999999627724,8.21515517529125,8.000000002181523,75.24059968437882,77.00000000154124
1760.0,100.0,16.544245140317713,14.999999996265991,8.215155175297527,8.000000002187548,75.24059968438476,77.00000000154645
1750.0,100.0,16.544245140305733,14.999999996254967,8.215155175303702,8.000000002193474,75.24059968439056,77.00000000155156
1740.0,100.0,16.544245140294624,14.999999996244744,8.215155175309654,8.000000002199188,75.24059968439573,77.00000000155607
1730.0,100.0,16.544245140282076,14.999999996233196,8.215155175315928,8.000000002205207,75.24059968440199,77.0000000015616
1720.0,100.0,16.544245140269883,14.999999996221975,8.215155175322108,8.000000002211136,75.24059968440801,77.00000000156689
1710.0,100.0,16.544245140258525,14.99999999621152,8.215155175328286,8.00000000221707,75.2405996844132,77.00000000157142
1700.0,100.0,16.544245140246698,14.99999999620064,8.21515517533458,8.000000002223114,75.24059968441873,77.00000000157625
1690.0,100.0,16.544245140234835,14.99999999618972,8.215155175340678,8.000000002228965,75.2405996844245,77.00000000158131
1680.0,100.0,16.544245140222866,14.999999996178701,8.215155175346858,8.000000002234895,75.2405996844303,77.0000000015864
1670.0,100.0,16.544245140211185,14.999999996167954,8.215155175353123,8.000000002240913,75.24059968443568,77.00000000159113
1660.0,100.0,16.544245140199127,14.999999996156859,8.215155175359506,8.000000002247042,75.24059968444136,77.00000000159609
1650.0,100.0,16.54424514018747,14.99999999614613,8.215155175365627,8.000000002252916,75.2405996844469,77.00000000160095
1640.0,100.0,16.544245140175114,14.999999996134763,8.215155175372036,8.000000002259073,75.24059968445283,77.00000000160617
1630.0,100.0,16.544245140163248,14.999999996123842,8.215155175378385,8.000000002265168,75.24059968445836,77.00000000161099
1620.0,100.0,16.544245140151435,14.99999999611297,8.215155175384524,8.000000002271058,75.24059968446404,77.00000000161597
1610.0,100.0,16.544245140139136,14.999999996101652,8.215155175390946,8.000000002277222,75.24059968446993,77.00000000162113
1600.0,100.0,16.544245140127263,14.999999996090729,8.215155175397367,8.000000002283393,75.24059968447536,77.00000000162588
1590.0,100.0,16.54424514011559,14.999999996079985,8.215155175403616,8.000000002289392,75.2405996844808,77.00000000163062
1580.0,100.0,16.544245140103964,14.999999996069288,8.215155175409881,8.00000000229541,75.24059968448616,77.0000000016353
1570.0,100.0,16.544245140091146,14.999999996057491,8.215155175416305,8.00000000230157,75.24059968449254,77.00000000164094
1560.0,100.0,16.544245140079724,14.99999999604698,8.215155175422655,8.000000002307672,75.24059968449762,77.00000000164535
1550.0,100.0,16.54424514006739,14.99999999603563,8.215155175429237,8.000000002313993,75.24059968450338,77.00000000165038
1540.0,100.0,16.54424514005586,14.999999996025021,8.215155175435562,8.000000002320071,75.24059968450858,77.0000000016549
1530.0,100.0,16.544245140043337,14.999999996013495,8.215155175441948,8.000000002326194,75.24059968451472,77.00000000166031
1520.0,100.0,16.5442451400318,14.999999996002886,8.215155175448393,8.000000002332392,75.24059968451981,77.00000000166473
1510.0,100.0,16.54424514002037,14.999999995992363,8.215155175454843,8.00000000233859,75.2405996845248,77.00000000166905
1500.0,100.0,16.544245140008176,14.999999995981145,8.215155175461362,8.000000002344851,75.24059968453047,77.00000000167401
1490.0,100.0,16.54424513999633,14.999999995970246,8.215155175467686,8.000000002350923,75.240599684536,77.00000000167884
1480.0,100.0,16.54424513998467,14.99999999595952,8.215155175474061,8.000000002357051,75.24059968454127,77.00000000168343
1470.0,100.0,16.544245139972684,14.999999995948487,8.215155175480625,8.000000002363356,75.24059968454668,77.00000000168815
1460.0,100.0,16.54424513996073,14.999999995937488,8.215155175487045,8.00000000236952,75.24059968455224,77.000000001693
1450.0,100.0,16.544245139949094,14.999999995926789,8.2151551754935,8.000000002375723,75.2405996845574,77.0000000016975
1440.0,100.0,16.544245139936745,14.99999999591542,8.215155175500046,8.000000002382007,75.24059968456321,77.00000000170256
1430.0,100.0,16.54424513992543,14.99999999590501,8.215155175506508,8.000000002388223,75.24059968456805,77.00000000170677
1425.15625,2.220446049250313e-14,,,,,,
