Метод,"Расчётный ликвидус, °C","T при доле твёрдого 0.01 % по траектории, °C","Температура окончания, °C",Что означает окончание,"Интервал кристаллизации, °C","Остаточный расплав в точке окончания, %",Точек расчёта,Расчёт завершён
Равновесное,1423.0078125,1429.9978953920718,1415.9375,равновесный солидус,7.0703125,0.0,40,да
Scheil–Gulliver,1423.0078125,1429.9978953920681,1336.6666666666679,достигнут критерий остаточного расплава,86.34114583333212,0.005453932516774618,53,да
