"Температура, °C","Доля расплава, %","AL, ат.%","AL, мас.%","CR, ат.%","CR, мас.%","NI, ат.%","NI, мас.%"
1800.0,100.0,,,,,,
1800.0,100.0,9.799999999342997,4.805263622025003,8.300000000946635,7.842823410381011,81.89999999971037,87.35191296759398
1790.0,100.0,9.799999998679795,4.805263621687016,8.300000001898965,7.842823411260001,81.89999999942124,87.35191296705298
1780.0,100.0,9.799999998010838,4.805263621346083,8.300000002857088,7.8428234121442575,81.89999999913206,87.35191296650967
1770.0,100.0,9.799999997335645,4.805263621001953,8.30000000382119,7.8428234130339405,81.89999999884317,87.3519129659641
1760.0,100.0,9.799999996654837,4.805263620654951,8.300000004791324,7.842823413929126,81.89999999855382,87.35191296541592
1750.0,100.0,9.799999995967813,4.805263620304761,8.300000005767387,7.842823414829687,81.8999999982648,87.35191296486555
1740.0,100.0,9.799999995274177,4.8052636199511864,8.300000006749867,7.842823415736078,81.89999999797595,87.35191296431275
1730.0,100.0,9.799999994574879,4.805263619594713,8.300000007738618,7.842823416648197,81.8999999976865,87.3519129637571
1720.0,100.0,9.799999993868738,4.8052636192347356,8.30000000873395,7.84282341756629,81.8999999973973,87.35191296319897
1710.0,100.0,9.799999993156161,4.80526361887146,8.300000009735713,7.8428234184902275,81.89999999710813,87.35191296263831
1700.0,100.0,9.799999992437074,4.805263618504851,8.300000010744233,7.842823419420318,81.89999999681869,87.35191296207483
1690.0,100.0,9.799999991711214,4.805263618134776,8.300000011759751,7.842823420356787,81.89999999652903,87.35191296150843
1680.0,100.0,9.79999999097829,4.805263617761079,8.300000012782,7.842823421299359,81.89999999623971,87.35191296093956
1670.0,100.0,9.799999990238254,4.805263617383741,8.30000001381138,7.842823422248413,81.89999999595038,87.35191296036784
1660.0,100.0,9.799999990238295,4.805263617383764,8.300000013811491,7.8428234222485225,81.89999999595022,87.35191296036771
1650.0,100.0,9.799999989483684,4.805263616998962,8.30000001485563,7.842823423211008,81.89999999566069,87.35191295979003
1640.0,100.0,9.799999988721591,4.805263616610328,8.30000001590721,7.842823424180256,81.8999999953712,87.35191295920941
1630.0,100.0,9.799999987951907,4.805263616217805,8.300000016966418,7.8428234251564435,81.89999999508169,87.35191295862576
1620.0,100.0,9.799999987174415,4.805263615821285,8.300000018033488,7.842823426139782,81.8999999947921,87.35191295803894
1610.0,100.0,9.799999986389771,4.8052636154211035,8.300000019108056,7.842823427129951,81.89999999450218,87.35191295744895
1600.0,100.0,9.799999985596678,4.805263615016592,8.300000020190938,7.8428234281276765,81.8999999942124,87.35191295685573
1590.0,100.0,9.799999984795178,4.805263614607778,8.300000021282216,7.842823429133033,81.8999999939226,87.3519129562592
1580.0,100.0,9.799999983985662,4.805263614194858,8.30000002238195,7.842823430146101,81.8999999936324,87.35191295565905
1570.0,100.0,9.79999998316746,4.805263613777489,8.30000002349012,7.842823431166829,81.89999999334242,87.3519129550557
1560.0,100.0,9.799999982340783,4.8052636133557804,8.300000024607122,7.8428234321956,81.89999999305209,87.35191295444861
1550.0,100.0,9.79999998150582,4.805263612929831,8.300000025732764,7.842823433232245,81.89999999276142,87.35191295383792
1540.0,100.0,9.799999980661426,4.805263612499051,8.3000000268678,7.842823434277429,81.89999999247077,87.3519129532235
1530.0,100.0,9.799999979808158,4.805263612063728,8.300000028011938,7.842823435330902,81.8999999921799,87.35191295260537
1520.0,100.0,9.799999978945216,4.805263611623449,8.300000029165766,7.842823436393183,81.89999999188902,87.35191295198337
1510.0,100.0,9.799999978072908,4.805263611178374,8.30000003032931,7.842823437464317,81.89999999159778,87.35191295135732
1500.0,100.0,9.799999977190508,4.805263610728132,8.300000031502876,7.842823438544561,81.8999999913066,87.35191295072731
1490.0,100.0,9.799999976298809,4.805263610273129,8.300000032686198,7.842823439633693,81.899999991015,87.35191295009318
1480.0,100.0,9.799999975397151,4.805263609813028,8.30000003387987,7.842823440732256,81.89999999072297,87.35191294945471
1470.0,100.0,9.799999974485072,4.805263609347589,8.30000003508416,7.8428234418404825,81.89999999043076,87.35191294881193
1460.0,100.0,9.799999973562349,4.805263608876699,8.300000036299277,7.8428234429585615,81.89999999013838,87.35191294816474
1450.0,100.0,9.799999972628934,4.805263608400338,8.300000037525454,7.842823444086713,81.89999998984561,87.35191294751294
1440.0,100.0,9.799999971684326,4.805263607918244,8.300000038763173,7.842823445225376,81.89999998955251,87.35191294685637
1430.0,100.0,9.799999970728694,4.805263607430507,8.300000040012284,7.842823446374414,81.89999998925902,87.35191294619507
1420.0,52.48521186715711,10.290986648809719,5.062728819149904,8.688806201780457,8.237415308781342,81.02020714940981,86.69985587206875
