"Температура, °C","Доля расплава, %","AL, ат.%","AL, мас.%","CR, ат.%","CR, мас.%","NI, ат.%","NI, мас.%"
1800.0,100.0,9.799999999342997,4.805263622025003,8.300000000946635,7.842823410381011,81.89999999971037,87.35191296759398
1790.0,100.0,9.799999999336821,4.8052636220218385,8.300000000952377,7.842823410386213,81.8999999997108,87.35191296759196
1780.0,100.0,9.799999999331371,4.805263622019046,8.30000000095797,7.842823410391304,81.89999999971067,87.35191296758966
1770.0,100.0,9.799999999324815,4.805263622015689,8.300000000964335,7.842823410397086,81.89999999971084,87.35191296758723
1760.0,100.0,9.799999999319036,4.805263622012728,8.300000000970188,7.842823410402411,81.89999999971077,87.35191296758485
1750.0,100.0,9.799999999312835,4.8052636220095515,8.300000000976313,7.842823410407976,81.89999999971086,87.35191296758246
1740.0,100.0,9.799999999306587,4.805263622006352,8.300000000982562,7.8428234104136605,81.89999999971084,87.35191296757998
1730.0,100.0,9.799999999300375,4.805263622003171,8.300000000988907,7.842823410419432,81.89999999971073,87.35191296757739
1720.0,100.0,9.799999999294212,4.805263622000015,8.300000000995128,7.842823410425091,81.89999999971066,87.35191296757489
1710.0,100.0,9.799999999287845,4.8052636219967555,8.300000001001738,7.842823410431113,81.89999999971043,87.35191296757213
1700.0,100.0,9.79999999928085,4.805263621993172,8.300000001008325,7.842823410437086,81.89999999971081,87.35191296756975
1690.0,100.0,9.799999999273778,4.805263621989549,8.30000000101542,7.842823410443535,81.89999999971081,87.35191296756692
1680.0,100.0,9.799999999266806,4.805263621985978,8.300000001022518,7.842823410449997,81.89999999971069,87.35191296756403
1670.0,100.0,9.799999999259981,4.8052636219824825,8.300000001029236,7.842823410456101,81.89999999971077,87.35191296756142
1660.0,100.0,9.799999999253087,4.805263621978952,8.300000001036407,7.842823410462634,81.8999999997105,87.35191296755842
1650.0,100.0,9.799999999244937,4.8052636219747775,8.300000001044324,7.842823410469821,81.89999999971074,87.3519129675554
1640.0,100.0,9.799999999237867,4.805263621971157,8.30000000105165,7.842823410476495,81.89999999971049,87.35191296755235
1630.0,100.0,9.799999999230616,4.805263621967445,8.300000001059106,7.842823410483284,81.89999999971027,87.35191296754927
1620.0,100.0,9.79999999922275,4.805263621963416,8.30000000106683,7.842823410490299,81.89999999971042,87.35191296754627
1610.0,100.0,9.799999999214883,4.805263621959386,8.300000001074816,7.842823410497567,81.89999999971029,87.35191296754304
1600.0,100.0,9.799999999207019,4.805263621955361,8.300000001082877,7.842823410504907,81.89999999971009,87.35191296753973
1590.0,100.0,9.799999999198516,4.805263621951004,8.30000000109126,7.842823410512521,81.89999999971023,87.35191296753648
1580.0,100.0,9.799999999190613,4.805263621946958,8.300000001099475,7.842823410520006,81.89999999970992,87.35191296753304
1570.0,100.0,9.799999999181743,4.805263621942416,8.300000001108348,7.842823410528074,81.8999999997099,87.35191296752951
1560.0,100.0,9.79999999917343,4.805263621938159,8.300000001117013,7.842823410535966,81.89999999970956,87.35191296752586
1550.0,100.0,9.79999999916486,4.805263621933772,8.300000001125785,7.842823410543954,81.89999999970937,87.35191296752228
1540.0,100.0,9.799999999155405,4.805263621928928,8.30000000113499,7.842823410552311,81.8999999997096,87.35191296751876
1530.0,100.0,9.799999999146776,4.805263621924511,8.300000001144316,7.842823410560822,81.89999999970891,87.35191296751466
1520.0,100.0,9.799999999137667,4.805263621919848,8.300000001153833,7.842823410569495,81.89999999970851,87.35191296751066
1510.0,100.0,9.799999999127685,4.805263621914734,8.300000001163497,7.842823410578268,81.89999999970881,87.35191296750699
1500.0,100.0,9.799999999117826,4.8052636219096865,8.300000001173604,7.842823410587471,81.89999999970856,87.35191296750284
1490.0,100.0,9.799999999107879,4.805263621904591,8.300000001183577,7.842823410596539,81.89999999970856,87.35191296749886
1480.0,100.0,9.799999999098072,4.805263621899571,8.300000001193764,7.842823410605816,81.89999999970817,87.3519129674946
1470.0,100.0,9.79999999908752,4.8052636218941664,8.300000001204328,7.8428234106154235,81.89999999970816,87.3519129674904
1460.0,100.0,9.799999999076894,4.805263621888728,8.300000001215412,7.842823410625524,81.89999999970769,87.35191296748575
1450.0,100.0,9.799999999066515,4.805263621883414,8.30000000122633,7.842823410635476,81.89999999970715,87.3519129674811
1440.0,100.0,9.7999999990554,4.805263621877722,8.300000001237523,7.842823410645656,81.89999999970709,87.35191296747664
1430.0,100.0,9.7999999990445,4.805263621872142,8.300000001248971,7.842823410656089,81.89999999970652,87.35191296747176
1420.0,52.48521177943055,10.290986680701565,5.062728835523595,8.688806161449312,8.237415271658767,81.02020715784913,86.69985589281764
1415.9375,0.0,,,,,,
