,"Радиус класса, нм","Число частиц в классе, 1/м³"
0,0.056500000000000009,0
1,0.06950000000000002,0
2,0.082500000000000018,0
3,0.095500000000000002,0
4,0.10850000000000001,0
5,0.12150000000000002,0
6,0.13450000000000004,0
7,0.14750000000000002,0
8,0.1605,0
9,0.17350000000000002,0
10,0.18650000000000003,0
11,0.19950000000000004,0
12,0.21250000000000005,0
13,0.22550000000000006,0
14,0.23850000000000005,0
15,0.2515,0
16,0.26450000000000007,0
17,0.27750000000000002,0
18,0.29050000000000004,0
19,0.30350000000000005,3.186473606761378e+21
20,0.31650000000000006,3.2002415070658497e+21
21,0.32950000000000007,3.2111141994204737e+21
22,0.34250000000000008,3.2194528657172647e+21
23,0.35550000000000004,3.2255868441628057e+21
24,0.36850000000000005,3.2298089525215153e+21
25,0.38150000000000006,3.2325853935914315e+21
26,0.39450000000000007,3.2351984830354644e+21
27,0.40750000000000003,3.2398377482514318e+21
28,0.42050000000000004,3.2646376791725237e+21
29,0.43350000000000005,3.3361396840593102e+21
30,0.44650000000000006,3.566508166355319e+21
31,0.45950000000000008,3.8056782097892686e+21
32,0.47250000000000009,4.0536898593487234e+21
33,0.48550000000000004,4.310570645035976e+21
34,0.49850000000000011,4.5763347111461262e+21
35,0.51150000000000018,4.8509819466134785e+21
36,0.52450000000000008,5.13449712327575e+21
37,0.53750000000000009,5.4268490498279012e+21
38,0.5505000000000001,5.7279897502267495e+21
39,0.56350000000000022,6.0378536763373608e+21
40,0.57650000000000012,6.3563569656906834e+21
41,0.58950000000000014,6.6833967563105569e+21
42,0.60250000000000015,7.0188505716640836e+21
43,0.61550000000000005,7.362575789837434e+21
44,0.62850000000000006,7.7144092120154364e+21
45,0.64150000000000007,8.0741667461752831e+21
46,0.65450000000000019,8.4416432225240209e+21
47,0.66750000000000009,8.8166123575320259e+21
48,0.6805000000000001,9.1988268833072281e+21
49,0.69350000000000012,9.5880188584057886e+21
50,0.70650000000000024,9.9839001747880631e+21
51,0.71950000000000014,1.0386163273341415e+22
52,0.73250000000000015,1.0794482076943714e+22
53,0.74550000000000016,1.1208513145212657e+22
54,0.75850000000000017,1.1627897048554856e+22
55,0.77150000000000007,1.2052259950620316e+22
56,0.78450000000000009,1.2481215377430517e+22
57,0.79750000000000021,1.2914366137958023e+22
58,0.81050000000000011,1.3351306344479416e+22
59,0.82350000000000012,1.3791623461271098e+22
60,0.83650000000000013,1.4234900286959983e+22
61,0.84950000000000025,1.4680716748853902e+22
62,0.86250000000000016,1.5128651356846489e+22
63,0.87550000000000017,1.5578282130056086e+22
64,0.88850000000000018,1.602918677159192e+22
65,0.90150000000000019,1.6480941826334205e+22
66,0.91450000000000009,1.693312051456601e+22
67,0.9275000000000001,1.7385288892580553e+22
68,0.94050000000000022,1.78369999531388e+22
69,0.95350000000000001,1.8287785248858841e+22
70,0.96650000000000014,1.8737143608062847e+22
71,0.97950000000000015,1.918452652726301e+22
72,0.99250000000000005,1.9629319885095717e+22
73,1.0055000000000003,2.0070821754581664e+22
74,1.0185000000000002,2.0508216328783229e+22
75,1.0315000000000001,2.0940544363903654e+22
76,1.0445000000000002,2.1366671136054244e+22
77,1.0575000000000001,2.178525375729048e+22
78,1.0705000000000002,2.2194710844443837e+22
79,1.0835000000000001,2.2593198985502641e+22
80,1.0965,2.297860213347476e+22
81,1.1095000000000004,2.3348541783804909e+22
82,1.1225000000000003,2.3700417184343429e+22
83,1.1355,2.4031485281634236e+22
84,1.1485000000000003,2.4338988772721766e+22
85,1.1615000000000002,2.4620336472911866e+22
86,1.1745000000000001,2.4873332201595821e+22
87,1.1875000000000002,2.5096435891506589e+22
88,1.2005000000000001,2.528902396958179e+22
89,1.2135000000000002,2.545159726353185e+22
90,1.2265000000000004,2.5585868165931428e+22
91,1.2395,2.5694651621091513e+22
92,1.2525000000000004,2.5781495826504925e+22
93,1.2655000000000003,2.5850027484083099e+22
94,1.2785000000000002,2.5903058342921881e+22
95,1.2915000000000003,2.5941601203724334e+22
96,1.3045000000000002,2.5964057555402481e+22
97,1.3175000000000001,2.5965933259105289e+22
98,1.3305000000000002,2.594046915384065e+22
99,1.3435000000000001,2.5880494569283085e+22
100,1.3565000000000003,2.5781590339753376e+22
101,1.3695000000000004,2.5646274807486438e+22
102,1.3825000000000001,2.5488420927552166e+22
103,1.3955000000000004,2.53365280822369e+22
104,1.4085000000000003,2.5233925316671045e+22
105,1.4215000000000002,2.5233732973184166e+22
106,1.4345000000000003,2.5386954823549961e+22
107,1.4475000000000002,2.5724093420323018e+22
108,1.4605000000000001,2.6234547313716373e+22
109,1.4735000000000003,2.6852751886407839e+22
110,1.4865000000000002,2.7462157748443965e+22
111,1.4995000000000003,2.7922766958157829e+22
112,1.5125000000000004,2.8113517710888327e+22
113,1.5255000000000001,2.7966671578189475e+22
114,1.5385000000000004,2.7477621077229162e+22
115,1.5515000000000003,2.6708206183971924e+22
116,1.5645000000000002,2.5824702738974523e+22
117,1.5775000000000003,2.5153798764237053e+22
118,1.5905000000000002,2.5124406172209157e+22
119,1.6035000000000001,2.596602512394135e+22
120,1.6165000000000003,2.7312291743780515e+22
121,1.6295000000000002,2.8394299017340482e+22
122,1.6425000000000003,2.9035275093962996e+22
123,1.6555000000000004,2.9323720203258101e+22
124,1.6685000000000001,2.9362320779546024e+22
125,1.6815000000000004,2.9361336957953726e+22
126,1.6945000000000003,2.9365817108185521e+22
127,1.7075000000000002,2.932508585884704e+22
128,1.7205000000000004,2.9380585460801619e+22
129,1.7335000000000003,3.0487244349411881e+22
130,1.7465000000000002,3.3010118415111625e+22
131,1.7595000000000003,3.5507056916434896e+22
132,1.7725000000000002,3.7982638082105222e+22
133,1.7855000000000003,4.0544547279515085e+22
134,1.7985000000000004,4.3736047920521754e+22
135,1.8115000000000001,4.8208386442390665e+22
136,1.8245000000000005,5.4880829330055347e+22
137,1.8375000000000004,6.5325011776747719e+22
138,1.8505000000000003,8.0383811191256782e+22
139,1.8635000000000004,9.8248530660810748e+22
140,1.8765000000000003,1.1472604609125308e+23
141,1.8895000000000002,1.2574127022797757e+23
142,1.9025000000000001,1.2982585807621719e+23
143,1.9155000000000002,1.2854376540259657e+23
144,1.9285000000000005,1.2480637767388006e+23
145,1.9415000000000004,1.2105037164026083e+23
146,1.9545000000000001,1.1870948443612412e+23
147,1.9675,1.1849667661627965e+23
148,1.9805000000000004,9.3696128407940587e+22
149,1.9935000000000003,3.120785460001421e+22
