Показатель,Значение,Единица
Первое обнаружение выделений,0.000103184,ч
Максимальная объёмная доля,84.8471,%
Итоговая объёмная доля,84.8471,%
Итоговый средний радиус,0.455863,нм
Итоговая плотность частиц,2.02358e+27,1/м³
Пик скорости зарождения,1.36482e+29,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,не выявлено,—
