C, мас.%;T₀, °C;T₀, K;Решение найдено
0.0;911.621104181252;1184.771104181252;True
0.1;801.3367796456904;1074.4867796456904;True
0.2;735.8926614319881;1009.0426614319881;True
0.3;689.3233583165144;962.4733583165144;True
0.4;649.1412475035468;922.2912475035467;True
0.5;612.1301009111629;885.2801009111629;True
0.6;576.9643767185747;850.1143767185747;True
0.7;542.9504689839227;816.1004689839227;True
0.8;509.6244724165766;782.7744724165766;True
0.9;476.7013587302248;749.8513587302248;True
1.0;443.96402751855317;717.1140275185531;True
1.1;411.23209013417534;684.3820901341753;True
1.2;378.3555864772288;651.5055864772288;True
1.3;345.1954211948157;618.3454211948157;True
1.4;311.6334687631953;584.7834687631953;True
1.5;277.53983938835574;550.6898393883557;True
1.6;242.78454340853034;515.9345434085303;True
1.7;207.2276993604745;480.3776993604745;True
1.8;;;False
1.9;;;False
2.0;;;False
