[1/130] f_startup_ni: снят, 12.2 с, пик 0.24 ГиБ, всего 0.2 мин
[2/130] f_startup_al: снят, 10.2 с, пик 0.23 ГиБ, всего 0.4 мин
[3/130] f_startup_fe: снят, 13.2 с, пик 0.25 ГиБ, всего 0.6 мин
[4/130] f_single_ni: снят, 19.8 с, пик 0.41 ГиБ, всего 0.9 мин
[5/130] f_single_al: снят, 21.4 с, пик 0.99 ГиБ, всего 1.3 мин
[6/130] f_single_fe: снят, 20.8 с, пик 0.70 ГиБ, всего 1.6 мин
[7/130] f_tscan_ni: снят, 22.4 с, пик 0.96 ГиБ, всего 2.0 мин
[8/130] f_tscan_al: снят, 40.2 с, пик 2.63 ГиБ, всего 2.7 мин
[9/130] f_tscan_fe: снят, 41.2 с, пик 2.07 ГиБ, всего 3.4 мин
[10/130] f_cscan_ni: снят, 24.4 с, пик 0.98 ГиБ, всего 3.8 мин
[11/130] f_cscan_al: снят, 31.0 с, пик 1.71 ГиБ, всего 4.3 мин
[12/130] f_cscan_fe: снят, 35.1 с, пик 1.09 ГиБ, всего 4.9 мин
[13/130] f_solid_ni_sravn: снят, 25.4 с, пик 0.46 ГиБ, всего 5.3 мин
[14/130] f_solid_ni_ravn: снят, 23.9 с, пик 0.45 ГиБ, всего 5.7 мин
[15/130] f_solid_ni_scheil: снят, 24.4 с, пик 0.45 ГиБ, всего 6.1 мин
[16/130] f_solid_al_sravn: снят, 80.8 с, пик 1.55 ГиБ, всего 7.4 мин
[17/130] f_solid_al_ravn: снят, 71.6 с, пик 1.52 ГиБ, всего 8.6 мин
[18/130] f_solid_al_scheil: снят, 71.1 с, пик 1.51 ГиБ, всего 9.8 мин
[19/130] f_solid_fe_sravn: снят, 71.6 с, пик 1.75 ГиБ, всего 11.0 мин
[20/130] f_solid_fe_ravn: снят, 64.5 с, пик 1.73 ГиБ, всего 12.1 мин
[21/130] f_solid_fe_scheil: снят, 67.1 с, пик 1.74 ГиБ, всего 13.2 мин
[22/130] f_energy_ni: снят, 14.2 с, пик 0.31 ГиБ, всего 13.4 мин
[23/130] f_energy_al: снят, 13.7 с, пик 0.42 ГиБ, всего 13.7 мин
[24/130] f_energy_fe: снят, 17.3 с, пик 0.35 ГиБ, всего 14.0 мин
[25/130] f_driving_ni: снят, 15.3 с, пик 0.42 ГиБ, всего 14.2 мин
[26/130] f_driving_al: снят, 18.3 с, пик 1.02 ГиБ, всего 14.5 мин
[27/130] f_driving_fe: снят, 21.3 с, пик 0.68 ГиБ, всего 14.9 мин
[28/130] f_tzero_ni: снят, 16.3 с, пик 0.30 ГиБ, всего 15.1 мин
[29/130] f_tzero_al: снят, 13.2 с, пик 0.30 ГиБ, всего 15.4 мин
[30/130] f_tzero_fe: снят, 44.7 с, пик 0.31 ГиБ, всего 16.1 мин
[31/130] f_density_ni: снят, 19.8 с, пик 0.41 ГиБ, всего 16.4 мин
[32/130] f_density_al: снят, 21.4 с, пик 0.99 ГиБ, всего 16.8 мин
[33/130] f_density_fe: снят, 26.9 с, пик 0.72 ГиБ, всего 17.2 мин
[34/130] f_density_warning_ni: снят, 54.4 с, пик 1.68 ГиБ, всего 18.2 мин
[35/130] f_density_t_ni: снят, 17.3 с, пик 0.44 ГиБ, всего 18.4 мин
[36/130] f_density_t_al: снят, 36.6 с, пик 2.58 ГиБ, всего 19.1 мин
[37/130] f_density_t_fe: снят, 34.0 с, пик 1.34 ГиБ, всего 19.6 мин
[38/130] f_elastic_ni: снят, 20.8 с, пик 0.43 ГиБ, всего 20.0 мин
[39/130] f_elastic_al: снят, 22.4 с, пик 0.99 ГиБ, всего 20.3 мин
[40/130] f_elastic_fe: снят, 27.9 с, пик 0.72 ГиБ, всего 20.8 мин
[41/130] f_strength_ni: снят, 12.7 с, пик 0.25 ГиБ, всего 21.0 мин
[42/130] f_strength_al: снят, 11.2 с, пик 0.24 ГиБ, всего 21.2 мин
[43/130] f_strength_fe: снят, 14.7 с, пик 0.26 ГиБ, всего 21.4 мин
[44/130] f_binary_ni: снят, 29.5 с, пик 0.42 ГиБ, всего 21.9 мин
[45/130] f_binary_al: снят, 44.7 с, пик 1.19 ГиБ, всего 22.7 мин
[46/130] f_binary_fe: снят, 34.5 с, пик 0.96 ГиБ, всего 23.3 мин
[47/130] f_isopleth_ni: снят, 80.8 с, пик 1.28 ГиБ, всего 24.6 мин
[48/130] f_isopleth_al: снят, 200.6 с, пик 1.91 ГиБ, всего 28.0 мин
[49/130] f_isopleth_fe: снят, 76.2 с, пик 1.50 ГиБ, всего 29.2 мин
[50/130] f_ternary_ni: снят, 42.2 с, пик 0.81 ГиБ, всего 29.9 мин
[51/130] f_ternary_al: снят, 118.4 с, пик 1.60 ГиБ, всего 31.9 мин
[52/130] f_ternary_fe: снят, 46.2 с, пик 0.93 ГиБ, всего 32.7 мин
[53/130] f_tmap_ni: снят, 25.4 с, пик 1.36 ГиБ, всего 33.1 мин
[54/130] f_tmap_al: снят, 64.0 с, пик 3.12 ГиБ, всего 34.2 мин
[55/130] f_tmap_fe: снят, 43.2 с, пик 2.89 ГиБ, всего 34.9 мин
[56/130] f_phasemap3_ni: снят, 11.7 с, пик 0.24 ГиБ, всего 35.1 мин
[57/130] f_phasemap3_al: снят, 9.7 с, пик 0.23 ГиБ, всего 35.2 мин
[58/130] f_phasemap3_fe: снят, 13.2 с, пик 0.25 ГиБ, всего 35.5 мин
[59/130] f_db_change: снят, 27.9 с, пик 0.44 ГиБ, всего 35.9 мин
[60/130] g_render_ni: снят, 11.7 с, пик 0.24 ГиБ, всего 36.1 мин
[61/130] g_render_al: снят, 9.2 с, пик 0.23 ГиБ, всего 36.3 мин
[62/130] g_render_fe: снят, 13.2 с, пик 0.25 ГиБ, всего 36.5 мин
[63/130] g_run_gate: снят, 24.9 с, пик 0.27 ГиБ, всего 36.9 мин
