[1/130] f_startup_ni: снят, 11.7 с, пик 0.24 ГиБ, всего 0.2 мин
[2/130] f_startup_al: снят, 9.7 с, пик 0.23 ГиБ, всего 0.4 мин
[3/130] f_startup_fe: снят, 13.2 с, пик 0.25 ГиБ, всего 0.6 мин
[4/130] f_single_ni: снят, 20.9 с, пик 0.41 ГиБ, всего 0.9 мин
[5/130] f_single_al: снят, 21.4 с, пик 0.99 ГиБ, всего 1.3 мин
[6/130] f_single_fe: снят, 20.9 с, пик 0.70 ГиБ, всего 1.6 мин
[7/130] f_tscan_ni: снят, 22.9 с, пик 0.98 ГиБ, всего 2.0 мин
[8/130] f_tscan_al: снят, 41.8 с, пик 2.63 ГиБ, всего 2.7 мин
[9/130] f_tscan_fe: снят, 41.2 с, пик 2.07 ГиБ, всего 3.4 мин
[10/130] f_cscan_ni: снят, 23.9 с, пик 0.98 ГиБ, всего 3.8 мин
[11/130] f_cscan_al: снят, 30.5 с, пик 1.71 ГиБ, всего 4.3 мин
[12/130] f_cscan_fe: снят, 40.8 с, пик 1.10 ГиБ, всего 5.0 мин
[13/130] f_solid_ni_sravn: снят, 30.6 с, пик 0.47 ГиБ, всего 5.5 мин
[14/130] f_solid_ni_ravn: снят, 27.0 с, пик 0.45 ГиБ, всего 5.9 мин
[15/130] f_solid_ni_scheil: снят, 27.5 с, пик 0.45 ГиБ, всего 6.4 мин
[16/130] f_solid_al_sravn: снят, 81.9 с, пик 1.55 ГиБ, всего 7.8 мин
[17/130] f_solid_al_ravn: снят, 72.8 с, пик 1.53 ГиБ, всего 9.0 мин
[18/130] f_solid_al_scheil: снят, 75.4 с, пик 1.53 ГиБ, всего 10.2 мин
[19/130] f_solid_fe_sravn: снят, 69.7 с, пик 1.75 ГиБ, всего 11.4 мин
[20/130] f_solid_fe_ravn: снят, 62.5 с, пик 1.73 ГиБ, всего 12.4 мин
[21/130] f_solid_fe_scheil: снят, 65.2 с, пик 1.73 ГиБ, всего 13.5 мин
[22/130] f_energy_ni: снят, 14.3 с, пик 0.31 ГиБ, всего 13.8 мин
[23/130] f_energy_al: снят, 14.3 с, пик 0.41 ГиБ, всего 14.0 мин
