[69/130] g_hom_al: снят, 11.2 с, пик 0.25 ГиБ, всего 46.2 мин
[70/130] g_kwn_ni: снят, 34.6 с, пик 0.37 ГиБ, всего 46.8 мин
[71/130] g_kwn_al: снят, 24.9 с, пик 0.40 ГиБ, всего 47.2 мин
[72/130] g_kwn_fe: снят, 82.5 с, пик 0.41 ГиБ, всего 48.6 мин
[73/130] g_kwn_fe_provenance: снят, 80.6 с, пик 0.43 ГиБ, всего 49.9 мин
[74/130] g_kwn_matrix_al: снят, 11.2 с, пик 0.23 ГиБ, всего 50.1 мин
[75/130] g_kwn_matrix_fe: снят, 15.3 с, пик 0.25 ГиБ, всего 50.3 мин
[76/130] g_kwn_too_long: снят, 14.8 с, пик 0.25 ГиБ, всего 50.6 мин
[77/130] g_kwn_eight: снят, 14.8 с, пик 0.25 ГиБ, всего 50.8 мин
[78/130] g_bounded_kin_single: снят, 13.3 с, пик 0.24 ГиБ, всего 51.1 мин
[79/130] g_bounded_kin_hom: снят, 13.3 с, пик 0.24 ГиБ, всего 51.3 мин
[80/130] g_bad_couple_1: снят, 15.8 с, пик 0.25 ГиБ, всего 51.5 мин
[81/130] g_bad_couple_2: снят, 15.8 с, пик 0.26 ГиБ, всего 51.8 мин
[82/130] g_bad_couple_3: снят, 15.8 с, пик 0.25 ГиБ, всего 52.1 мин
[83/130] g_kwn_grid: снят, 26.0 с, пик 0.26 ГиБ, всего 52.5 мин
[84/130] g_ni_kwn_hour: снят, 90.7 с, пик 0.40 ГиБ, всего 54.0 мин
[85/130] g_fe_defaults: снят, 14.8 с, пик 0.25 ГиБ, всего 54.3 мин
[86/130] h_library_ni: снят, 40.3 с, пик 0.30 ГиБ, всего 54.9 мин
[87/130] h_library_al: снят, 44.4 с, пик 0.30 ГиБ, всего 55.7 мин
[88/130] h_library_fe: снят, 45.4 с, пик 0.31 ГиБ, всего 56.4 мин
[89/130] h_library_roundtrip: снят, 39.9 с, пик 0.31 ГиБ, всего 57.1 мин
[90/130] h_project_ni: снят, 37.8 с, пик 0.29 ГиБ, всего 57.7 мин
[91/130] h_project_al: снят, 35.8 с, пик 0.29 ГиБ, всего 58.3 мин
[92/130] h_project_fe: снят, 33.2 с, пик 0.30 ГиБ, всего 58.9 мин
[93/130] h_project_export: снят, 45.4 с, пик 0.31 ГиБ, всего 59.6 мин
[94/130] h_confirmations: снят, 23.0 с, пик 0.28 ГиБ, всего 60.0 мин
[95/130] h_history: снят, 34.2 с, пик 0.30 ГиБ, всего 60.6 мин
[96/130] h_batch_comma: снят, 17.8 с, пик 0.26 ГиБ, всего 60.9 мин
[97/130] h_batch_semicolon: снят, 14.7 с, пик 0.26 ГиБ, всего 61.1 мин
[98/130] h_batch_comma_bom: снят, 15.8 с, пик 0.26 ГиБ, всего 61.4 мин
[99/130] h_batch_semicolon_bom: снят, 14.8 с, пик 0.26 ГиБ, всего 61.6 мин
[100/130] h_batch_junk: снят, 14.2 с, пик 0.26 ГиБ, всего 61.9 мин
[101/130] h_batch_template: снят, 15.8 с, пик 0.28 ГиБ, всего 62.1 мин
[102/130] h_batch_summary: снят, 24.4 с, пик 0.42 ГиБ, всего 62.5 мин
[103/130] h_batch_three: снят, 43.2 с, пик 1.41 ГиБ, всего 63.3 мин
[104/130] h_batch_c15: снят, 17.3 с, пик 0.26 ГиБ, всего 63.5 мин
[105/130] h_first_run: снят, 15.3 с, пик 0.25 ГиБ, всего 63.8 мин
[106/130] h_phase_reference_ni: снят, 14.8 с, пик 0.26 ГиБ, всего 64.0 мин
