B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;CR;23,5;23,499999997861032;-2,1389681137407024e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;MO;13,0;12,999999998063936;-1,9360637537602088e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;B;1e-06;9,99976116314317e-07;-2,3883685683043874e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;SI;0,1;0,0999999999796025;-2,039750313098665e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;AL;0,25;0,2500000005883583;5,883583065191544e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;C;0,005;0,004999999997856244;-2,1437565264625924e-12
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;FE;0,5;0,4999999999553004;-4,469957737285313e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;MN;0,5;0,500000003762403;3,762402944751386e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;NB;0,06;0,05999999999832466;-1,675340421947169e-12
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;S;0,02;0,020000003518615955;3,518615954156701e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;TI;0,1;0,09999999999959576;-4,042460810538273e-13
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;NI;61,964999;61,96499899822431;-1,775688929228636e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;CR;23,5;23,499999999487585;-5,124149993207539e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;MO;13,0;12,999999999863013;-1,3698731038402912e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;B;1e-06;9,998921422544352e-07;-1,0785774556478017e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;SI;0,1;0,09999999999675875;-3,241254487029721e-12
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;AL;0,25;0,2499999998914714;-1,0852860277132947e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;C;0,005;0,004999999999548619;-4,513811199813311e-13
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;FE;0,5;0,49999999998441336;-1,5586643087317498e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;MN;0,5;0,5000000015923748;1,5923747875845606e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;NB;0,06;0,05999999999824066;-1,759335732653966e-12
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;S;0,02;0,020000001072457238;1,0724572375997443e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;TI;0,1;0,09999999999765911;-2,3408913696343348e-12
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;NI;61,064999;61,0649990743922;7,43921972912176e-08
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;CR;23,5;23,499999935376422;-6,462357760028681e-08
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;MO;13,0;13,000000020916469;2,0916468557174994e-08
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;B;1e-06;9,971389405463148e-07;-2,861059453685131e-09
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;SI;1,0;1,0000000008845227;8,845226773246395e-10
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;AL;0,25;0,24999999771008805;-2,2899119545005675e-09
