B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;чем является по модели базы;мольная доля, %;массовая доля, %;x(B) в фазе;x(SI) в фазе;NI, масс. %;CR, масс. %;MO, масс. %;B, масс. %;SI, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;TI, масс. %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;FCC_A1;бор в подрешётке внедрения;77,50217156013937;75,82024234609182;7,00948699591616e-08;0,002738002504316189;69,63327815919968;21,44774831010512;6,973568683706041;1,2997233805716262e-06;0,13189089966625173;0,3297272490064078;0,00016711075196685268;0,6594050020370392;0,6142584631393511;0,07913453987326746;5,499713480265939e-13;0,13082028279094804
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;FCC_A1;бор в подрешётке внедрения;80,71637822838244;79,28381813447294;6,768932472337923e-08;0,002628972519106536;68,27468409995979;21,798098777591342;8,066600876965838;1,2500669858123216e-06;0,12612914248044577;0,3153228598929747;0,0003282929324810017;0,6305941163514277;0,5874234746721588;0,07567748555968404;5,477533553378513e-13;0,12513962352633745
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1050,0;пайка и ТО;FCC_A1;бор в подрешётке внедрения;99,90696742169904;99,92626223523192;5,517274168108205e-08;0,002123987400887004;62,00489662764937;23,513621131774396;13,00021395235042;1,0006373149496665e-06;0,10007379220714062;0,25018449196442116;0,004465232458399473;0,500344750257445;0,46608095091153934;0,06004427534500904;2,2072014540082877e-09;0,10007379223733985
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;FCC_A1;бор в подрешётке внедрения;99,92565620776294;99,94573435788881;5,5166651494981356e-08;0,002123590158338767;61,998642958000254;23,512759347699117;13,007058361803745;1,0005190544036337e-06;0,10005429508529036;0,2501357383529251;0,005002714753140026;0,5002652313324731;0,4659934632277923;0,0600325770617431;1,7059186676660575e-08;0,10005429510529447
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;FCC_A1;бор в подрешётке внедрения;99,92565630278531;99,94573439265932;5,516201876086851e-08;0,0021235901565560492;61,99864293835779;23,51275934114661;13,007058359078723;1,0004350344019023e-06;0,10005429506764764;0,2501357375686391;0,005002714753092907;0,5002626607980314;0,46599603783205484;0,060032577040774096;4,2853038922959504e-08;0,10005429506854849
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;FCC_A1;бор в подрешётке внедрения;71,26578186125073;68,80975662178992;7,19799257948788e-08;0,029482408431545475;71,72726308006291;20,406591503134578;4,414730473369173;1,3657843194556212e-06;1,4532822814371844;0,36332056671004237;5,126221443012922e-05;0,7265654486776807;0,6768382223621838;0,08719693693197583;5,627928369422887e-13;0,144158859314975
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;M23C6;бор в подрешётке внедрения;0,11789448469053791;0,09778199756206235;2,655036584034951e-06;0,0;19,288780940740285;56,12648512504946;18,627420453470947;5,8646863206015544e-05;0,0;0,0;5,077328438088466;0,05321112780319129;0,0038261438652979463;0,0;0,0;0,8228891241191542
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;FCC_A1;бор в подрешётке внедрения;73,86433649106466;71,63678554172185;7,05581256750393e-08;0,028445214427674684;70,40129032652466;20,779475028498776;5,503946833272839;1,3328627856027467e-06;1,3959308694961177;0,3489827172659334;0,00011370272645797791;0,6978854702483082;0,6501268053658761;0,08375585216350073;5,602926741914719e-13;0,13849106157417815
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;M23C6;бор в подрешётке внедрения;0,1167978345645179;0,09699565983116001;2,0572356612748724e-06;0,0;20,307393523651424;55,12518676234949;18,618899231585946;4,53843614298958e-05;0,0;0,0;5,070892676040356;0,05894515370572997;0,0047291224051590145;0,0;0,0;0,8139081459004524
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;FCC_A1;бор в подрешётке внедрения;99,83734002605023;99,85189703747696;5,467452421208207e-08;0,02104510080861239;61,12815834701451;23,516635302800413;12,9736697140438;1,0015240647316956e-06;1,0014832259725055;0,25037079489816066;0,002414259905755085;0,5006022158781419;0,4664278205675312;0,060088993578546177;1,203192284558969e-09;0,10014832261337607
