B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;AL;0,25;0,24999999981247156;-1,8752843722324997e-10
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;C;0,005;0,005000003080310839;3,08031083886412e-09
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;FE;0,5;0,5000000000381686;3,816857940819318e-11
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;MN;0,5;0,5000000016944053;1,6944052827483347e-09
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;NB;0,06;0,05999999997969308;-2,030691587107114e-11
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;S;0,02;0,020000001145804126;1,1458041251910522e-09
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;TI;0,1;0,10000000178504347;1,7850434602673104e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;NI;60,064999;60,06499894675743;-5,3242573017087125e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;CR;23,5;23,50000004931017;4,931017016929218e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;MO;13,0;12,999999978676772;-2,132322762804506e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;B;1e-06;1,000351426524866e-06;3,5142652486609437e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;SI;2,0;2,0000000000420672;4,206723858146688e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;AL;0,25;0,25000000517794646;5,177946460488414e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;C;0,005;0,005000005894777287;5,894777286956365e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;FE;0,5;0,49999999901683545;-9,831645497726527e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;MN;0,5;0,5000000074285966;7,4285966267240156e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;NB;0,06;0,059999999933582016;-6,641798222517536e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;S;0,02;0,02000000474130278;4,7413027809417585e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;TI;0,1;0,10000000266912201;2,6691220067487365e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;NI;60,064999;60,06499900188882;1,888821543616359e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;CR;23,5;23,49999995779634;-4,220365923401914e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;MO;13,0;13,000000043919304;4,391930374936237e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;B;1e-06;9,99925037798727e-07;-7,496220127305433e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;SI;2,0;1,9999999980914387;-1,9085613089941944e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;AL;0,25;0,24999999928828104;-7,117189615435393e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;C;0,005;0,004999995638341929;-4,361658071175278e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;FE;0,5;0,4999999989723129;-1,0276871020842293e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;MN;0,5;0,5000000005130047;5,130047497914347e-10
