T, °C;точка ТЗ;фаза;мольная доля фазы, %;массовая доля фазы, %;x(NI);x(CR);x(MO);x(AL);x(C);x(FE);x(MN);x(NB);x(S);x(SI);x(TI);NI, масс. %;CR, масс. %;MO, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;SI, масс. %;TI, масс. %
550,0;нет;P_PHASE;29,440771894209444;31,723176160408755;0,4191089811803409;0,3666053045339447;0,21428571428571427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,303081381363505;29,68324084429105;32,01367777434544;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
575,0;нет;FCC_A1;69,89623041214024;67,87333213491188;0,7138082048201378;0,23427658681247945;0,028086126189520246;0,005334797614809611;1,2379970089858835e-06;0,00739880558962259;0,007228375731942342;0,0005366574427542277;9,99998762002914e-15;0,0030338905346734032;0,0002953172670412649;72,38862648917213;21,04861451206933;4,656035126789133;0,24871923508809793;2,5693510956240378e-05;0,7139801796470003;0,6861803157187228;0,08615241979258664;5,540754933124901e-13;0,1472335413656024;0,02443248684589346
575,0;нет;GAMMA_PRIME;1,4789153888430195;1,340154696726517;0,7482408274535233;0,04320991450469066;0,0057719257068051255;0,12125532233842978;0,0;0,011093361756859746;0,0;0,0006616800020962846;0,0;9,712374565684314e-05;0,06966984449193817;81,31375445899164;4,160177348048044;1,0253660869380967;6,057955058964621;0,0;1,147153480397968;0,0;0,11382879650017837;0,0;0,005050868779408163;6,1767139013800625
575,0;нет;M23C6;0,1194951669450085;0,09841943744544628;0,16977261991894868;0,5196597777096019;0,09678608394958814;0,0;0,20689655172413798;0,0002163255040378289;8,944318886772375e-06;0,0;0,0;0,0;0,006659696874798629;20,298845115222626;55,04636023084543;18,916997306222846;0,0;5,062581048624148;0,024612013376412785;0,0010010590336351813;0,0;0,0;0,0;0,649603226674913
575,0;нет;MNS_Q;0,07434385120519314;0,05426557229118778;0,0;0,0;0,0;0,0;0,0;1,0113405138227498e-07;0,4999998988659486;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2983387788171052e-05;63,144210348601156;0,0;36,85577666801106;0,0;0,0
575,0;нет;P_PHASE;28,431015195709254;30,633828158624958;0,4186988519576575;0,3670154337566281;0,21428571428571427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,267234948395625;29,717718593242783;32,0150464583616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
580,0;да;FCC_A1;70,15210844374981;68,14164931592602;0,7129802698383026;0,23453264219577208;0,028629211284964286;0,005391344639575005;1,349499720579229e-06;0,0073836426168713025;0,0072020098232482175;0,0005350544986268079;9,999986505002048e-15;0,003022820031874423;0,00032165557103471247;72,28360713921096;21,06548326690337;4,744683999142969;0,2512823726802639;2,7999492610821903e-05;0,7123094594915577;0,6834783304230382;0,0858700760239355;5,539140710093481e-13;0,14665357251747127;0,026603784113260694
580,0;да;GAMMA_PRIME;1,43307513301085;1,2984011007555847;0,7481872107730388;0,04244802523775405;0,005767448841598017;0,12141331593129259;0,0;0,010868999050412253;0,0;0,0006654918375372221;0,0;0,00010044902206576846;0,07054905930630107;81,32135063313193;4,087498621503225;1,024739927842326;6,066849861908537;0,0;1,124137906382501;0,0;0,1145034463660408;0,0;0,005224660392476303;6,255694942472954
580,0;да;M23C6;0,11945577750324672;0,09839065348158364;0,1706863594290333;0,5187408529430734;0,09669637426390701;0,0;0,20689655172413787;0,000221192831584493;9,299899543550054e-06;0,0;0,0;0,0;0,006749368908720272;20,407337520112954;54,94697767808788;18,89876073083272;0,0;5,062392824654756;0,02516484844903973;0,0010408173541787099;0,0;0,0;0,0;0,6583255805084681
580,0;да;MNS_Q;0,07434385060443913;0,0542655719370615;0,0;0,0;0,0;0,0;0,0;1,118694425309572e-07;0,49999988813055746;0,0;0,49999999999999994;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4361575887136633e-05;63,14420897868064;0,0;36,85577665974348;0,0;0,0
