T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;средний радиус, нм;число выделений, 1/м³;критический радиус, нм;скорость зарождения, 1/(м³·с)
580,0;0,05;объём зерна;0,001;0,0;3,241094109927014e-42;0,3231968743525252;7,893211319890276e-40
580,0;0,05;объём зерна;0,001769908906321979;0,0;1,9124538951070131e-13;0,3231968743524943;2,7057919411462903e-11
580,0;0,05;объём зерна;0,00314621515343438;0,4631147746896771;54717,9002479557;0,32319687435254324;441962,2693079581
580,0;0,05;объём зерна;0,0055181635654012115;0,4633347212222248;152456216080816,56;0,3231968743525571;405076886152543,2
580,0;0,05;объём зерна;0,010000000000000002;0,463904838968931;1,133391912584706e+20;0,323196897917634;8,617482100943744e+19
580,0;0,05;объём зерна;0,018225078629878277;0,46565982430092673;3,0394332499447324e+23;0,3232608282621194;7,836215993755136e+22
580,0;0,05;объём зерна;0,030932694084161712;0,4685381813150087;3,164269021843549e+25;0,3302899864980869;1,7556878766200247e+24
580,0;0,05;объём зерна;0,054689811824753014;0,5042113761171201;2,0502854720031976e+26;0,40867498257933754;1,2394357725313039e+24
580,0;0,05;объём зерна;0,09662204556622654;0,5338302041708117;2,743141814106799e+26;0,5353155046240247;1,6787451095325582e+23
580,0;0,05;объём зерна;0,10000000000000002;0,5346120847195974;2,7619129483369752e+26;0,5421293599099334;1,5314105117999558e+23
580,0;0,05;объём зерна;0,17162194446917792;0,5314129344481767;2,9950211930046224e+26;0,6248785764896168;7,180072546388113e+22
580,0;0,05;объём зерна;0,3031641164458512;0,5512463781950825;2,438835266003654e+26;0,676084096154701;6,667145222186349e+22
580,0;0,05;объём зерна;0,5376176503969462;0,7090728676112718;1,3398908375849285e+26;0,7675682245845806;1,1567597167502256e+22
580,0;0,05;объём зерна;0,9521209954413621;0,8043586946980924;1,0095767427145948e+26;0,8341854582127909;2,941926215865617e+21
580,0;0,05;объём зерна;1,0;0,8099648114073847;9,928808812716046e+25;0,8386252118062183;2,682864593490733e+21
580,0;0,05;объём зерна;1,686606222676785;0,8549942345254408;8,507518526712517e+25;0,8752733308345708;1,2590223953193824e+21
580,0;0,05;объём зерна;2,985544460989721;0,9494394232530651;6,0075279879582745e+25;0,9394334959956968;1,9982526127167036e+20
580,0;0,05;объём зерна;5,284577627573494;1,169961969984199;3,4340308640001343e+25;1,1548709762229863;6,9770762039930056e+16
580,0;0,05;объём зерна;9,364907494834162;1,378217435579395;2,091632257030981e+25;1,3654906899954005;5996483226463,663
580,0;0,05;объём зерна;10,0;1,411026286407597;1,95232951331739e+25;1,3972431022135092;1267377989113,9941
580,0;0,05;объём зерна;16,57937513646501;1,6961293464362064;1,1406367862385124e+25;1,6869150146313199;165454,78940282893
580,0;0,05;объём зерна;29,3799105895161;2,0857099731180773;6,251931487714022e+24;2,0833184727115652;4,925420707190336e-07
580,0;0,05;объём зерна;52,01059247599599;2,5367529561462274;3,5015160265076895e+24;2,5442259918429375;1,723249601028405e-23
580,0;0,05;объём зерна;92,03766501327858;3,0806437047430713;1,972721120730713e+24;3,0965326214227296;1,5514181722487714e-47
580,0;0,05;объём зерна;100,0;3,170638316531349;1,814376479990121e+24;3,185404605516249;7,605854726509824e-52
580,0;0,05;объём зерна;163,0789505806146;3,731409691808238;1,1195396665436741e+24;3,758404121386271;1,461789199209676e-82
580,0;0,05;объём зерна;200,0;4,0055485381174964;9,120268782100949e+23;4,028026325819552;9,039025554409436e-99
580,0;0,05;объём зерна;288,5544852652698;4,526253587317571;6,330564025828691e+23;4,562986070354525;2,958868389701827e-134
580,0;0,05;объём зерна;510,969581013836;5,471458906069365;3,5945067938944565e+23;5,518582061370216;1,2101107308229757e-208
580,0;0,05;объём зерна;905,6789773981349;6,618543126590652;2,0370103845387706e+23;6,682453209511086;0,0
580,0;0,05;объём зерна;1000,0;6,839252281872146;1,846918095738776e+23;6,905297638777422;0,0
580,0;0,05;объём зерна;1602,6744131502135;7,993705065882751;1,1605622354717705e+23;8,079879915056775;0,0
580,0;0,05;объём зерна;2842,4852291934176;9,686350502237133;6,5499331848801826e+22;9,797763193569075;0,0
580,0;0,05;объём зерна;5032,084494283861;11,686927002009876;3,720261180536263e+22;11,832249863090622;0,0
