T, °C;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
625,0;SI;0,1;0,09999999997721189;-2,2788118614336383e-11
625,0;TI;0,1;0,09999999933740049;-6,625995169207144e-10
650,0;NI;61,964999999999996;61,96500006190442;6,190442292108855e-08
650,0;CR;23,5;23,499999985497585;-1,4502415268680124e-08
650,0;MO;13,0;12,999999957990843;-4,200915704188901e-08
650,0;AL;0,25;0,24999999672108342;-3,2789165826940803e-09
650,0;C;0,005;0,005000000417728073;4,177280726186394e-10
650,0;FE;0,5;0,5000000012407909;1,2407909144585005e-09
650,0;MN;0,5;0,4999999977215568;-2,2784432118783116e-09
650,0;NB;0,06;0,06000000012080623;1,208062330726456e-10
650,0;S;0,02;0,019999997729306756;-2,2706932445437644e-09
650,0;SI;0,1;0,10000000019339725;1,9339724266487224e-10
650,0;TI;0,1;0,1000000004624996;4,6249959417821174e-10
664,0;NI;61,964999999999996;61,964999971999475;-2,8000521012927493e-08
664,0;CR;23,5;23,499999982904946;-1,7095054261062614e-08
664,0;MO;13,0;13,00000005085114;5,085114018754666e-08
664,0;AL;0,25;0,2499999981089766;-1,891023393429947e-09
664,0;C;0,005;0,004999992089121724;-7,910878276236322e-09
664,0;FE;0,5;0,4999999985756027;-1,4243973223138084e-09
664,0;MN;0,5;0,500000003858938;3,858937946965568e-09
664,0;NB;0,06;0,059999999813154827;-1,8684517127942613e-10
664,0;S;0,02;0,02000000289324445;2,893244449575505e-09
664,0;SI;0,1;0,0999999997139284;-2,8607161084437394e-10
664,0;TI;0,1;0,09999999919145726;-8,085427466442141e-10
675,0;NI;61,964999999999996;61,965000016999305;1,699930862741894e-08
675,0;CR;23,5;23,499999986523623;-1,3476377347387825e-08
675,0;MO;13,0;12,999999996432315;-3,5676848142429662e-09
675,0;AL;0,25;0,2500000020085242;2,008524180308058e-09
675,0;C;0,005;0,004999998221509031;-1,7784909690787831e-09
675,0;FE;0,5;0,5000000000354397;3,543965121366455e-11
675,0;MN;0,5;0,4999999996870885;-3,12911474509292e-10
675,0;NB;0,06;0,060000000010014244;1,0014246376588432e-11
675,0;S;0,02;0,019999999889712475;-1,1028752563979616e-10
675,0;SI;0,1;0,1000000000023591;2,3590990272381873e-12
675,0;TI;0,1;0,10000000019011947;1,9011946184033235e-10
700,0;NI;61,964999999999996;61,96499997559702;-2,4402979192927887e-08
700,0;CR;23,5;23,500000049051295;4,905129458165902e-08
700,0;MO;13,0;12,99999997239453;-2,7605469909985914e-08
700,0;AL;0,25;0,24999999921568727;-7,843127258766458e-10
700,0;C;0,005;0,0050000071361484275;7,136148427386302e-09
700,0;FE;0,5;0,4999999999184004;-8,15996159531096e-11
700,0;MN;0,5;0,4999999969014587;-3,09854131241849e-09
700,0;NB;0,06;0,0599999999868769;-1,3123099829037699e-11
700,0;S;0,02;0,019999998336481358;-1,66351864228087e-09
700,0;SI;0,1;0,09999999999893573;-1,0642736691934829e-12
700,0;TI;0,1;0,10000000146316057;1,4631605649295665e-09
725,0;NI;61,964999999999996;61,9649999081697;-9,183029447967783e-08
725,0;CR;23,5;23,500000014105765;1,4105765444583085e-08
725,0;MO;13,0;13,000000083222734;8,322273359340215e-08
725,0;AL;0,25;0,2499999985921882;-1,4078118115712357e-09
725,0;C;0,005;0,004999999616732711;-3,832672894332756e-10
725,0;FE;0,5;0,4999999979434094;-2,056590620025389e-09
725,0;MN;0,5;0,49999999960797775;-3,920222479969482e-10
725,0;NB;0,06;0,0599999997996751;-2,0032489556065514e-10
725,0;S;0,02;0,020000000394126513;3,941265126761184e-10
725,0;SI;0,1;0,09999999950880765;-4,911923506822902e-10
725,0;TI;0,1;0,09999999903887809;-9,611219181637765e-10
750,0;NI;61,964999999999996;61,96500003207253;3,207253485015826e-08
750,0;CR;23,5;23,49999999277715;-7,222851650112716e-09
750,0;MO;13,0;12,999999968095226;-3,1904773933888464e-08
750,0;AL;0,25;0,250000001423924;1,4239239787272595e-09
750,0;C;0,005;0,005000002765991051;2,7659910507848995e-09
750,0;FE;0,5;0,5000000011260878;1,1260877785801426e-09
750,0;MN;0,5;0,5000000008742223;8,742222501467722e-10
750,0;NB;0,06;0,06000000010805766;1,0805766004207129e-10
750,0;S;0,02;0,020000000208288512;2,0828851143850358e-10
750,0;SI;0,1;0,10000000033518511;3,351851018962293e-10
750,0;TI;0,1;0,10000000021334098;2,1334096989011897e-10
775,0;NI;61,964999999999996;61,96499994492303;-5,507696698714426e-08
775,0;CR;23,5;23,50000003384126;3,384126046057645e-08
775,0;MO;13,0;13,000000021753035;2,1753034928906345e-08
775,0;AL;0,25;0,24999999806714593;-1,932854071240442e-09
775,0;C;0,005;0,005000001677769725;1,67776972523348e-09
775,0;FE;0,5;0,4999999994530514;-5,469485975240218e-10
775,0;MN;0,5;0,4999999996882386;-3,117613944780828e-10
775,0;NB;0,06;0,05999999988031462;-1,1968537966255965e-10
775,0;S;0,02;0,020000000472976013;4,729760125221638e-10
775,0;SI;0,1;0,09999999987436375;-1,2563625140238344e-10
775,0;TI;0,1;0,1000000003688497;3,6884970078254753e-10
800,0;NI;61,964999999999996;61,96500050787747;5,078774734101899e-07
800,0;CR;23,5;23,499999880023257;-1,1997674320696206e-07
800,0;MO;13,0;12,999999594534913;-4,054650872831189e-07
800,0;AL;0,25;0,2500000070032017;7,003201685229499e-09
800,0;C;0,005;0,004999997315547882;-2,6844521180610648e-09
800,0;FE;0,5;0,5000000119770412;1,1977041247668296e-08
800,0;MN;0,5;0,49999999989899213;-1,0100786873579182e-10
800,0;NB;0,06;0,060000001260388625;1,260388626800335e-09
800,0;S;0,02;0,019999995825622206;-4,174377794818884e-09
800,0;SI;0,1;0,10000000210549263;2,1054926274688412e-09
800,0;TI;0,1;0,1000000021780719;2,1780718895136886e-09
825,0;NI;61,964999999999996;61,965000514689876;5,146898800489907e-07
825,0;CR;23,5;23,499999852598354;-1,4740164644422293e-07
825,0;MO;13,0;12,999999592680803;-4,0731919703773656e-07
825,0;AL;0,25;0,2500000052773948;5,277394798941515e-09
825,0;C;0,005;0,005000000367115079;3,6711507878789407e-10
825,0;FE;0,5;0,5000000110020163;1,1002016298000683e-08
825,0;MN;0,5;0,5000000144564531;1,4456453145683668e-08
825,0;NB;0,06;0,060000001283684115;1,2836841173369251e-09
825,0;S;0,02;0,020000003429726274;3,429726273818101e-09
825,0;SI;0,1;0,10000000212205672;2,1220567109070387e-09
825,0;TI;0,1;0,10000000209252051;2,0925205040933648e-09
850,0;NI;61,964999999999996;61,96500054531101;5,453110105690939e-07
850,0;CR;23,5;23,499999865534214;-1,3446578606135517e-07
