T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;средний радиус, нм;число выделений, 1/м³;критический радиус, нм;скорость зарождения, 1/(м³·с)
700,0;0,075;объём зерна;0,01740423360334369;1,2906942831502708;8,714777586961516e+24;0,9488581575787293;2,0842244446689735e+20
700,0;0,075;объём зерна;0,030860091293433475;1,5092759003968637;8,36824617581424e+24;1,298236066712941;2180350153531,3545
700,0;0,075;объём зерна;0,05459900455318852;1,7409285834717412;6,334038447607185e+24;1,664184208562623;21,875097901627825
700,0;0,075;объём зерна;0,09667804047862147;2,0423236351952987;4,215568572433689e+24;1,9916431322646402;1,6184453085520308e-11
700,0;0,075;объём зерна;0,10000000000000002;2,065919130184176;4,0979960526029497e+24;2,0132074720729363;2,1549163571128237e-12
700,0;0,075;объём зерна;0,17130902361183714;2,426486592061905;2,647962039255422e+24;2,3905969718103552;2,988764248800887e-29
700,0;0,075;объём зерна;0,3036081019487765;2,902106396357486;1,6092173773452497e+24;2,8805245353270523;1,8471570487880354e-55
700,0;0,075;объём зерна;0,5371553852711012;3,48818895134562;9,592073750460454e+23;3,477390623764817;5,528580261580192e-94
700,0;0,075;объём зерна;0,9523275685371821;4,206689349005027;5,628180675731016e+23;4,210916393192473;3,0380140799757818e-151
700,0;0,075;объём зерна;1,0;4,278653734063918;5,367337563587309e+23;4,280202997186677;3,227961579707373e-157
700,0;0,075;объём зерна;1,6836884688068714;5,065302687466425;3,2821604970869176e+23;5,084268870068028;1,1282481889670792e-233
700,0;0,075;объём зерна;2,9852308630853783;6,119289612504892;1,891980826385841e+23;6,147774954337597;0,0
700,0;0,075;объём зерна;5,287924024932364;7,3805456311752256;1,0906799153122146e+23;7,435113048259955;0,0
700,0;0,075;объём зерна;9,360767421139792;8,928565821081955;6,246513972703466e+22;9,004855070227423;0,0
700,0;0,075;объём зерна;10,0;9,119591848377839;5,859124240235048e+22;9,20606533564573;0,0
700,0;0,075;объём зерна;16,57107313405454;10,780539856161061;3,57146058158469e+22;10,88147610064463;0,0
700,0;0,075;объём зерна;29,340000705530485;13,012612742539478;2,037787884384591e+22;13,156146537288876;0,0
700,0;0,075;объём зерна;51,96178777153225;15,713376369199837;1,1623496777557057e+22;15,91350331534179;0,0
700,0;0,075;объём зерна;92,0016030404013;18,979975389079375;6,619495756663697e+21;19,270465764364754;0,0
700,0;0,075;объём зерна;100,0;19,575191786379698;6,069571624859365e+21;19,809291567188257;0,0
700,0;0,075;объём зерна;163,14305904695848;22,957644839824095;3,7513274791210695e+21;23,2981505784308;0,0
700,0;0,075;объём зерна;200,0;24,583129572441493;3,061662341649038e+21;24,923135122473923;0,0
700,0;0,075;объём зерна;288,61599585545486;27,75629418488194;2,1278817520078322e+21;28,16386662363165;0,0
700,0;0,075;объём зерна;511,2117357261572;33,59575562673868;1,205700374062133e+21;34,06659071941427;0,0
700,0;0,075;объём зерна;905,527239511063;40,63258852587403;6,835127815025326e+20;41,20139431416228;0,0
700,0;0,075;объём зерна;1000,0;42,101639930496674;6,171393256336935e+20;42,6197573018237;0,0
700,0;0,075;объём зерна;1602,6632699708293;49,142215483931444;3,86952979729878e+20;49,78691876040571;0,0
700,0;0,075;объём зерна;2841,8457233563126;59,4185560720335;2,18716451359024e+20;60,2013803275135;0,0
700,0;0,075;объём зерна;5031,835681196666;71,8191584734217;1,2397039897129805e+20;72,77614445166809;0,0
700,0;0,075;объём зерна;8908,429595217809;87,8398068399058;6,931934869931687e+19;85,42220875816113;0,0
700,0;0,075;объём зерна;10000,0;91,43109648148679;6,162420455071767e+19;91,11931217561283;0,0
700,0;0,075;объём зерна;15772,895141864808;106,1840754476114;3,9212763586676785e+19;105,15189830719656;0,0
700,0;0,075;объём зерна;27954,437393726257;128,40028229093483;2,2155118193494893e+19;122,39512408847919;0,0
700,0;0,075;объём зерна;49483,61229221337;155,15620904533702;1,2555486007128105e+19;149,87562948395694;0,0
700,0;0,075;объём зерна;87600,0;188,61261931343248;7,069747432068583e+18;187,27692616912688;0,0
700,0;0,1;объём зерна;0,001;1,065891208995756;1199504432063507,2;0,9568812344396078;2586285782791625,0
700,0;0,1;объём зерна;0,0017237590305117356;1,067473992522413;2,0714287687679944e+16;0,9568812346787652;1,5524225287470484e+16
700,0;0,1;объём зерна;0,0032041104766010525;1,0764822463366333;1,848258391246711e+17;0,9568812367491069;4,8737602931431704e+16
700,0;0,1;объём зерна;0,005555945215028148;1,0943765481717975;7,594909188328074e+17;0,9568812444810489;8,565730863811706e+16
700,0;0,1;объём зерна;0,009857590781167646;1,138226721426188;2,3787356538990054e+18;0,9568812701824103;1,1977366029998894e+17
700,0;0,1;объём зерна;0,010000000000000002;1,1398946852710146;2,4402035972301957e+18;0,9568812712837752;1,2051450571403197e+17
700,0;0,1;объём зерна;0,017345804202987147;1,2430775749467922;5,947798418923187e+18;0,9568813562207326;1,4439140986016653e+17
700,0;0,1;объём зерна;0,030873293650597218;1,481613269869517;1,3441773781597458e+19;0,9568817570403342;1,6082628799643635e+17
700,0;0,1;объём зерна;0,05439074391367479;1,9855630463470186;2,7251322643883057e+19;0,9568841151015776;1,707093617571976e+17
700,0;0,1;объём зерна;0,09695976560608428;2,848234263167205;5,394024428827265e+19;0,9568993319977745;1,7653293274147014e+17
700,0;0,1;объём зерна;0,10000000000000002;2,9046231180469015;5,587334341147384e+19;0,95690116509417;1,7675000586224003e+17
700,0;0,1;объём зерна;0,17112199195344843;4,085009865543888;1,0115534137416697e+20;0,9569839343742284;1,7902657675324454e+17
700,0;0,1;объём зерна;0,3033572652594232;5,772837562430627;1,859874523185059e+20;0,9574222364541785;1,7630865484983376e+17
700,0;0,1;объём зерна;0,5378072015662458;8,207369492046057;3,276503220037922e+20;0,9595265104081978;1,5642539074988944e+17
700,0;0,1;объём зерна;0,9507737227950424;12,489938752994693;4,66631623087307e+20;0,9687202480995015;9,031038620882766e+16
