B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;мольная доля фазы, %;массовая доля фазы, %;x(NI);x(CR);x(MO);x(B);x(SI);x(AL);x(C);x(FE);x(MN);x(NB);x(S);x(TI);NI, масс. %;CR, масс. %;MO, масс. %;B, масс. %;SI, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;TI, масс. %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;FCC_A1;70,15211416001122;68,1416543787429;0,7129801890617852;0,23453263881903164;0,028629225760653427;7,670582457379343e-08;0,0030228196443454866;0,0053913405672239515;1,349492685872793e-06;0,007383641475235516;0,0072020089103209855;0,0005350544268094421;9,99998573801415e-15;0,0003216551360739383;72,28360264655723;21,06548404091871;4,74468664082934;1,4324927343968192e-06;0,14665356121633333;0,2512821957250083;2,7999348086271054e-05;0,7123093857847329;0,6834782787390699;0,08587006888956111;5,539140568524921e-13;0,026603749498669255
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;GAMMA_PRIME;1,4330764087135646;1,2984022873084817;0,7481872089267729;0,04244800784647896;0,0057674512350461985;0,0;0,0001004491907438521;0,12141336835727622;0,0;0,010868998931162166;0,0;0,0006654914185877705;0,0;0,07054902409393202;81,32135208199793;4,0874970297359265;1,0247403738877823;0,0;0,005224669271916801;6,0668526046212765;0,0;1,1241379168511743;0,0;0,11450337660488727;0,0;6,255691947029085
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M23C6;0,11945635254807248;0,09839113319232029;0,17068543755163648;0,5187417743905829;0,09669654843906822;1,1114244957849042e-06;0,0;0,0;0,2068954402996421;0,00022119361378191598;9,299965878841594e-06;0,0;0,0;0,006749194314913805;20,40722693792794;54,94707430627127;18,89879443704029;2,4477623278131617e-05;0,0;0,0;5,0623655402344925;0,02516493699218824;0,0010408247597604259;0,0;0,0;0,6583085391507931
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MNS_Q;0,0743438416491912;0,054265567785663625;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1186938543874237e-07;0,4999998881306146;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4361568557751989e-05;63,14420897868792;0,0;36,855776659743526;0,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;P_PHASE;28,221009192277986;30,40728663297063;0,41861499825836446;0,36709928745592124;0,21428571428571427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,259905524813355;29,72476816569136;32,01532630949528;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;FCC_A1;70,94025738602238;68,96786181778029;0,7104657046664948;0,23530265711493373;0,030275602307674548;7,600773550888855e-08;0,002989253042636247;0,005565629592754309;1,7370497356163566e-06;0,0073351894996390625;0,007121993064982485;0,0005302511224142166;9,999981869424616e-15;0,00041190653098922906;71,96533537249704;21,116060222546054;5,013126127973934;1,418207528979478e-06;0,14489752433623915;0,2591774179091625;3,6008708563036225e-05;0,7070128578811997;0,6752903084599545;0,08502435655989939;5,534267235581691e-13;0,034038384919877804
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;GAMMA_PRIME;1,2913320771087435;1,169415630353438;0,7480159958814775;0,04023295395409479;0,0057587249516145795;0,0;0,00011055237066267989;0,1218752192792751;0,0;0,010215962500255518;0,0;0,0006758510689127476;0,0;0,07311473999370705;81,34187274947693;3,876064788591943;1,0236823674493498;0,0;0,005752934008431581;6,092861644676344;0,0;1,0571054480514825;0,0;0,1163418082293689;0,0;6,486318259516139
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;M23C6;0,11931824358865223;0,09828771284100374;0,17335560877662903;0,5160558362087306;0,09643077271076474;1,0297656924673681e-06;0,0;0,0;0,2068955219584454;0,00023596119305440634;1,04227665411946e-05;0,0;0,0;0,007014846620142147;20,72429459461939;54,65682237756029;18,844868492961925;2,267681391868517e-05;0,0;0,0;5,061835275383652;0,02684220458199978;0,0011663626537100494;0,0;0,0;0,6841480154251147
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MNS_Q;0,07434385363583773;0,054265576614539644;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,5032171422024409e-07;0,49999984967828576;0,0;0,49999999999999994;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9298001810695396e-05;63,1442040718677;0,0;36,85577663013049;0,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;P_PHASE;27,57474832560498;29,71016926241074;0,41835967331253054;0,3673546124017551;0,21428571428571427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,237587477263865;29,74623406834319;32,01617845439294;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;FCC_A1;65,38782663403741;62,69844037011486;0,7138252536128066;0,21824886661717313;0,014297259160316437;8,21828625414108e-09;0,03200758427581744;0,005165809066836617;2,3289486511114516e-07;0,007878207700806501;0,007650587173623505;0,0005750392130031972;9,999997588867564e-15;0,0003511520664552684;74,04061388784469;20,055612285210273;2,4241891145395416;1,5702222417448477e-07;1,588726174638093;0,24633100412501766;4,9437109837245125e-06;0,7775731719542912;0,7428166096606149;0,0944184977391132;5,667071298724366e-13;0,029714153554593756
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;GAMMA_PRIME;1,5126773172279295;1,3673112506547727;0,7476418477111266;0,030053233745962454;0,003397358525109173;0,0;0,005407970081717781;0,13815398058697115;0,0;0,008713182861701793;0,0;0,0003363621770329039;0,0;0,06629606431037828;82,2641183204589;2,9296374597121506;0,6110740349261019;0,0;0,284753568978671;6,988482344033067;0,0;0,912282644770999;0,0;0,05858757501101464;0,0;5,951064052109099
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;M23C6_WY;0,11868111453268321;0,09138144397962492;0,012772255892702786;0,743292422067489;0,03703749562893962;4,1474754848647086e-05;0,0;0,0;0,20685507696928934;0,0;0,0;0,0;0,0;1,2746867305758274e-06;1,6497918308772326;85,0603310197899;7,82057626593335;0,0009868408603418807;0,0;0,0;5,468179718100376;0,0;0,0;0,0;0,0;0,0001343244388115023
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;MNS_Q;0,0736107709542433;0,05426557630176682;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,424577163077866e-08;0,49999991575422836;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0815304123906487e-05;63,14421250367876;0,0;36,85577668101712;0,0
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;P_PHASE;32,90720408939064;35,788601358948966;0,41298216900903434;0,3727321167052513;0,21428571428571427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,76726167585873;30,19860194887662;32,03413637526465;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;FCC_A1;65,96846199306387;63,30389660165352;0,7119544115482149;0,21884649970988762;0,015595179153525842;1,040266048358176e-08;0,03173499483923445;0,005426435111784812;3,3101901879523703e-07;0,007838803426379033;0,007583248939555622;0,0005704818538932898;9,999996585782365e-15;0,0004496039958350065;73,78974995657632;20,095058906853836;2,642225174375854;1,9860493489754726e-07;1,573984081181979;0,2585598527683956;7,021208303063933e-06;0,7730887725220699;0,7357121051541152;0,09359813830909215;5,662710817661117e-13;0,03801579244454246
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;GAMMA_PRIME;1,3689729142616671;1,2373192571314329;0,747452622167138;0,02872234681799526;0,00348858225148417;0,0;0,005535597378545222;0,13790618736344884;0,0;0,00818519114005836;0,0;0,0003473854812269523;0,0;0,06836208740010309;82,24976974635655;2,8001208058612916;0,627531589244607;0,0;0,29149664894018024;6,9764967662997766;0,0;0,8570686024029612;0,0;0,06051237618079017;0,0;6,13700346471384
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;M23C6_WY;0,11864850269949347;0,09141939026947914;0,014008127751378645;0,7415303213284873;0,03756294077425376;4,023769591462739e-05;0,0;0,0;0,20685631402822324;0,0;0,0;0,0;0,0;2,0584217424755166e-06;1,8081812980050398;84,80014970247518;7,926054776328787;0,000956746189793742;0,0;0,0;5,464440713442688;0,0;0,0;0,0;0,0;0,00021676355851227286
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;MNS_Q;0,07361077663130165;0,054265580484687506;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1451142026847952e-07;0,4999998854885798;0,0;0,49999999999999994;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4700747718338554e-05;63,14420864154346;0,0;36,85577665770883;0,0
