T, °C;точка ТЗ;фаза постановки;имена в mc_ni;тип;есть;найдено как;мольная доля, %;массовая доля, %;NI, масс. %;CR, масс. %;MO, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;SI, масс. %;TI, масс. %
600,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
600,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
600,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
625,0;нет;P;P_PHASE;ТКП;да;P_PHASE;26,20769696498213;28,235695708409292;38,191413908089594;29,79064464407948;32,01794144783094;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
625,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
625,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
625,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
625,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
625,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
625,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
625,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
650,0;нет;P;P_PHASE;ТКП;да;P_PHASE;24,989737918355694;26,922200621300448;38,15128812270721;29,82923835174751;32,01947352554528;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
650,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
650,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
650,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
650,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
650,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
650,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
650,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
664,0;да;P;P_PHASE;ТКП;да;P_PHASE;24,27482568697629;26,151281706752084;38,128128677412946;29,85151352600076;32,020357796586296;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
664,0;да;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
664,0;да;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
664,0;да;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
664,0;да;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
664,0;да;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
664,0;да;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
664,0;да;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
675,0;нет;P;P_PHASE;ТКП;да;P_PHASE;23,695781250534388;25,526912056969408;38,10957128384573;29,869362363489884;32,02106635266438;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
675,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
675,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
675,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
675,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
675,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
675,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
675,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
700,0;да;P;P_PHASE;ТКП;да;P_PHASE;22,30661887710223;24,02917182974795;38,06671177472469;29,910585416199023;32,022702809076286;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
700,0;да;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
