B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;P-фаза есть;мольная доля, %;массовая доля, %;без припоя, мольная доля, %;изменение, мольн. %;куда двинулась;NI, масс. %;CR, масс. %;MO, масс. %;B, масс. %;SI, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;TI, масс. %
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;да;2,5244505988209345;2,9577015732576273;27,57474832560498;-25,050297726784045;упала;37,41152262566664;30,540758215187314;32,04771915914604;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1,5;5,0;"B=1.5; Si=5";перекрёстные узлы;580,0;служба;нет;0,0;0,0;28,221009192277986;-28,221009192277986;упала;;;;;;;;;;;;
1,5;5,0;"B=1.5; Si=5";перекрёстные узлы;595,0;служба;нет;0,0;0,0;27,57474832560498;-27,57474832560498;упала;;;;;;;;;;;;
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;нет;0,0;0,0;28,221009192277986;-28,221009192277986;упала;;;;;;;;;;;;
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;нет;0,0;0,0;27,57474832560498;-27,57474832560498;упала;;;;;;;;;;;;
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;нет;0,0;0,0;28,221009192277986;-28,221009192277986;упала;;;;;;;;;;;;
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;нет;0,0;0,0;27,57474832560498;-27,57474832560498;упала;;;;;;;;;;;;
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;нет;0,0;0,0;28,221009192277986;-28,221009192277986;упала;;;;;;;;;;;;
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;нет;0,0;0,0;27,57474832560498;-27,57474832560498;упала;;;;;;;;;;;;
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;нет;0,0;0,0;28,221009192277986;-28,221009192277986;упала;;;;;;;;;;;;
3,0;5,0;"B=3; Si=5";перекрёстные узлы;595,0;служба;нет;0,0;0,0;27,57474832560498;-27,57474832560498;упала;;;;;;;;;;;;
