B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;FCC_A1 есть;мольная доля FCC_A1, %;массовая доля FCC_A1, %;CR в сплаве, масс. %;CR в FCC_A1, масс. %;CR, сдвиг от состава сплава, масс. %;CR в FCC_A1 без припоя, масс. %;CR, добавка от припоя, масс. %;CR, доля от состава без припоя, %;MO в сплаве, масс. %;MO в FCC_A1, масс. %;MO, сдвиг от состава сплава, масс. %;MO в FCC_A1 без припоя, масс. %;MO, добавка от припоя, масс. %;MO, доля от состава без припоя, %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;да;77,50217156013937;75,82024234609182;23,5;21,44774831010512;-2,052251689894881;21,44774831010512;0,0;100,00000000000001;13,0;6,973568683706041;-6,026431316293959;6,973568683706041;0,0;100,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;да;80,71637822838244;79,28381813447294;23,5;21,798098777591342;-1,701901222408658;21,798098777591342;0,0;99,99999999999999;13,0;8,066600876965838;-4,933399123034162;8,066600876965838;0,0;100,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1050,0;пайка и ТО;да;99,90696742169904;99,92626223523192;23,5;23,513621131774396;0,013621131774396389;23,513621131774396;0,0;100,00000000000001;13,0;13,00021395235042;0,00021395235041943295;13,00021395235042;0,0;99,99999999999999
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;да;99,92565620776294;99,94573435788881;23,5;23,512759347699117;0,012759347699116574;23,512759347699117;0,0;100,0;13,0;13,007058361803745;0,0070583618037449725;13,007058361803745;0,0;100,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;да;99,92565630278531;99,94573439265932;23,5;23,51275934114661;0,012759341146608705;23,51275934114661;0,0;99,99999999999999;13,0;13,007058359078723;0,007058359078722987;13,007058359078723;0,0;100,0
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;да;71,26578186125073;68,80975662178992;23,5;20,406591503134578;-3,093408496865422;21,44774831010512;-1,041156806970541;95,14561252809928;13,0;4,414730473369173;-8,585269526630828;6,973568683706041;-2,5588382103368685;63,30661779648528
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;да;73,86433649106466;71,63678554172185;23,5;20,779475028498776;-2,7205249715012236;21,798098777591342;-1,0186237490925656;95,32700645370174;13,0;5,503946833272839;-7,496053166727161;8,066600876965838;-2,5626540436929988;68,2313023443288
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;да;99,83734002605023;99,85189703747696;23,5;23,516635302800413;0,016635302800413143;23,513621131774396;0,0030141710260167542;100,01281882960147;13,0;12,9736697140438;-0,026330285956200683;13,00021395235042;-0,026544238306620116;99,7958169119069
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;да;99,92638926368593;99,94573435016422;23,5;23,51275935066558;0,012759350665579205;23,512759347699117;2,9664626310932363e-09;100,0000000126164;13,0;13,007058363936322;0,007058363936321754;13,007058361803745;2,1325767818325403e-09;100,00000001639553
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;да;99,92638932269917;99,945734350241;23,5;23,512759350133752;0,012759350133752179;23,51275934114661;8,98714347385976e-09;100,00000003822241;13,0;13,007058364417551;0,007058364417551033;13,007058359078723;5,338828046319577e-09;100,00000004104562
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;да;69,10196509857089;66,12937459698071;23,5;19,555975376749945;-3,944024623250055;21,44774831010512;-1,891772933355174;91,17961985564767;13,0;3,2914039312203913;-9,70859606877961;6,973568683706041;-3,68216475248565;47,19827222625423
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;да;71,30745731797072;68,55000866413661;23,5;19,97664459328043;-3,5233554067195705;21,798098777591342;-1,8214541843109124;91,64397683075285;13,0;4,306877414969835;-8,693122585030165;8,066600876965838;-3,7597234619960034;53,391477781776885
