T, °C;межфазная энергия, Дж/м²;места зарождения;равновесие 12-2, мольн. %;равновесие двухфазной задачи, мольн. %;200 ч: P-фаза, мольн. %;200 ч: доля равновесия 12-2, %;200 ч: радиус, нм;200 ч: число выделений, 1/м³;200 ч: CR в матрице, масс. %;200 ч: MO в матрице, масс. %;87600 ч: P-фаза, мольн. %;87600 ч: доля равновесия 12-2, %;87600 ч: радиус, нм;87600 ч: число выделений, 1/м³;87600 ч: CR в матрице, масс. %;87600 ч: MO в матрице, масс. %;видно за 200 ч
750,0;0,05;объём зерна;19,095616936837214;18,7948982095354;17,678870134314966;92,58077491181125;38,69281085429944;6,74235402162555e+20;21,87292079137219;8,229283284768051;17,834365600015825;93,39507416286553;297,562634696652;1,5284484016262162e+18;21,855186441583236;8,177284858012149;да
750,0;0,075;границы зёрен;19,095616936837214;18,7948982095354;17,6229707830264;92,28804097462834;44,35588653927745;1,430974310560057e+21;21,8792781201532;8,247923443424558;17,82701897680607;93,35660133826887;339,53181529500523;3,2884959170092186e+18;21,856025993061582;8,179746485149131;да
750,0;0,075;объём зерна;19,095616936837214;18,7948982095354;17,623333132617375;92,28993852835588;44,38484700132554;4,459871684654246e+20;21,879236941407516;8,247802704333731;17,826982103987987;93,35640824255375;339,4971016808348;1,028656385883897e+18;21,856030206369198;8,179758838871274;да
750,0;0,1;границы зёрен;19,095616936837214;18,7948982095354;17,575606811518874;92,04000514701309;49,31808355262167;1,0507337613500446e+21;21,884657301286346;8,263695600825962;17,820368564350684;93,32177443282045;373,28185763297347;2,473483599124739e+18;21,856785840900923;8,181974415243472;да
750,0;0,1;объём зерна;19,095616936837214;18,7948982095354;17,58541182371529;92,09135207248215;50,90629130315683;2,896636742170798e+20;21,883544293790102;8,260432180448655;17,820481365190304;93,32236514868993;373,5811631390998;7,697493442642163e+17;21,856772953892072;8,181936629564168;да
750,0;0,15;границы зёрен;19,095616936837214;18,7948982095354;17,50771446578901;91,68446625055097;59,66920539973885;5,6546095001263034e+20;21,89235604592076;8,286268890152392;17,80233308514393;93,22732616615062;429,725083955811;1,6240519381395282e+18;21,858845815990854;8,188014414804616;да
750,0;0,15;объём зерна;19,095616936837214;18,7948982095354;0,0;0,0;0,0;2,2236960554826462e-30;23,500000000000004;12,999999999999998;0,0;0,0;0,0;7,317280796149443e-27;23,500000000000004;12,999999999999998;нет
750,0;0,25;границы зёрен;19,095616936837214;18,7948982095354;0,0;0,0;0,0;4,0693256671103055e-63;23,500000000000004;12,999999999999998;0,0;0,0;0,0;1,3391600472057801e-59;23,500000000000004;12,999999999999998;нет
750,0;0,25;объём зерна;19,095616936837214;18,7948982095354;0,0;0,0;0,0;2,5652621998647494e-255;23,500000000000004;12,999999999999998;0,0;0,0;0,0;8,441284192920446e-252;23,500000000000004;12,999999999999998;нет
750,0;0,5;границы зёрен;19,095616936837214;18,7948982095354;0,0;0,0;0,0;0,0;23,500000000000004;12,999999999999998;0,0;0,0;0,0;0,0;23,500000000000004;12,999999999999998;нет
750,0;0,5;объём зерна;19,095616936837214;18,7948982095354;0,0;0,0;0,0;0,0;23,500000000000004;12,999999999999998;0,0;0,0;0,0;0,0;23,500000000000004;12,999999999999998;нет
