T, °C;фаза;12-1, см³/моль;12-3, см³/моль;разность, см³/моль;совпало
700,0;FCC_A1;7,106292556902444;7,106292557003686;1,0124168170477787e-10;True
700,0;P_PHASE;7,589136123120864;7,589136123126946;6,0822458181064576e-12;True
750,0;FCC_A1;7,142156392677308;7,142156392456193;-2,2111557029802498e-10;True
750,0;P_PHASE;7,603550513358807;7,6035505133625225;3,715250329605624e-12;True
