T, °C;межфазная энергия, Дж/м²;места зарождения;узлов;до, ч;равновесие 12-2, мольн. %;равновесие двухфазной задачи, мольн. %;P-фаза в конце, мольн. %;доля равновесия 12-2 в конце, %;доля двухфазного равновесия в конце, %;радиус в конце, нм;число выделений в конце, 1/м³;выделения появились;первый узел с выделениями, ч;дошло до 90 % равновесия;первый узел на 90 % равновесия, ч;критический радиус в конце, нм;движущая сила в конце, Дж/м³
664,0;0,125;границы зёрен;40;87600,0;24,27482568697629;24,140393742621253;22,8006620721516;93,92719175892746;94,4502493010117;139,40683810003682;6,004791909688535e+19;да;0,9521245375606208;да;91,87640977067328;123,70066359262478;2021007,751610036
664,0;0,125;объём зерна;41;87600,0;24,27482568697629;24,140393742621253;22,81362901690045;93,98060901067649;94,50396402036175;143,81691218173972;1,7092534644521396e+19;да;289,3717434918904;да;289,3717434918904;140,81730395506963;1775349,9959050992
664,0;0,15;границы зёрен;40;87600,0;24,27482568697629;24,140393742621253;22,80225274292006;93,9337445176948;94,45683855048881;150,44277768515718;4,720451404065502e+19;да;29,360860880833634;да;160,76104156475245;150,68668474128035;1990885,9267498078
664,0;0,15;объём зерна;38;87600,0;24,27482568697629;24,140393742621253;9,396246378218013e-26;3,8707781054259858e-25;3,8923335213163484e-25;1,3432000000000006;0,10612578252623858;нет;;нет;;1,2550449481576305;239035263,5898748
664,0;0,175;границы зёрен;41;87600,0;24,27482568697629;24,140393742621253;22,792447204947436;93,89335066235236;94,41621975165243;159,1201559135079;4,005303018266928e+19;да;288,63448550324034;да;288,63448550324034;160,80790947240484;2176509,8566874983
664,0;0,175;объём зерна;41;87600,0;24,27482568697629;24,140393742621253;0,0;0,0;0,0;0,0;5,857464162734763e-19;нет;;нет;;1,464219106183582;239035263,58992708
664,0;0,2;границы зёрен;39;87600,0;24,27482568697629;24,140393742621253;22,781704323847983;93,84909542757549;94,37171807030461;165,9190382959598;3,5333046603013796e+19;да;510,8842723368809;да;510,8842723368809;168,08727510298223;2379716,131128496
664,0;0,2;объём зерна;41;87600,0;24,27482568697629;24,140393742621253;0,0;0,0;0,0;0,0;6,380405360297803e-45;нет;;нет;;1,6733932642097544;239035263,5899348
