T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;CR в сплаве, масс. %;CR в матрице, масс. %;CR, сдвиг от сплава, масс. %;CR равновесно в двухфазной задаче, масс. %;CR равновесно по 12-2, масс. %;MO в сплаве, масс. %;MO в матрице, масс. %;MO, сдвиг от сплава, масс. %;MO равновесно в двухфазной задаче, масс. %;MO равновесно по 12-2, масс. %
580,0;0,05;объём зерна;0,001;23,5;23,500000000000004;3,552713678800501e-15;20,761449067486133;21,06548326690337;13,0;12,999999999999998;-1,7763568394002505e-15;4,64137373752967;4,744683999142969
580,0;0,05;объём зерна;0,001769908906321979;23,5;23,500000000000004;3,552713678800501e-15;20,76144906740258;21,06548326690337;13,0;12,999999999999998;-1,7763568394002505e-15;4,64137373734964;4,744683999142969
580,0;0,05;объём зерна;0,00314621515343438;23,5;23,500000000000004;3,552713678800501e-15;20,761449067464714;21,06548326690337;13,0;12,999999999999998;-1,7763568394002505e-15;4,641373737567652;4,744683999142969
580,0;0,05;объём зерна;0,0055181635654012115;23,5;23,499999999999606;-3,943512183468556e-13;20,761449067336166;21,06548326690337;13,0;12,99999999999879;-1,2096990076315706e-12;4,641373737144013;4,744683999142969
580,0;0,05;объём зерна;0,010000000000000002;23,5;23,499999704445383;-2,955546172245249e-07;20,76144906743745;21,06548326690337;13,0;12,999999097905897;-9,020941025283946e-07;4,641373737220652;4,744683999142969
580,0;0,05;объём зерна;0,018225078629878277;23,5;23,49919811797203;-0,000801882027971601;20,761449067686378;21,06548326690337;13,0;12,997552489493991;-0,0024475105060091096;4,641373737975459;4,744683999142969
580,0;0,05;объём зерна;0,030932694084161712;23,5;23,41377362031194;-0,08622637968806046;20,76144906757515;21,06548326690337;13,0;12,73681917935874;-0,26318082064126;4,64137373787039;4,744683999142969
580,0;0,05;объём зерна;0,054689811824753014;23,5;22,724734662608743;-0,7752653373912572;20,76144906735298;21,06548326690337;13,0;10,633729162161218;-2,3662708378387816;4,641373736881918;4,744683999142969
580,0;0,05;объём зерна;0,09662204556622654;23,5;22,137757206304194;-1,3622427936958061;20,761449067430764;21,06548326690337;13,0;8,842152046103074;-4,157847953896926;4,641373737577949;4,744683999142969
580,0;0,05;объём зерна;0,10000000000000002;23,5;22,115804065643687;-1,3841959343563133;20,76144906758985;21,06548326690337;13,0;8,775146500996813;-4,224853499003187;4,641373737902867;4,744683999142969
580,0;0,05;объём зерна;0,17162194446917792;23,5;21,8953374630054;-1,6046625369945993;20,761449067382745;21,06548326690337;13,0;8,102236637228582;-4,897763362771418;4,641373737490464;4,744683999142969
580,0;0,05;объём зерна;0,3031641164458512;23,5;21,791135798921943;-1,7088642010780575;20,7614490675285;21,06548326690337;13,0;7,784191515002903;-5,215808484997097;4,641373737852861;4,744683999142969
580,0;0,05;объём зерна;0,5376176503969462;23,5;21,64545837637341;-1,8545416236265915;20,761449067524843;21,06548326690337;13,0;7,339553763190935;-5,660446236809065;4,6413737378265605;4,744683999142969
580,0;0,05;объём зерна;0,9521209954413621;23,5;21,562653366909476;-1,9373466330905238;20,76144906748686;21,06548326690337;13,0;7,086815675074518;-5,913184324925482;4,641373737724944;4,744683999142969
580,0;0,05;объём зерна;1,0;23,5;21,557676847495415;-1,942323152504585;20,761449067465165;21,06548326690337;13,0;7,071626304160658;-5,928373695839342;4,64137373754156;4,744683999142969
580,0;0,05;объём зерна;1,686606222676785;23,5;21,51882150843735;-1,9811784915626482;20,761449067610897;21,06548326690337;13,0;6,953031738878694;-6,046968261121306;4,641373737589952;4,744683999142969
