переход;T нижняя, °C;T верхняя, °C;плотность при нижней, кг/м³;плотность при верхней, кг/м³;V при нижней, см³/моль;V при верхней, см³/моль;ΔV/V;ΔV/V, %;ΔL/L;ΔL/L, %;средний коэффициент линейного расширения, 1/К
25 → 700 °C;25,0;700,0;8480,75758794169;8256,885426412786;7,027409198914615;7,217946090967927;0,02711339081873021;2,711339081873021;0,009037796939576737;0,9037796939576737;1,3389328799372943e-05
700 → 750 °C;700,0;750,0;8256,885426412786;8238,275756664789;7,217946090967927;7,23425090971639;0,00225892775354275;0,225892775354275;0,0007529759178475833;0,07529759178475834;1,5059518356951667e-05
