B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;чем является по модели базы;мольная доля, %;массовая доля, %;x(B) в фазе;x(SI) в фазе;NI, масс. %;CR, масс. %;MO, масс. %;B, масс. %;SI, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;TI, масс. %
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;M23C6_WY;бор в подрешётке внедрения;0,11745767689148917;0,0912641610570669;4,520142122682835e-05;0,0;0,8708664275452226;86,01787804911703;7,632065543398846;0,001077470338944806;0,0;0,0;5,478036142757823;0,0;0,0;0,0;0,0;7,636684213699163e-05
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;FCC_A1;бор в подрешётке внедрения;64,10480240847485;61,021941733893314;1,955848552521564e-09;0,06292965654287726;73,74836838208267;19,359124350963405;1,7609328546851553;3,805501154093686e-08;3,1808873504861257;0,2449436177889024;1,2768688866828017e-06;0,8168058309994;0,7632245296250509;0,09720924239534356;5,771059200485965e-13;0,02850252604946538
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;GAMMA_PRIME;кремний в растворе;1,8743712083556927;1,6820692948024192;0,0;0,06537612502526195;83,97082342207857;1,3225563996761338;0,1799439328184561;0,0;3,5052522889039444;5,97660559353206;0,0;0,09329070205345165;0,0;0,040487787280187294;0,0;4,911039873657207
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;M23C6_WY;бор в подрешётке внедрения;0,11745122604446766;0,09129590832967259;4,4898613842520104e-05;0,0;0,9603015897884426;85,86811638765379;7,69454843635973;0,0010698213629711446;0,0;0,0;5,475838468139822;0,0;0,0;0,0;0,0;0,000125296695259225
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;FCC_A1;бор в подрешётке внедрения;50,34003443420353;48,42554345858425;1,3377629163664873e-09;0,07114575187546952;73,87711579606434;18,7792414267311;1,7364724983418076;2,6175412879992766e-08;3,616426591167042;0,3756625335880045;8,840365143268149e-07;0,7461957951552596;0,8624735600228663;0,004200205243760321;5,803544122077659e-13;0,0022106834732801236
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;G_PHASE;силицид;14,376969467958;12,52515815981076;0,0;0,2413793103448275;64,71124295984458;19,1103548060628;0,0;0,0;13,548020637077235;0,0;0,0;1,1027900429275428;0,3838428210512672;0,4627159247638636;0,0;0,6810328082726996
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;GAMMA_PRIME;кремний в растворе;1,1511141792792088;1,0352507876912642;0,0;0,09205413221391157;85,17385092295336;1,6718096826506448;0,20465443880065415;0,0;5,005042824292706;6,57651236434581;0,0;0,05065726076063992;0,0;0,0009781048030504977;0,0;1,316494401393132
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;M23C6_WY;бор в подрешётке внедрения;0,11558093608663922;0,09130518347067028;4,5270114108741104e-05;0,0;0,858613533416702;85,93887435261647;7,725748844770327;0,0010786430415364204;0,0;0,0;5,475675116496236;0,0;0,0;0,0;0,0;9,509658751729957e-06
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;FCC_A1;бор в подрешётке внедрения;32,32834879179842;31,600089449433383;1,3991753784930399e-09;0,07179423878428354;74,08257585671187;18,37095587581663;1,797667748696414;2,7373787602628594e-08;3,6489560012954496;0,3924374844744544;9,219977976011988e-07;0,6640582192004799;1,0403879035376058;0,001944583334577851;5,802853959952828e-13;0,0010153775603432152
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;G_PHASE;силицид;31,26374125390676;27,65167645510002;0,0;0,24137931034482757;64,76005901483205;19,61520914906337;0,0;0,0;13,558240822784398;0,0;0,0;1,0461716514088577;0,49534400125881883;0,2147342355066784;0,0;0,31024112514581326
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;GAMMA_PRIME;кремний в растворе;2,0693742433561164;1,8877698955984765;0,0;0,09517419009164906;85,31950430273615;1,811078831505977;0,22972289213202385;0,0;5,183140642803833;6,673981029719695;0,0;0,04624537860812368;0,0;0,00041816336118613876;0,0;0,7359087591330298
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;M23C6_WY;бор в подрешётке внедрения;0,11376438784274091;0,09132798879299128;4,55917946743885e-05;0,0;0,8917768573481167;85,8685959265266;7,764082803595425;0,001086067096285823;0,0;0,0;5,474453971186821;0,0;0,0;0,0;0,0;4,3742467380711325e-06
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;FCC_A1;бор в подрешётке внедрения;72,67046406824296;70,73062064076652;7,765538870930844e-07;0,002904987689578038;71,90345325090229;21,907663954360764;4,346225229139692;1,453807080836499e-05;0,14128490721901282;0,24695398183439723;2,615668144010052e-05;0,6871787571141486;0,6584608753468129;0,08261585233123037;5,552815188564742e-13;0,026122496998864733
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;M2B;борид;1,646232106213462;1,7681590095281106;0,333333;0,0;0,4964381622845295;6,713826303626483;87,08703394760568;5,65500218791899;0,0;0,0;0,0;0,04769939856432222;0,0;0,0;0,0;0,0
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;GAMMA_PRIME;кремний в растворе;1,3737062078480125;1,2495907656017258;0,0;0,00010504551792229316;81,36649376333911;4,083393354877772;0,873298313641919;0,0;0,005466440057036334;6,028206881442412;0,0;1,0473685658170726;0,0;0,1252645976981248;0,0;6,470508083126554
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;M23C6;бор в подрешётке внедрения;0,11894210128277442;0,09828435209876225;1,3181436668295765e-05;0,0;19,515995798892277;55,830481849822654;18,88023996471918;0,00029066898367694687;0,0;0,0;5,0684460366403234;0,023370024766114994;0,0009825506098209578;0,0;0,0;0,6801931055659651
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;FCC_A1;бор в подрешётке внедрения;73,4526303973465;71,55270618991302;9,819268999493926e-07;0,0028740808330017693;71,59889800769247;21,953482667618612;4,605055189107395;1,836729348008554e-05;0,1396629717331965;0,2544241774029445;3,3664985746582296e-05;0,6821208076758956;0,6508955087241042;0,08185938780108255;5,548093846254477e-13;0,033549249964514256
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;M2B;борид;1,646184212475231;1,769707253018286;0,33333300000000005;0,0;0,5388917471357906;6,568285011484071;87,19492530011287;5,649890503529331;0,0;0,0;0,0;0,04800743773795303;0,0;0,0;0,0;0,0
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;GAMMA_PRIME;кремний в растворе;1,2354497766500385;1,1233612134978375;0,0;0,00011518715526412081;81,38180098152597;3,8720393919833103;0,8771756116369628;0,0;0,005996678069028113;6,049044357780377;0,0;0,9836568841028162;0,0;0,12706446015213566;0,0;6,703221634749386
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;M23C6;бор в подрешётке внедрения;0,11881000541058195;0,09818707279877165;1,5495677974680062e-05;0,0;19,84673643919606;55,527063051420036;18,826035893966594;0,00034165989568882266;0,0;0,0;5,067776409717782;0,024934081227875993;0,0011024082487183131;0,0;0,0;0,7060100563272497
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;FCC_A1;бор в подрешётке внедрения;74,82501990651065;73,46701109327348;8,104095184586715e-07;0,002796371974292285;71,90609447173166;22,077558540872946;4,314202377320467;1,5174527189411799e-05;0,1360259815283788;0,24245908603211436;2,6258852064206685e-05;0,5827339805005419;0,6339355609851305;0,07965488485165811;5,553779787628412e-13;0,0272936827972978
