"marka","sistema","baza","fajl_tdb","sha256_tdb","variant","nabor","popravki","T_C","plotnost_kg_m3","plotnost_datashit_g_sm3","otklonenie_pct","pokrytie_mass_pct","dolya_pryamyh","dolya_unasledovannyh","dolya_ocenennyh","fazy_i_obemnye_doli","fazy_bez_modeli","predupr","popravka_zadejstvovana","vne_shapki","vremya_s","pik_pamyati_MiB","otkaz","prichina","job_id"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","A","быстрый","включены (умолчание)","20","","2.659","","","","","","","","","","нет","15.2","1643","да","VerifiedLoaderError: BACKEND_FAILED: ValueError: Температура 293.15 K вне диапазона DP-параметра FCC_A1: 298.15–6000.00 K.","191e8e012af897ee"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","A","быстрый","включены (умолчание)","25","2722.921","2.659","+2.40","100.00","0.00","90.66","9.34","GP_MAT 91.07; SI_DIAMOND_A4 6.68; MG2SI_B 1.04; AL6MN 0.71; ALFESI_T4 0.50","","Плотность хрома посчитана по поправке проекта ThermoGar, а не по данным physical_data_v103.pdb: тепловая функция DTCRBCC заменена. Это не наша оценка величины,… | Плотность фаз AL6MN, ALFESI_T4, MG2SI_B, SI_DIAMOND_A4 оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 9.34 %. | Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными.","нет","нет","15.0","1643","","","191e8e012af897ee"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","A0","быстрый","выключены (BL-14, physical_overrides=False)","20","","2.659","","","","","","","","","","нет","15.2","1649","да","VerifiedLoaderError: BACKEND_FAILED: ValueError: Температура 293.15 K вне диапазона DP-параметра FCC_A1: 298.15–6000.00 K.","4ef33adf684b6b15"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","A0","быстрый","выключены (BL-14, physical_overrides=False)","25","2722.921","2.659","+2.40","100.00","0.00","90.66","9.34","GP_MAT 91.07; SI_DIAMOND_A4 6.68; MG2SI_B 1.04; AL6MN 0.71; ALFESI_T4 0.50","","Поправки проекта ThermoGar к физической базе выключены пользователем: плотность посчитана строго по данным physical_data_v103.pdb. Не применены: DTCRBCC. У спл… | Плотность фаз AL6MN, ALFESI_T4, MG2SI_B, SI_DIAMOND_A4 оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 9.34 %. | Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными.","нет","нет","14.6","1649","","","4ef33adf684b6b15"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","B","полный (автоматические фазы вкладки)","включены (умолчание)","20","","2.659","","","","","","","","","","нет","19.6","2021","да","VerifiedLoaderError: BACKEND_FAILED: ValueError: Температура 293.15 K вне диапазона DP-параметра FCC_A1: 298.15–6000.00 K.","55b3d554c6b24759"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","B","полный (автоматические фазы вкладки)","включены (умолчание)","25","2722.921","2.659","+2.40","100.00","0.00","90.64","9.36","FCCAL 91.05; SI_DIAMOND_A4 6.84; ALCRFEMNSI_A 1.07; MG2SI_B 1.04","","Плотность хрома посчитана по поправке проекта ThermoGar, а не по данным physical_data_v103.pdb: тепловая функция DTCRBCC заменена. Это не наша оценка величины,… | Плотность фаз ALCRFEMNSI_A, MG2SI_B, SI_DIAMOND_A4 оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 9.36 %. | Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными.","нет","нет","17.3","2021","","","55b3d554c6b24759"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","C","одна фаза FCC_A1","включены (умолчание)","20","","2.659","","","","","","","","","","нет","4.7","226","да","VerifiedLoaderError: BACKEND_FAILED: ValueError: Температура 293.15 K вне диапазона DP-параметра FCC_A1: 298.15–6000.00 K.","bbc3aa1f850c88db"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","C","одна фаза FCC_A1","включены (умолчание)","25","2523.198","2.659","-5.11","100.00","100.00","0.00","0.00","FCC_A1 100.00","","Плотность хрома посчитана по поправке проекта ThermoGar, а не по данным physical_data_v103.pdb: тепловая функция DTCRBCC заменена. Это не наша оценка величины,…","нет","нет","2.8","226","","","bbc3aa1f850c88db"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","D","нет (правило смеси по элементам)","включены (умолчание)","20","","2.659","","","","","","","","","","нет","4.0","186","да","правило смеси не дало плотности: Нет плотности элементов: AL, FE, MG, MN, SI","f8dc9536159b5c39"
"RS320","Al","mc_al 2.037","databases/converted/al/mc_al_v2037_with_mobility.thermogar.tdb","f9bdf21d434fbe78b5ef3f7f2de69763fa40b81335cdc58889907d41c80cd717","D","нет (правило смеси по элементам)","включены (умолчание)","25","2722.921","2.659","+2.40","100.00","","","","","","Плотность хрома посчитана по поправке проекта ThermoGar, а не по данным physical_data_v103.pdb: тепловая функция DTCRBCC заменена. Это не наша оценка величины,…","","нет","2.6","186","","","f8dc9536159b5c39"
