Параметр,Значение
"Температура, °C",800.0
"Покрытие PDB по массе, %",100.00
"Покрытие PDB по молям, %",100.00
Качество оценки,с оценкой по правилу смеси для 0.64 % мольной доли фаз
Версия физической базы,1.03
