Показатель,Значение,Единица
Первое обнаружение выделений,0.000184325,ч
Максимальная объёмная доля,79.5711,%
Итоговая объёмная доля,79.5711,%
Итоговый средний радиус,0.493401,нм
Итоговая плотность частиц,1.48539e+27,1/м³
Пик скорости зарождения,4.16179e+28,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,не выявлено,—
