X_AL,AL_at_percent,FCC_A1_NP,GAMMA_PRIME_NP,phase_field
0.05,5.0,1.0,0.0,FCC_A1
0.060000000000000005,6.000000000000001,0.9999999999999999,0.0,FCC_A1
0.07,7.000000000000001,1.0,0.0,FCC_A1
0.08000000000000002,8.000000000000002,1.0,0.0,FCC_A1
0.09000000000000001,9.000000000000002,1.0,0.0,FCC_A1
0.1,10.0,1.0,0.0,FCC_A1
0.11000000000000001,11.000000000000002,1.0,0.0,FCC_A1
0.12000000000000001,12.000000000000002,0.9346064462360775,0.06539355376254327,FCC_A1 + GAMMA_PRIME
0.13,13.0,0.854997471641188,0.14500252835884989,FCC_A1 + GAMMA_PRIME
0.14,14.000000000000002,0.775388497038608,0.224611502961884,FCC_A1 + GAMMA_PRIME
0.15000000000000002,15.000000000000002,0.6957795224376956,0.3042204775622743,FCC_A1 + GAMMA_PRIME
0.16000000000000003,16.000000000000004,0.616170547837409,0.38382945216288883,FCC_A1 + GAMMA_PRIME
0.17000000000000004,17.000000000000004,0.5365615732337631,0.4634384267662076,FCC_A1 + GAMMA_PRIME
0.18000000000000005,18.000000000000004,0.45695259863760873,0.5430474013624235,FCC_A1 + GAMMA_PRIME
0.19,19.0,0.3773436240312401,0.622656375968812,FCC_A1 + GAMMA_PRIME
0.2,20.0,0.2977346494307657,0.702265350569497,FCC_A1 + GAMMA_PRIME
0.21000000000000002,21.000000000000004,0.21812567483508738,0.7818743251646156,FCC_A1 + GAMMA_PRIME
0.22000000000000003,22.000000000000004,0.1385167002331581,0.8614832997669606,FCC_A1 + GAMMA_PRIME
0.23000000000000004,23.000000000000004,0.05890772562945487,0.9410922743703333,FCC_A1 + GAMMA_PRIME
0.24000000000000005,24.000000000000004,0.0,1.0,GAMMA_PRIME
0.25000000000000006,25.000000000000007,0.0,0.9999999999999998,GAMMA_PRIME
