Temperature (°C),Temperature (K),NP(LIQUID),"X(LIQUID,AL)","X(LIQUID,FE)","X(LIQUID,MG)","X(LIQUID,MN)","X(LIQUID,SI)"
850.0000000000001,1123.15,1.0,0.9151275130509808,0.0012153064508867342,0.00558495942793176,0.0007412488916087866,0.07733097217859199
845.0000000000001,1118.15,1.0,0.9151275130620409,0.0012153064505259937,0.005584959416909433,0.0007412488916495858,0.07733097217887415
840.0000000000001,1113.15,1.0,0.9151275130606671,0.0012153064507078447,0.005584959418146415,0.000741248891636629,0.07733097217884194
835.0000000000001,1108.15,1.0,0.9151275130555785,0.0012153064507279627,0.00558495942336114,0.0007412488916250179,0.0773309721787074
830.0000000000001,1103.15,1.0,0.9151275130578505,0.0012153064506783967,0.005584959421078867,0.0007412488916259321,0.07733097217876649
825.0000000000001,1098.15,1.0,0.9151275130639813,0.0012153064503694414,0.005584959415071916,0.000741248891653061,0.07733097217892435
820.0000000000001,1093.15,1.0,0.9151275130587224,0.0012153064506411763,0.005584959420213611,0.0007412488916337119,0.07733097217878908
815.0000000000001,1088.15,1.0,0.9151275130476184,0.001215306451100425,0.00558495943119848,0.0007412488915850182,0.07733097217849756
810.0000000000001,1083.15,1.0,0.9151275130576701,0.0012153064507067477,0.005584959421224036,0.0007412488916372251,0.07733097217876184
805.0000000000001,1078.15,1.0,0.9151275130558553,0.0012153064506093202,0.005584959423191133,0.0007412488916345845,0.07733097217870967
800.0000000000001,1073.15,1.0,0.915127513056624,0.00121530645072491,0.005584959422293639,0.0007412488916241556,0.07733097217873335
795.0000000000001,1068.15,1.0,0.915127513059188,0.0012153064507286879,0.005584959419646319,0.0007412488916335678,0.07733097217880353
790.0000000000001,1063.15,1.0,0.9151275130679221,0.0012153064501784188,0.005584959411202557,0.0007412488916622613,0.0773309721790349
785.0000000000001,1058.15,1.0,0.9151275130462566,0.0012153064512481137,0.005584959432489549,0.0007412488915526614,0.07733097217845303
780.0000000000001,1053.15,1.0,0.9151275130282558,0.0012153064517962217,0.005584959450498247,0.0007412488914937709,0.0773309721779561
775.0000000000001,1048.15,1.0,0.9151275130569704,0.0012153064507107831,0.00558495942195441,0.0007412488916241462,0.07733097217874015
770.0000000000001,1043.15,1.0,0.9151275130499384,0.0012153064509723523,0.005584959428950564,0.0007412488915928219,0.07733097217854597
765.0000000000001,1038.15,1.0,0.9151275130592491,0.0012153064506194842,0.005584959419693511,0.0007412488916354362,0.07733097217880261
760.0000000000001,1033.15,1.0,0.9151275130592623,0.001215306450624969,0.005584959419674953,0.0007412488916345532,0.0773309721788031
755.0000000000001,1028.15,1.0,0.9151275130601979,0.0012153064506325991,0.0055849594186988235,0.000741248891640089,0.07733097217883059
750.0000000000001,1023.1500000000001,1.0,0.9151275130493457,0.0012153064510265971,0.005584959429529491,0.0007412488915747351,0.07733097217852337
745.0000000000001,1018.1500000000001,1.0,0.9151275130650212,0.001215306450440531,0.005584959413893396,0.0007412488916771571,0.07733097217896792
740.0000000000001,1013.1500000000001,1.0,0.9151275130618364,0.0012153064506335005,0.0055849594170122455,0.0007412488916389546,0.07733097217887902
735.0000000000001,1008.1500000000001,1.0,0.915127513058217,0.001215306450662326,0.005584959420719062,0.000741248891627984,0.07733097217877373
730.0000000000001,1003.1500000000001,1.0,0.9151275130484102,0.0012153064510219346,0.005584959430505814,0.0007412488915720833,0.07733097217848983
725.0000000000001,998.1500000000001,1.0,0.9151275130556206,0.0012153064507268024,0.005584959423336925,0.0007412488916187963,0.07733097217869694
720.0000000000001,993.1500000000001,1.0,0.9151275130611856,0.0012153064505726657,0.00558495941773647,0.0007412488916447552,0.07733097217886041
715.0000000000001,988.1500000000001,1.0,0.9151275130589511,0.0012153064506170597,0.005584959420004674,0.0007412488916338738,0.07733097217879338
710.0000000000001,983.1500000000001,1.0,0.915127513056786,0.0012153064507345597,0.005584959422133742,0.000741248891615395,0.07733097217873026
705.0000000000001,978.1500000000001,1.0,0.9151275130634671,0.0012153064505530918,0.005584959415370466,0.0007412488916781421,0.07733097217893113
700.0000000000001,973.1500000000001,1.0,0.9151275130499948,0.0012153064509131555,0.005584959428993306,0.0007412488915739821,0.07733097217852485
695.0000000000001,968.1500000000001,1.0,0.9151275130574059,0.0012153064506748737,0.005584959421570283,0.0007412488916016215,0.0773309721787473
690.0000000000001,963.1500000000001,1.0,0.9151275130577442,0.0012153064506573025,0.005584959421224875,0.0007412488916174793,0.07733097217875601
685.0000000000001,958.1500000000001,1.0,0.9151275130589901,0.0012153064506281565,0.005584959419953591,0.0007412488916341099,0.07733097217879399
680.0000000000001,953.1500000000001,1.0,0.9151275130554212,0.0012153064506375457,0.005584959423659626,0.0007412488915986718,0.07733097217868298
675.0000000000001,948.1500000000001,1.0,0.9151275130592568,0.0012153064506194406,0.005584959419686316,0.0007412488916347889,0.07733097217880297
670.0000000000001,943.1500000000001,1.0,0.9151275130571545,0.001215306450676198,0.0055849594218158076,0.0007412488916160036,0.0773309721787376
