"Температура, °C","Температура, K","Доля расплава, %","Доля твёрдого, %","GP_MAT, %"
850.0000000000001,1123.15,100.0,0.0,0.0
845.0000000000001,1118.15,100.0,0.0,0.0
840.0000000000001,1113.15,100.0,0.0,0.0
835.0000000000001,1108.15,100.0,0.0,0.0
830.0000000000001,1103.15,100.0,0.0,0.0
825.0000000000001,1098.15,100.0,0.0,0.0
820.0000000000001,1093.15,100.0,0.0,0.0
815.0000000000001,1088.15,100.0,0.0,0.0
810.0000000000001,1083.15,100.0,0.0,0.0
805.0000000000001,1078.15,100.0,0.0,0.0
800.0000000000001,1073.15,100.0,0.0,0.0
795.0000000000001,1068.15,100.0,0.0,0.0
790.0000000000001,1063.15,100.0,0.0,0.0
785.0000000000001,1058.15,100.0,0.0,0.0
780.0000000000001,1053.15,100.0,0.0,0.0
775.0000000000001,1048.15,100.0,0.0,0.0
770.0000000000001,1043.15,100.0,0.0,0.0
765.0000000000001,1038.15,100.0,0.0,0.0
760.0000000000001,1033.15,100.0,0.0,0.0
755.0000000000001,1028.15,100.0,0.0,0.0
750.0000000000001,1023.1500000000001,100.0,0.0,0.0
745.0000000000001,1018.1500000000001,100.0,0.0,0.0
740.0000000000001,1013.1500000000001,100.0,0.0,0.0
735.0000000000001,1008.1500000000001,100.0,0.0,0.0
730.0000000000001,1003.1500000000001,100.0,0.0,0.0
725.0000000000001,998.1500000000001,100.0,0.0,0.0
720.0000000000001,993.1500000000001,100.0,0.0,0.0
715.0000000000001,988.1500000000001,100.0,0.0,0.0
710.0000000000001,983.1500000000001,100.0,0.0,0.0
705.0000000000001,978.1500000000001,100.0,0.0,0.0
700.0000000000001,973.1500000000001,100.0,0.0,0.0
695.0000000000001,968.1500000000001,100.0,0.0,0.0
690.0000000000001,963.1500000000001,100.0,0.0,0.0
685.0000000000001,958.1500000000001,100.0,0.0,0.0
680.0000000000001,953.1500000000001,100.0,0.0,0.0
675.0000000000001,948.1500000000001,100.0,0.0,0.0
670.0000000000001,943.1500000000001,100.0,0.0,0.0
665.0000000000001,938.1500000000001,100.0,0.0,0.0
660.0000000000001,933.1500000000001,100.0,0.0,0.0
655.0000000000001,928.1500000000001,100.0,0.0,0.0
650.0000000000001,923.1500000000001,100.0,0.0,0.0
645.0000000000001,918.1500000000001,100.0,0.0,0.0
640.0000000000001,913.1500000000001,100.0,0.0,0.0
635.0000000000001,908.1500000000001,100.0,0.0,0.0
630.0000000000001,903.1500000000001,100.0,0.0,0.0
625.0000000000001,898.1500000000001,100.0,0.0,0.0
620.0000000000001,893.1500000000001,100.0,0.0,0.0
615.0000000000001,888.1500000000001,100.0,0.0,0.0
610.0000000000001,883.1500000000001,100.0,0.0,0.0
605.0000000000001,878.1500000000001,95.34212218439141,4.657877815608576,4.657877815608576
602.8906250000001,876.0406250000001,100.0,0.0,0.0
