"Температура, °C","Доля расплава, %","CR, ат.%","CR, мас.%","NI, ат.%","NI, мас.%"
1800.0,100.0,,,,
1800.0,100.0,22.008144776018476,19.999999999999833,77.9918552239815,80.00000000000016
1790.0,100.0,22.008144776018277,19.999999999999645,77.99185522398172,80.00000000000036
1780.0,100.0,22.008144776018263,19.99999999999963,77.99185522398174,80.00000000000037
1770.0,100.0,22.008144776018263,19.99999999999963,77.99185522398173,80.00000000000037
1760.0,100.0,22.008144776018167,19.99999999999954,77.99185522398182,80.00000000000045
1750.0,100.0,22.008144776018188,19.999999999999563,77.99185522398182,80.00000000000044
1740.0,100.0,22.008144776018067,19.99999999999945,77.99185522398194,80.00000000000055
1730.0,100.0,22.008144776018156,19.999999999999535,77.99185522398184,80.00000000000047
1720.0,100.0,22.00814477601806,19.99999999999944,77.99185522398194,80.00000000000055
1710.0,100.0,22.00814477601828,19.99999999999965,77.99185522398172,80.00000000000036
1700.0,100.0,22.00814477601813,19.999999999999513,77.99185522398186,80.00000000000048
1690.0,100.0,22.008144776018188,19.999999999999563,77.99185522398182,80.00000000000044
1680.0,100.0,22.00814477601823,19.9999999999996,77.99185522398177,80.0000000000004
1670.0,100.0,22.008144776018124,19.999999999999503,77.99185522398187,80.0000000000005
1660.0,100.0,22.00814477601818,19.999999999999556,77.99185522398182,80.00000000000045
1650.0,100.0,22.00814477601802,19.999999999999403,77.99185522398199,80.0000000000006
1640.0,100.0,22.008144776018078,19.99999999999946,77.99185522398191,80.00000000000055
1630.0,100.0,22.008144776018053,19.99999999999944,77.99185522398194,80.00000000000057
1620.0,100.0,22.008144776017975,19.99999999999936,77.99185522398201,80.00000000000064
1610.0,100.0,22.008144776017993,19.99999999999938,77.99185522398201,80.00000000000063
1600.0,100.0,22.008144776018,19.999999999999382,77.99185522398201,80.00000000000061
1590.0,100.0,22.008144776018085,19.999999999999467,77.99185522398191,80.00000000000054
1580.0,100.0,22.008144776018103,19.999999999999485,77.9918552239819,80.00000000000051
1570.0,100.0,22.00814477601798,19.999999999999368,77.99185522398201,80.00000000000064
1560.0,100.0,22.008144776018142,19.999999999999517,77.99185522398186,80.00000000000048
1550.0,100.0,22.008144776018312,19.999999999999673,77.9918552239817,80.00000000000031
1540.0,100.0,22.008144776018305,19.999999999999673,77.9918552239817,80.00000000000033
1530.0,100.0,22.00814477601843,19.999999999999787,77.99185522398156,80.00000000000021
1520.0,100.0,22.00814476514998,19.999999989868726,77.99185523485002,80.00000001013127
1510.0,100.0,22.008144754280995,19.99999997973717,77.991855245719,80.00000002026283
1500.0,100.0,22.008144743411663,19.999999969605287,77.99185525658834,80.00000003039473
1490.0,100.0,22.00814474341155,19.99999996960518,77.99185525658844,80.00000003039483
1480.0,100.0,22.00814473254102,19.99999995947218,77.99185526745899,80.00000004052782
1470.0,100.0,22.008144732541034,19.99999995947219,77.99185526745897,80.00000004052781
1460.0,100.0,22.00814473254103,19.999999959472188,77.99185526745897,80.00000004052781
1450.0,100.0,22.008144732541066,19.999999959472223,77.99185526745893,80.00000004052778
1440.0,100.0,22.008144732540956,19.99999995947212,77.99185526745904,80.00000004052788
1430.0,100.0,22.008144732541016,19.999999959472177,77.99185526745899,80.00000004052782
1420.0,51.7707614025118,22.708826379036942,20.653678456868324,77.29117362096306,79.34632154313167
1417.6743196063862,7.662637279907636,24.01498889319026,21.87508865973981,75.98501110680974,78.1249113402602
1415.3486392127725,1.6011787562165036,25.291264398564607,23.072170815337792,74.70873560143541,76.92782918466222
1413.0229588191587,0.42242823044156275,26.53823800185222,24.2452403620577,73.46176199814778,75.7547596379423
1410.697278425545,0.13236823003390796,27.756619529444805,25.394740690670965,72.2433804705552,74.60525930932903
1408.3715980319312,0.047410876937103996,28.94721080307426,26.521213592930337,71.05278919692574,73.47878640706966
1406.0459176383174,0.018909059267468997,30.11087835015903,27.62527426644909,69.88912164984097,72.37472573355092
1403.7202372447036,0.00824048639862518,31.2485310004768,28.70759048899263,68.75146899952321,71.29240951100738
1403.7202372447036,0.0,31.2485310004768,28.70759048899263,68.75146899952321,71.29240951100738
