Проверка,Статус,Примечание
Время возрастает,пройдена,Нет обратного хода времени.
Температура конечна,пройдена,Все точки температуры числовые.
Объёмная доля 0–1,пройдена,Физический диапазон доли.
Радиус неотрицателен,пройдена,Средний радиус неотрицателен.
Плотность неотрицательна,пройдена,Количество частиц неотрицательно.
Состав матрицы допустим,пройдена,Проверка независимых компонентов.
Объёмная доля не упёрлась в 100 %,пройдена,"Доля 100 % означает негодную сетку размеров, а не полное превращение."
Ширина класса меньше критического радиуса,пройдена,Ширина класса начальной сетки 0.06237 нм.
Зародыш не меньше минимального радиуса сетки,пройдена,Минимальный радиус сетки 0.1 нм.
