Показатель,Значение,Единица
Первое обнаружение выделений,2.3241e-05,ч
Максимальная объёмная доля,58.3412,%
Итоговая объёмная доля,58.3412,%
Итоговый средний радиус,0.484733,нм
Итоговая плотность частиц,1.03872e+27,1/м³
Пик скорости зарождения,3.63927e+29,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,не выявлено,—
