источник;T, °C;узел Ni, ат. %;узел Cr, ат. %;узел Mo, ат. %;мольная доля P, %;x(Ni) в P;x(Cr) в P;x(Mo) в P;прочие элементы в P, мольн. доля;Mo − 12/56, ат. %;Ni/Cr;y(Ni) подрешётки 1;y(Cr) подрешётки 2;y(Mo) подрешётки 3
13-А, сечение;1100,0;40,0;35,0;25,0;64,91388021043932;0,41179205515307116;0,3739222305612145;0,21428571428571427;0,0;0,0;1,1012772750499975;0,9608481286904994;0,9999999999999999;1,0
13-А, сечение;1100,0;37,5;35,0;27,5;58,14376569913106;0,41179205515307127;0,3739222305612143;0,21428571428571427;0,0;0,0;1,1012772750499982;0,9608481286904997;1,0;1,0
13-А, сечение;1100,0;35,0;35,0;30,0;40,716387296213306;0,4094617132684949;0,3762525724457908;0,21428571428571427;0,0;0,0;1,0882628937440388;0,9554106642931548;1,0;1,0
13-А, сечение;1100,0;32,5;35,0;32,5;18,190717679527715;0,4072770742611019;0,37843721145318365;0,21428571428571427;0,0;0,0;1,0762077880691867;0,9503131732759045;0,9999999999999999;1,0
13-А, сечение;1100,0;55,0;37,5;7,5;0,5730941818056668;0,39604513533610064;0,38966915037818506;0,21428571428571427;0,0;0,0;1,0163625602686985;0,9241053157842348;1,0;1,0
13-А, сечение;1100,0;52,5;37,5;10,0;17,931980542299353;0,39659950291305607;0,3891147828012297;0,2142857142857143;0,0;2,7755575615628914e-15;1,01923524996389;0,925398840130464;1,0;1,0
13-А, сечение;1100,0;50,0;37,5;12,5;35,323672521310385;0,397364032848988;0,3883502528652977;0,21428571428571427;0,0;0,0;1,0232104393319832;0,9271827433143055;1,0;1,0
13-А, сечение;1100,0;47,5;37,5;15,0;52,775058587804146;0,3984920884873677;0,387222197226918;0,21428571428571427;0,0;0,0;1,0291044556359599;0,9298148731371915;1,0;1,0
13-А, сечение;1100,0;45,0;37,5;17,5;70,35642619183207;0,4003492126122033;0,3853650731020824;0,21428571428571427;0,0;0,0;1,0388829724227542;0,9341481627618078;1,0;1,0
13-А, сечение;1100,0;42,5;37,5;20,0;88,35697027238847;0,40419220422416835;0,38152208149011735;0,21428571428571427;0,0;0,0;1,0594202113951252;0,9431151431897262;1,0;1,0
13-А, сечение;1100,0;40,0;37,5;22,5;92,2175478226908;0,40782505542201086;0,3778892302922747;0,21428571428571427;0,0;0,0;1,0792185188939694;0,9515917959846921;0,9999999999999999;1,0
13-А, сечение;1100,0;37,5;37,5;25,0;70,79830177312468;0,4042846565409221;0,38142962917336354;0,21428571428571427;0,0;0,0;1,059919381242328;0,9433308652621516;0,9999999999999999;1,0
