набор фаз;T, °C;фаза;мольная доля фазы, %;x(NI);x(CR);x(MO);x(AL);x(C);x(FE);x(MN);x(NB);x(S);x(SI);x(TI)
без P;580,0;NI2CR;40,959546886815495;0,6329305648567859;0,27360951475604117;0,09345992024751619;0,0;0,0;1,3965659337430362e-10;0,0;0,0;0,0;0,0;0,0
без P;580,0;SIGMA;5,539207828131454;0,2792719571498744;0,36744116928039955;0,3182743457277343;0,0;0,0;0,034762475712830386;0,0002500521246259563;0,0;0,0;4,5328079965048024e-12;2,666666666666648e-15
без P;595,0;FCC_A1;82,74438122811179;0,6623982380267728;0,2635423908887011;0,05639065512821668;0,004364126440225549;1,3887084180544445e-06;0,004000136351754445;0,006090200201144604;0,0004463556292831141;9,999986112915146e-15;0,0025609566399413626;0,00020555198553251155
без P;595,0;GAMMA_PRIME;1,4461771033067072;0,7457602918221592;0,03204800514886719;0,009132843586631273;0,13214263494236825;0,0;0,00532653434397709;0,0;0,0010755810540721336;0,0;0,00020493844588313502;0,07430917065604156
без P;595,0;M23C6_WY;0,11935809936339228;0,017232549255176692;0,7340025525331011;0,04186267810870101;0,0;0,20689655172413793;0,0;0,0;0,0;0,0;0,0;5,668378883322182e-06
без P;595,0;MNS_Q;0,07434384734111533;0,0;0,0;0,0;0,0;0,0;9,087497494725878e-08;0,499999909125025;0,0;0,5;0,0;0,0
без P;595,0;NI2CR;7,502172207163932;0,633219746991796;0,2681120908054817;0,09866816212262436;0,0;0,0;8,009797532370112e-11;0,0;0,0;0,0;0,0;0,0
без P;595,0;SIGMA;8,113567629382178;0,28133047762234226;0,3677347816098956;0,3267535002723701;0,0;0,0;0,024020098495890648;0,00016114199582944767;0,0;0,0;3,669319762746694e-12;2,666666666666651e-15
без P;664,0;FCC_A1;92,75799673013665;0,6529090729335632;0,2650782207913263;0,06404576253525411;0,004990739022046823;3,9007013366928005e-06;0,0041486656846425945;0,005433790636438692;0,00040712271324215517;9,999960992986283e-15;0,002285937229246134;0,000696787752893046
без P;664,0;GAMMA_PRIME;0,6900242540118041;0,7444880076074635;0,025637957478328612;0,008562067637285129;0,12938335267695575;0,0;0,003920491895670598;0,0;0,0010507075862227417;0,0;0,00023505183553097246;0,08672236328254268
