фаза;T, °C;узел Ni, ат. %;узел Cr, ат. %;узел Mo, ат. %;фазовый набор;мольная доля фазы, %;Ni в фазе, ат. %;Cr в фазе, ат. %;Mo в фазе, ат. %;евклид, ат. % (до измеренной);Чебышёв, ат. % (до измеренной);ΔNi, ат. % (до измеренной);ΔCr, ат. % (до измеренной);ΔMo, ат. % (до измеренной);y(NI) подрешётки 1;y(MO) подрешётки 2;y(NI) подрешётки 2;y(MO) подрешётки 3;y(CR) подрешётки 2;y(CR) подрешётки 3;y(NI) подрешётки 3;y(CR) подрешётки 1;y(MO) подрешётки 1
SIGMA;700,0;22,5;60,0;17,5;BCC_B2 + P_PHASE + SIGMA;11,358414231814105;27,313836003099194;35,732559646090806;36,953604350810004;17,705644886337204;13,954337867869029;-10,248601559338365;13,954337867869029;-3,7057363085306534;1,0;0,0005571744771235462;;0,6157695892963616;0,9994428255228766;0,3734442550964298;0,010786155607208836;;
SIGMA;700,0;20,0;60,0;20,0;BCC_B2 + P_PHASE + SIGMA;29,1057688617189;27,313836003099233;35,732559646090245;36,95360435081054;17,705644886336625;13,954337867868468;-10,248601559338326;13,954337867868468;-3,7057363085301205;1,0;0,0005571744771235972;;0,6157695892963705;0,9994428255228763;0,3734442550964204;0,010786155607209547;;
SIGMA;700,0;17,5;60,0;22,5;BCC_B2 + P_PHASE + SIGMA;46,85312349326096;27,313836003099173;35,73255964609176;36,95360435080907;17,70564488633816;13,954337867869981;-10,248601559338386;13,954337867869981;-3,705736308531584;1,0;0,0005571744771234362;;0,615769589296346;0,9994428255228766;0,37344425509644563;0,010786155607208447;;
SIGMA;700,0;15,0;60,0;25,0;BCC_B2 + SIGMA;54,44274940426003;27,2586045909861;35,042759920441284;37,69863548857261;17,055284258498272;13,264538142219507;-10,30383297145146;13,264538142219507;-2,960705170768044;1,0;0,0006247842117304112;;0,6281717505402702;0,9993752157882695;0,36196261738773944;0,009865632071990487;;
SIGMA;700,0;20,0;62,5;17,5;BCC_B2 + P_PHASE + SIGMA;16,453556078446912;27,313836003099183;35,73255964609114;36,95360435080968;17,705644886337538;13,954337867869363;-10,248601559338375;13,954337867869363;-3,7057363085309802;0,9999999999999998;0,0005571744771235019;;0,6157695892963561;0,9994428255228764;0,3734442550964353;0,01078615560720869;;
SIGMA;700,0;17,5;62,5;20,0;BCC_B2 + P_PHASE + SIGMA;34,20091070856991;27,31383600309923;35,732559646090515;36,95360435081025;17,7056448863369;13,954337867868738;-10,24860155933833;13,954337867868738;-3,7057363085304047;1,0;0,0005571744771235572;;0,6157695892963655;0,9994428255228764;0,3734442550964249;0,010786155607209311;;
SIGMA;700,0;15,0;62,5;22,5;BCC_B2 + P_PHASE + SIGMA;51,948265340530575;27,31383600309932;35,73255964608787;36,95360435081281;17,70564488633423;13,954337867866094;-10,24860155933824;13,954337867866094;-3,7057363085278467;1,0;0,000557174477123829;;0,6157695892964082;0,9994428255228762;0,3734442550963809;0,010786155607210853;;
SIGMA;700,0;20,0;65,0;15,0;BCC_B2 + P_PHASE + SIGMA;3,80134329447416;27,313836003099244;35,73255964608961;36,95360435081115;17,705644886335993;13,954337867867835;-10,248601559338315;13,954337867867835;-3,7057363085295094;1,0;0,0005571744771236532;;0,6157695892963806;0,9994428255228764;0,37344425509640994;0,010786155607209654;;
SIGMA;700,0;17,5;65,0;17,5;BCC_B2 + P_PHASE + SIGMA;21,548697920885974;27,313836003099198;35,732559646091076;36,95360435080973;17,70564488633747;13,954337867869299;-10,248601559338361;13,954337867869299;-3,7057363085309305;1,0;0,0005571744771235089;;0,6157695892963568;0,9994428255228766;0,37344425509643425;0,010786155607208815;;
SIGMA;700,0;15,0;65,0;20,0;BCC_B2 + P_PHASE + SIGMA;39,29605255416978;27,31383600309919;35,73255964609124;36,95360435080956;17,705644886337637;13,954337867869462;-10,248601559338368;13,954337867869462;-3,705736308531094;1,0;0,0005571744771234937;;0,6157695892963544;0,9994428255228766;0,37344425509643714;0,010786155607208778;;
