набор фаз;T, °C;фаза;фазовый набор равновесия;в равновесии;в наборе фаз расчёта;до устойчивости, уточнённое, Дж/моль;до устойчивости, по выборке 13-А, Дж/моль;то же в RT;стартов в пределах 1 Дж/моль от лучшего;стартов;Ni в точке минимума, ат. % (Ni+Cr+Mo=100);Cr в точке минимума, ат. % (Ni+Cr+Mo=100);Mo в точке минимума, ат. % (Ni+Cr+Mo=100);прочие элементы в точке минимума, ат. %;x(AL) в точке минимума;x(C) в точке минимума;x(CR) в точке минимума;x(FE) в точке минимума;x(MN) в точке минимума;x(MO) в точке минимума;x(NB) в точке минимума;x(NI) в точке минимума;x(S) в точке минимума;x(SI) в точке минимума;x(TI) в точке минимума
без P;580,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;да;1691,6982977134357;2026,4755218176942;0,23848624308476307;28;32;43,231214407378026;8,960255130634458;47,80853046198752;12,442837430784651;1,823408970486136e-07;0,0;0,07845345151346073;0,12435527440542152;7,252274289436519e-05;0,41859792738555257;3,9478545738556907e-07;0,3785202467931403;0,0;3,317619663782709e-11;0,0
без P;580,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;да;3901,5948041546676;3901,59501235115;0,5500251954734166;32;32;51,197961354461675;0,0;48,80203864553833;0,0;0,0;0,0;0,0;0,0;0,0;0,4880203864553833;0,0;0,5119796135446167;0,0;0,0;0,0
без P;580,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;нет;-1469,7128462252856;-1469,7124178540616;-0,20719196536607043;32;32;41,132468144891035;37,438960426537534;21,428571428571427;0,0;0,0;0,0;0,3743896042653754;0,0;0,0;0,21428571428571427;0,0;0,4113246814489103;0,0;0,0;0,0
без P;595,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;да;1855,6242444653496;2045,7060613330395;0,2570757334057788;29;32;43,391098865152436;14,754063358608652;41,85483777623892;8,021760644619642;3,061485621023225e-06;0,0;0,13570527710625538;0,08017079727209286;4,237293638055544e-05;0,3849734287163519;1,3747381079140767e-06;0,3991036877311964;0,0;1,3994052050341032e-11;0,0
без P;595,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;да;3636,372389576348;3636,372389987657;0,5037782308433941;32;32;51,0482150833247;0,0;48,95178491667531;0,0;0,0;0,0;0,0;0,0;0,0;0,48951784916675306;0,0;0,510482150833247;0,0;0,0;0,0
без P;595,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;нет;-1503,716578080718;-1503,7165732623107;-0,20832290982267718;32;32;41,22757093347557;37,343857637953;21,428571428571427;0,0;0,0;0,0;0,37343857637953;0,0;0,0;0,21428571428571427;0,0;0,4122757093347557;0,0;0,0;0,0
без P;664,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;нет;да;2019,1622654316377;2426,7701229478844;0,2591361050812239;28;32;42,37706765761206;15,548843755043444;42,0740885873445;7,45336859664404;8,917271767080058e-06;0,0;0,14389931117463792;0,07447091291720227;5,266600567150053e-05;0,38938151681251176;1,189716722503147e-06;0,3921854860464101;0,0;5,507705046284341e-11;0,0
без P;664,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;нет;да;3983,433125527376;3983,4331995859975;0,5112275336524403;32;32;51,03288259206978;0,0;48,96711740793021;0,0;0,0;0,0;0,0;0,0;0,0;0,4896711740793021;0,0;0,5103288259206978;0,0;0,0;0,0
без P;664,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;нет;нет;-1318,5617337132405;-1318,5607142083973;-0,16922213624597052;32;32;41,150030768732854;37,42139780269572;21,428571428571427;0,0;0,0;0,0;0,3742139780269572;0,0;0,0;0,21428571428571427;0,0;0,41150030768732854;0,0;0,0;0,0
без P;700,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;нет;да;2085,2461126018493;2602,044393224416;0,2577171667330976;28;32;41,88782758142639;15,547398154684098;42,56477426388952;7,459580968587515;1,2707505637569213e-05;0,0;0,14387627400826755;0,07452001570795114;6,2068686476607e-05;0,39389620463578173;1,0177543797593047e-06;0,3876317116700756;0,0;3,143006062125941e-11;0,0
без P;700,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;нет;да;4180,073513901028;4180,073518372665;0,5166184922864921;32;32;51,037738016658366;0,0;48,962261983341634;0,0;0,0;0,0;0,0;0,0;0,0;0,4896226198334164;0,0;0,5103773801665836;0,0;0,0;0,0
без P;700,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;нет;нет;-1211,7534872859583;-1211,752527697332;-0,14976154307878353;32;32;41,10572995862907;37,46569861279951;21,428571428571427;0,0;0,0;0,0;0,3746569861279951;0,0;0,0;0,21428571428571427;0,0;0,4110572995862907;0,0;0,0;0,0
без P;750,0;MU_PHASE;FCC_A1 + M6C + MNS_Q + SIGMA;нет;да;2163,053751008245;2787,8735211133026;0,2542692359065279;30;32;41,2326430398794;15,800279892681736;42,96707706743886;7,334152007932014;1,9044713262157198e-05;0,0;0,14641463347673742;0,0732471119529661;7,45145717517146e-05;0,398158063219476;8,488409648919986e-07;0,3820857832244665;0,0;3,752862890324588e-13;0,0
без P;750,0;D_NIMO;FCC_A1 + M6C + MNS_Q + SIGMA;нет;да;4438,816709870414;4438,816938702868;0,521787557346547;32;32;51,06894607473742;0,0;48,93105392526258;0,0;0,0;0,0;0,0;0,0;0,0;0,4893105392526258;0,0;0,5106894607473742;0,0;0,0;0,0
без P;750,0;P_PHASE;FCC_A1 + M6C + MNS_Q + SIGMA;нет;нет;-1061,7164657532871;-1061,716417743999;-0,12480588352029287;32;32;41,054074951239336;37,51735362018924;21,42857142857143;0,0;0,0;0,0;0,3751735362018924;0,0;0,0;0,2142857142857143;0,0;0,41054074951239333;0,0;0,0;0,0
FCC+σ;580,0;MU_PHASE;FCC_A1 + SIGMA;нет;нет;1793,2765101115085;1939,6781732572126;0,2528061760697557;25;32;42,724302491329205;28,548674250855168;28,727023257815627;1,6849907649032707;0,0002373089857070804;0,0;0,2806763172622594;0,016600443852552015;3,896983094170191e-06;0,28242975568889817;8,257825248434758e-06;0,42004401939980973;0,0;2,4310059589791185e-12;0,0
FCC+σ;580,0;D_NIMO;FCC_A1 + SIGMA;нет;нет;3504,4024326499616;3504,4024608344334;0,49403121794792126;32;32;50,985823359486794;0,0;49,01417664051321;0,0;0,0;0,0;0,0;0,0;0,0;0,49014176640513213;0,0;0,5098582335948679;0,0;0,0;0,0
FCC+σ;580,0;P_PHASE;FCC_A1 + SIGMA;нет;нет;-1544,8896952717498;-1544,8893896720983;-0,21778998057970197;32;32;41,25296302291042;37,31846554851815;21,428571428571427;0,0;0,0;0,0;0,3731846554851815;0,0;0,0;0,21428571428571427;0,0;0,4125296302291042;0,0;0,0;0,0
FCC+σ;595,0;MU_PHASE;FCC_A1 + SIGMA;нет;нет;1858,2308342897718;2043,2746106176273;0,2574368469193578;27;32;42,39052374426827;26,90085240918043;30,70862384655131;2,3575483186793518;0,00017810122023039762;0,0;0,2626665181549738;0,023384808045691416;6,5524688988456015e-06;0,2998465320136737;6,0214470170860436e-06;0,413911466644559;0,0;4,955771223832407e-12;0,0
FCC+σ;595,0;D_NIMO;FCC_A1 + SIGMA;нет;нет;3591,645096455834;3591,6451366188267;0,4975817706944677;32;32;50,98548959962107;0,0;49,01451040037894;0,0;0,0;0,0;0,0;0,0;0,0;0,4901451040037893;0,0;0,5098548959962106;0,0;0,0;0,0
FCC+σ;595,0;P_PHASE;FCC_A1 + SIGMA;нет;нет;-1504,3402333042052;-1504,3397943102027;-0,20840931019411474;32;32;41,23239070138659;37,33903787004198;21,428571428571427;0,0;0,0;0,0;0,37339037870041974;0,0;0,0;0,21428571428571427;0,0;0,41232390701386595;0,0;0,0;0,0
FCC+σ;664,0;MU_PHASE;FCC_A1 + SIGMA;нет;нет;2023,1013158181538;2431,5700430437864;0,2596416366040519;29;32;42,35280948638496;15,587804260016728;42,05938625359831;7,42473114388742;1,0795895543725417e-05;0,0;0,14430451702475056;0,07417830696805348;5,704846303422115e-05;0,38936589903499497;1,1600544110833256e-06;0,3920822725013803;0,0;5,783166790479967e-11;0,0
FCC+σ;664,0;D_NIMO;FCC_A1 + SIGMA;нет;нет;3981,1967007309263;3981,1968677792393;0,5109405144163043;32;32;50,99586154767638;0,0;49,004138452323616;0,0;0,0;0,0;0,0;0,0;0,0;0,49004138452323615;0,0;0,5099586154767638;0,0;0,0;0,0
FCC+σ;664,0;P_PHASE;FCC_A1 + SIGMA;нет;нет;-1311,610606906578;-1311,6105121282599;-0,1683300395792278;32;32;41,144285953292496;37,42714261813608;21,428571428571427;0,0;0,0;0,0;0,3742714261813608;0,0;0,0;0,21428571428571427;0,0;0,4114428595329249;0,0;0,0;0,0
FCC+σ;700,0;MU_PHASE;FCC_A1 + SIGMA;нет;нет;2087,1242570881373;2604,035727266906;0,2579492880509585;28;32;41,87683730247086;15,570228737160035;42,55293396036911;7,433512211274808;1,3607306382129425e-05;0,0;0,14412813882659822;0,07425329917090238;6,718565208928952e-05;0,39389756418169364;1,0299831175345495e-06;0,38763917487896;0,0;2,5675569096653017e-13;0,0
FCC+σ;700,0;D_NIMO;FCC_A1 + SIGMA;нет;нет;4175,23019128973;4175,230297002541;0,5160199023294533;32;32;51,0105432294911;0,0;48,98945677050891;0,0;0,0;0,0;0,0;0,0;0,0;0,4898945677050891;0,0;0,510105432294911;0,0;0,0;0,0
FCC+σ;700,0;P_PHASE;FCC_A1 + SIGMA;нет;нет;-1207,2299428494134;-1207,2295598893324;-0,14920247475167706;32;32;41,103405727109646;37,46802284431893;21,42857142857143;0,0;0,0;0,0;0,3746802284431893;0,0;0,0;0,2142857142857143;0,0;0,41103405727109643;0,0;0,0;0,0
FCC+σ;750,0;MU_PHASE;FCC_A1 + SIGMA;нет;нет;2164,008338266867;2786,0882629923435;0,25438144863944906;29;32;41,227306038886;15,814307971507132;42,95838598960687;7,3097982424315315;1,956409505568917e-05;0,0;0,14658313965353192;0,07299692717939982;8,062999176789088e-05;0,3981821464556163;8,61156593741711e-07;0,3821367314665364;0,0;1,4981697451435264e-12;0,0
FCC+σ;750,0;D_NIMO;FCC_A1 + SIGMA;нет;нет;4432,710039719507;4432,710147139311;0,5210697118688373;32;32;51,04444219078581;0,0;48,95555780921419;0,0;0,0;0,0;0,0;0,0;0,0;0,4895555780921419;0,0;0,5104444219078581;0,0;0,0;0,0
FCC+σ;750,0;P_PHASE;FCC_A1 + SIGMA;нет;нет;-1058,124259427805;-1058,1241313966384;-0,12438361590111181;32;32;41,05319083211087;37,5182377393177;21,428571428571427;0,0;0,0;0,0;0,375182377393177;0,0;0,0;0,21428571428571427;0,0;0,41053190832110875;0,0;0,0;0,0
