Показатель,Значение,Единица
Первое обнаружение выделений,0.0173421,ч
Максимальная объёмная доля,5.11444,%
Итоговая объёмная доля,5.11444,%
Итоговый средний радиус,10.8708,нм
Итоговая плотность частиц,8.57021e+21,1/м³
Пик скорости зарождения,1.50441e+22,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,да,—
