"Радиус класса, нм","Число частиц в классе, 1/м³"
0.10289458984375002,0.0
0.10868376953125,0.0
0.11447294921875002,0.0
0.12026212890625003,0.0
0.12605130859375002,0.0
0.13184048828125,0.0
0.13762966796875,0.0
0.14341884765625001,0.0
0.14920802734375,0.0
0.15499720703124997,0.0
0.16078638671874998,0.0
0.16657556640625001,0.0
0.17236474609375,0.0
0.17815392578125,0.0
0.18394310546874998,0.0
0.18973228515624999,0.0
0.19552146484374996,0.0
0.20131064453125,0.0
0.20709982421874998,0.0
0.21288900390624999,0.0
0.21867818359374996,0.0
0.22446736328124997,0.0
0.23025654296874995,0.0
0.23604572265624996,0.0
0.24183490234375,0.0
0.24762408203124994,0.0
0.25341326171875,0.0
0.25920244140625,0.0
0.2649916210937499,0.0
0.27078080078125,0.0
0.2765699804687499,0.0
0.28235916015624996,0.0
0.28814833984374993,0.0
0.2939375195312499,0.0
0.29972669921875,0.0
0.3055158789062499,0.0
0.31130505859374996,5.929371385099631e+20
0.31709423828124994,9.515723627948472e+21
0.3228834179687499,2.1093939586241555e+23
0.32867259765624995,3.472315369502673e+23
0.33446177734374993,4.695085158765725e+23
0.3402509570312499,9.452427357206083e+23
0.34604013671874995,1.5637206795575042e+24
0.3518293164062499,2.3948585985045021e+24
0.3576184960937499,3.343945508853263e+24
0.36340767578124994,4.467946262091445e+24
0.3691968554687499,5.766409937826041e+24
0.37498603515624995,7.217273426958264e+24
0.38077521484374993,8.762082268974176e+24
0.3865643945312499,1.0408786751542992e+25
0.39235357421874995,1.2109800131382043e+25
0.39814275390624987,1.3817376204798324e+25
0.40393193359374996,3.305958766359878e+25
0.40972111328124994,3.0518719934917995e+25
0.41551029296874986,9.502923691614913e+25
0.42129947265624995,9.300613418352588e+25
0.4270886523437499,1.4560349902908145e+26
0.4328778320312499,1.831279269738612e+26
0.4386670117187499,1.7821336741717226e+26
0.44445619140624987,1.4620428893962345e+26
0.4502453710937499,9.713183672131233e+25
0.4560345507812499,5.5810154792975935e+25
0.46182373046874986,3.1475869431991767e+25
0.4676129101562499,1.9495088442376297e+25
0.4734020898437499,1.4102836852119514e+25
0.4791912695312499,1.180397533550739e+25
0.4849804492187499,1.079905567638399e+25
0.49076962890624987,1.0299180973923101e+25
0.4965588085937499,1.0053399550302551e+25
0.5023479882812498,9.847039702051488e+24
0.5081371679687499,9.650157424459266e+24
0.5139263476562499,9.452753309145986e+24
0.5197155273437498,9.24907045672511e+24
0.5255047070312499,9.049439196485105e+24
0.5312938867187499,8.860204833669988e+24
0.5370830664062498,8.679620432134744e+24
0.5428722460937498,8.503923793360094e+24
0.5486614257812499,8.399754110784896e+24
0.5544506054687499,8.23407290305154e+24
0.5602397851562498,8.057900657303137e+24
0.5660289648437499,7.882540743617595e+24
0.5718181445312498,7.708339718320076e+24
0.5776073242187498,7.533810963343941e+24
0.5833965039062499,7.356738629326928e+24
0.5891856835937499,7.174051782889756e+24
0.5949748632812498,6.984799693963655e+24
0.6007640429687497,6.787234483554365e+24
0.6065532226562499,6.581466875749005e+24
0.6123424023437499,6.368489058874411e+24
0.6181315820312498,6.151001027029654e+24
0.6239207617187498,5.931040820717457e+24
0.6297099414062498,5.709955733102865e+24
0.6354991210937498,5.488881489147275e+24
0.6412883007812499,5.268452128044075e+24
0.6470774804687499,5.049926233672947e+24
0.6528666601562498,4.833716936140954e+24
0.6586558398437498,4.6201309957481065e+24
0.6644450195312498,4.4093878558124406e+24
0.6702341992187499,4.2011833109114973e+24
0.6760233789062499,3.9949266800600803e+24
0.6818125585937498,3.7900010255862947e+24
0.6876017382812498,3.585925891034737e+24
0.6933909179687497,3.3824166351902233e+24
0.6991800976562498,3.179516839357694e+24
0.7049692773437498,2.9806712734639087e+24
0.7107584570312498,2.7915038835868085e+24
0.7165476367187498,2.612573844123111e+24
0.7223368164062497,2.445402730497851e+24
0.7281259960937498,2.2897171350287882e+24
0.7339151757812499,2.1429891501923414e+24
0.7397043554687498,2.0020704371598019e+24
0.7454935351562497,1.8642991805122702e+24
0.7512827148437498,1.7280206910637666e+24
0.7570718945312498,1.592596329269873e+24
0.7628610742187498,1.45833573506796e+24
0.7686502539062499,1.3311213042262567e+24
0.7744394335937498,1.215074546735186e+24
0.7802286132812497,1.1105596290094686e+24
0.7860177929687497,1.0183192601942117e+24
0.7918069726562499,9.367023736470839e+23
0.7975961523437498,8.624788708698755e+23
0.8033853320312497,7.924925638131363e+23
0.8091745117187498,7.245098775129784e+23
0.8149636914062497,6.573299904318164e+23
0.8207528710937497,5.9049073818809013e+23
0.8265420507812498,5.252450961685934e+23
0.8323312304687498,4.6618262208107787e+23
0.8381204101562497,4.14529814053126e+23
0.8439095898437496,3.704309229183134e+23
0.8496987695312498,3.336546500434935e+23
0.8554879492187498,3.024722094655713e+23
0.8612771289062497,2.7472835843865355e+23
0.8670663085937498,2.4870780118693447e+23
0.8728554882812497,2.233949535087278e+23
0.8786446679687497,1.983301505286385e+23
0.8844338476562498,1.7340903806998353e+23
0.8902230273437498,1.4978895380453146e+23
0.8960122070312497,1.2942510203428987e+23
0.9018013867187497,1.1231846445290004e+23
0.9075905664062498,9.84842346758975e+22
0.9133797460937498,8.749176167298493e+22
0.9191689257812498,7.842736858653864e+22
0.9249581054687497,7.041341871414114e+22
0.9307472851562497,6.28623244428132e+22
0.9365364648437497,5.547821341120858e+22
0.9423256445312499,4.814691728341551e+22
0.9481148242187497,4.088940885417062e+22
0.9539040039062499,3.4321817606527616e+22
0.9596931835937496,2.890815248670672e+22
0.9654823632812497,2.455017502484417e+22
0.9712715429687497,2.12114282264915e+22
0.9770607226562497,1.8660426895471426e+22
0.9828499023437498,1.6584437437397002e+22
0.9886390820312496,1.4737388639443892e+22
0.9944282617187498,1.2979083282929414e+22
1.0002174414062497,1.1249048073453875e+22
1.0060066210937497,9.527629612595104e+21
1.0117958007812498,7.848724510760808e+21
1.0175849804687496,6.415926638821117e+21
1.0233741601562498,5.27671766602431e+21
1.0291633398437496,4.40258696098401e+21
1.0349525195312497,3.765386099912273e+21
1.04074169921875,3.291305023439762e+21
1.0465308789062495,2.9049672968753953e+21
1.0523200585937498,2.556187603590018e+21
1.0581092382812498,2.2203235503351779e+21
1.0638984179687496,1.8881436686278368e+21
1.0696875976562499,1.5572412263993057e+21
1.0754767773437495,1.244041470876774e+21
1.0812659570312497,9.929107863009013e+20
1.08705513671875,7.994481536197519e+20
1.0928443164062496,6.585660417050348e+20
1.0986334960937498,5.602183568836839e+20
1.1044226757812496,4.879422903107135e+20
1.1102118554687497,4.2814851340151456e+20
1.1160010351562497,3.730907039262134e+20
1.1217902148437497,3.194789979769091e+20
1.1275793945312498,2.6624103430906374e+20
1.1333685742187496,2.1330810614408374e+20
1.1391577539062496,1.6577274606929687e+20
1.1449469335937497,1.2951097652215973e+20
1.1507361132812497,1.0252839616789802e+20
1.1565252929687497,8.38691601457722e+19
1.1623144726562495,7.097928862823282e+19
1.1681036523437498,6.202193858358742e+19
1.1738928320312496,5.43837180580873e+19
1.1796820117187496,4.6614518267596235e+19
1.18547119140625,3.9088612613413044e+19
1.1912603710937495,3.2048667093549445e+19
1.1970495507812497,2.4885892433460687e+19
1.2028387304687498,1.8891570429414646e+19
1.2086279101562496,1.4486180611930386e+19
1.2144170898437499,1.133922693481618e+19
1.2202062695312497,9.140877226513687e+18
1.2259954492187497,7.949027823725969e+18
1.2317846289062497,6.931358508682402e+18
1.2375738085937495,5.968272049243961e+18
1.2433629882812498,5.078136628355798e+18
1.2491521679687496,4.211975961283083e+18
1.2549413476562497,3.296769738055898e+18
1.2607305273437495,2.515688692649123e+18
1.2665197070312497,1.881272967391039e+18
1.2723088867187498,1.420767017428255e+18
1.2780980664062496,1.0938610190940412e+18
1.2838872460937498,9.049501900910004e+17
1.2896764257812494,7.912439951384997e+17
1.2954656054687497,6.789419411940422e+17
1.3012547851562497,5.814175681559423e+17
1.3070439648437495,4.894847614651982e+17
1.3128331445312498,3.9919212669324966e+17
1.3186223242187496,3.064640437819337e+17
1.3244115039062496,2.2146870335076307e+17
1.3302006835937499,1.6650738651209568e+17
1.3359898632812495,1.2434030003563357e+17
1.3417790429687497,9.42776224380569e+16
1.3475682226562495,8.25478711066848e+16
1.3533574023437496,7.007834465231443e+16
1.3591465820312498,6.005844043620246e+16
1.3649357617187496,5.111519999287779e+16
1.3707249414062497,4.253256792733384e+16
1.3765141210937495,3.4044740245314092e+16
1.3823033007812497,2.546329726447091e+16
1.3880924804687496,1.7668482020751246e+16
1.3938816601562496,1.3349928247806688e+16
1.3996708398437496,9733353698771532.0
1.4054600195312494,7845415410305368.0
1.4112491992187497,6691142892576799.0
1.4170383789062495,5692872862105479.0
1.4228275585937495,4868753011695064.0
1.4286167382812498,4112915763373959.0
1.4344059179687494,3377484514710396.5
1.4401950976562496,2646947796405415.0
1.4459842773437497,1916637719118639.0
1.4517734570312495,1294399751124470.5
1.4575626367187497,978176258313599.4
1.4633518164062496,710705310208296.0
1.4691409960937496,600033873533461.5
1.4749301757812496,502573983814745.44
1.4807193554687497,428517642115976.3
1.4865085351562497,365312956851659.2
1.4922977148437495,305890386275574.5
1.4980868945312495,247477318607575.47
1.5038760742187496,189296886698753.0
1.5096652539062496,132331078511443.36
1.5154544335937497,88243136735221.72
1.5212436132812495,65684110667904.125
1.5270327929687497,50374734822584.55
1.5328219726562493,41889093053122.55
1.5386111523437496,35262518752515.8
1.5444003320312498,30094501158560.906
1.5501895117187494,25531241502088.438
1.5559786914062497,21156461493047.56
1.5617678710937495,16827123535210.035
1.5675570507812495,12509472019632.396
1.5733462304687498,8433755660051.675
1.5791354101562494,5606831454357.465
1.5849245898437496,4154133951163.718
1.5907137695312494,3326927246249.373
1.5965029492187495,2740284393220.358
1.6022921289062497,2317825997107.567
1.6080813085937495,1977118509383.0906
1.6138704882812496,1666590357723.3125
1.6196596679687494,1364453341701.143
1.6254488476562496,1064148718195.1506
1.6312380273437497,764831648490.1946
1.6370272070312495,499236113132.18585
1.6428163867187495,332135310928.9763
1.6486055664062493,253387364008.60687
1.6543947460937496,203134479968.10117
1.6601839257812494,168404375228.44464
1.6659731054687494,142943456648.10977
1.6717622851562497,121635946189.22826
1.6775514648437493,101703262439.42493
1.6833406445312495,82111896755.85211
1.6891298242187496,62221870700.22973
1.6949190039062494,43082766695.32733
1.7007081835937496,27821236207.095314
1.7064973632812495,18670886647.478207
1.7122865429687495,14455515270.049688
1.7180757226562495,11663856403.306005
1.7238649023437496,9728986066.588219
1.7296540820312496,8270476399.099984
1.7354432617187494,7006808425.834542
1.7412324414062494,5801832078.508942
1.7470216210937495,4609445780.62003
1.7528108007812495,3322252661.0433106
1.7585999804687495,2228880945.3749685
1.7643891601562494,1520371161.252617
1.7701783398437496,994645309.7367393
1.7759675195312494,778423606.5783095
1.7817566992187495,633002343.7763337
1.7875458789062497,529709297.1560749
1.7933350585937493,449263696.8559103
1.7991242382812496,377977780.3299139
1.8049134179687494,309375665.78617054
1.8107025976562494,241302858.9092673
1.8164917773437497,165886701.38463366
1.8222809570312495,107737549.41551976
1.8280701367187495,76315078.9625504
1.8338593164062493,49739603.343639694
1.8396484960937494,39273569.29966907
1.8454376757812496,32183103.467450805
1.8512268554687494,27020711.524610598
1.8570160351562495,22858581.42173152
1.8628052148437493,19084186.430763282
