"Время, с","Время, ч","Температура, °C","Объёмная доля, %","Средний радиус, нм","Плотность частиц, 1/м³","Скорость зарождения, 1/(м³·с)","Движущая сила, Дж/м³","Движущая сила, Дж/моль","Критический радиус, нм","Радиус зародыша, нм"
0.0,0.0,700.0,0.0,0.0,0.0,0.0,519521481.6911539,3792.5068163454234,0.3657211620614979,0.0
0.01001,2.7805555555555557e-06,700.0,0.0,0.0,0.0,1.6997758504792849e-279,519521481.6910537,3792.506816344692,0.36572116206156846,0.0
0.02003001,5.563891666666667e-06,700.0,0.0,0.0,1.7031771270906437e-281,2.6763675728726657e-126,519521481.6912782,3792.5068163463316,0.3657211620614104,0.0
0.03006004001,8.350011113888889e-06,700.0,0.0,0.0,2.684404684422795e-128,3.113485049106153e-75,519521481.6916976,3792.506816349393,0.36572116206111516,0.0
0.040100100050009996,1.1138916680558332e-05,700.0,0.0,0.0,3.1259576795092246e-77,1.0619022662663469e-49,519521481.69407123,3792.50681636672,0.36572116205944416,0.0
0.05015020015006,1.3930611152794444e-05,700.0,0.0,0.0,1.0672224027297887e-51,2.217057728102701e-34,519521481.69383323,3792.506816364983,0.36572116205961175,0.0
0.06021035035021005,1.672509731950279e-05,700.0,0.0,0.0,2.230393363821346e-36,3.621569280237409e-24,519521481.693597,3792.5068163632586,0.36572116205977806,0.0
0.07028056070056025,1.952237797237785e-05,700.0,0.0,0.0,3.6469964565239355e-26,7.144553304839681e-17,519521481.69078904,3792.5068163427604,0.3657211620617547,0.0
0.08036084126126081,2.232245590590578e-05,700.0,0.0,0.0,7.20191018813361e-19,2.114839522945081e-11,519521481.69138336,3792.5068163470987,0.36572116206133637,0.0
0.09045120210252205,2.5125333917367238e-05,700.0,0.0,0.0,2.1339493900036155e-13,3.8082821820235283e-07,519521481.69142497,3792.5068163474025,0.36572116206130706,0.4718070933715897
0.10055165330462457,2.793101480684016e-05,700.0,1.3717368590508386e-34,0.4430625000000001,3.846536832451695e-09,0.0009662408249309041,519521481.69072455,3792.5068163422893,0.36572116206180016,0.4718070933720828
0.11066220495792918,3.073950137720255e-05,700.0,3.4838636395679495e-31,0.4430625000000001,9.769227764361387e-06,0.5894719470152949,519521481.6909767,3792.5068163441297,0.36572116206162264,0.4718070933719053
0.11247713860945759,3.124364961373822e-05,700.0,3.8152658760667026e-29,0.44306250000000014,0.0010698524736035221,1.6498718492700477,519521481.6914115,3792.5068163473043,0.36572116206131655,0.47180709337159926
0.11450732445891651,3.180759012747681e-05,700.0,1.194502112019894e-28,0.4430625000000001,0.003349546481899686,5.019498985710369,519521481.69123083,3792.506816345985,0.3657211620614437,0.47180709337172644
0.11660805207667571,3.2391125576854364e-05,700.0,3.760373884160545e-28,0.4430625000000001,0.010544600120479015,15.23868728530477,519521481.6935173,3792.5068163626765,0.3657211620598341,0.47180709337011684
0.11878593247465878,3.299609235407189e-05,700.0,1.1835387866852258e-27,0.4430625,0.033188038256623004,46.23148195350077,519521481.6912934,3792.506816346442,0.3657211620613997,0.47180709337168236
0.12104519016874399,3.362366393576222e-05,700.0,3.72481320414305e-27,0.4430625000000001,0.10444883134256913,140.1552526009793,519521481.6913198,3792.506816346635,0.36572116206138106,0.47180709337166377
0.1233904165278112,3.4275115702169775e-05,700.0,1.1721820293993466e-26,0.4430625000000001,0.32869579326915627,424.57184095790905,519521481.6910896,3792.5068163449537,0.36572116206154315,0.4718070933718259
0.1258265505992138,3.495181961089272e-05,700.0,3.688529718736802e-26,0.4430625000000001,1.034313930335816,1285.1427833047794,519521481.69204146,3792.5068163519027,0.3657211620608731,0.4718070933711558
0.12835891347273404,3.565525374242612e-05,700.0,1.5299749433836335e-25,0.44310740353127986,4.2887617923242205,3886.8470929867863,519521481.6912052,3792.506816345798,0.36572116206146177,0.4718070933717444
0.1309932456866621,3.638701269073947e-05,700.0,5.181699937744499e-25,0.4431092098548829,14.524920853617356,11745.627683918396,519521481.69149375,3792.5068163479045,0.36572116206125865,0.47180709337154136
0.13373574895210216,3.714881915336171e-05,700.0,1.6669703979654557e-24,0.4431111265932151,46.72646615633189,35462.860950041475,519521481.6911586,3792.506816345458,0.3657211620614946,0.4718070933717773
0.13659313312627372,3.794253697952048e-05,700.0,5.280746451256258e-24,0.4431131623325997,148.02105642354178,106973.28845371591,519521481.69143766,3792.506816347495,0.3657211620612981,0.47180709337158083
0.13957266886580535,3.8770185796057043e-05,700.0,1.6647661284650044e-23,0.4431153268778805,466.6315663921198,322377.9871208579,519521481.6907121,3792.506816342199,0.3657211620618089,0.47180709337209165
0.14268224695787202,3.963395748829778e-05,700.0,5.2398489483159023e-23,0.4431176311617786,1468.6958891356162,970571.1045409844,519521481.6913388,3792.5068163467736,0.36572116206136773,0.47180709337165044
0.1459304453039424,4.0536234806650665e-05,700.0,1.648993533725486e-22,0.4431376553391927,4621.3033433405335,2919065.045625363,519521481.691102,3792.506816345045,0.36572116206153443,0.4718070933718171
