"Время, ч","AL, матрица, ат.%","CR, матрица, ат.%","MO, матрица, ат.%","NB, матрица, ат.%","NI, матрица, ат.%","TI, матрица, ат.%","FE, матрица, ат.%"
0.0,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
2.7805555555555557e-06,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
5.563891666666667e-06,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
8.350011113888889e-06,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
1.1138916680558332e-05,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
1.2138916680558332e-05,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
1.3138916680558331e-05,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
1.4138916680558332e-05,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
1.513891668055833e-05,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
1.613891668055833e-05,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
1.7138916680558332e-05,1.0776629944000593,20.019941099302134,1.8123879820278441,3.3174924032489117,53.70501924327598,1.1781410599092406,18.889355217835835
1.8138916680558332e-05,1.0776629944000593,20.019941099302134,1.8123879820278441,3.317492403248911,53.70501924327598,1.17814105990924,18.889355217835835
1.9138916680558333e-05,1.0776629944000593,20.01994109930214,1.8123879820278446,3.3174924032489077,53.70501924327598,1.1781410599092377,18.889355217835835
2.0138916680558337e-05,1.0776629944000602,20.01994109930215,1.812387982027846,3.317492403248893,53.705019243275956,1.1781410599092272,18.889355217835856
2.1138916680558338e-05,1.0776629944000629,20.0199410993022,1.8123879820278501,3.317492403248838,53.7050192432759,1.1781410599091884,18.88935521783597
2.2138916680558338e-05,1.0776629944000717,20.019941099302365,1.812387982027865,3.317492403248653,53.7050192432757,1.178141059909058,18.88935521783629
2.318845107613831e-05,1.0776629944000997,20.019941099302887,1.812387982027912,3.317492403248073,53.70501924327509,1.1781410599086484,18.889355217837288
2.4339743611220592e-05,1.0776629944001872,20.019941099304514,1.8123879820280595,3.3174924032462556,53.705019243273156,1.178141059907365,18.889355217840453
2.560548599382515e-05,1.0776629944004614,20.01994109930961,1.8123879820285207,3.3174924032405593,53.70501924326708,1.1781410599033426,18.889355217850422
2.7003162308277616e-05,1.0776629944013212,20.01994109932558,1.8123879820299664,3.317492403222713,53.705019243248096,1.1781410598907411,18.889355217881587
2.8553781779285086e-05,1.0776629944040144,20.01994109937561,1.8123879820344957,3.3174924031668107,53.70501924318861,1.1781410598512694,18.889355217979187
3.028294442934289e-05,1.0776629944124487,20.0199410995323,1.8123879820486806,3.31749240299172,53.7050192430023,1.1781410597276452,18.88935521828492
3.222212977079388e-05,1.0776629944388634,20.019941100023004,1.8123879820931037,3.3174924024433943,53.70501924241883,1.1781410593405084,18.889355219242297
3.44104452218476e-05,1.077662994521578,20.01994110155961,1.8123879822322115,3.3174924007263518,53.70501924059175,1.1781410581282732,18.889355222240223
3.689702341991303e-05,1.0776629947805836,20.019941106371206,1.8123879826678009,3.3174923953497553,53.70501923487071,1.1781410543325943,18.88935523162735
3.974436270731337e-05,1.077662995591635,20.019941121438258,1.8123879840318078,3.3174923785134594,53.70501921695615,1.1781410424475776,18.889355261021112
4.3033064490580464e-05,1.0776629981316719,20.01994116862498,1.8123879883035814,3.317492325785856,53.70501916085294,1.1781410052293126,18.889355353071657
4.6868684009896506e-05,1.0776630060884944,20.01994131644032,1.8123880016851766,3.3174921606134355,53.70501898511131,1.1781408886525397,18.889355641408734
5.139185492098266e-05,1.077663031024424,20.01994177967961,1.8123880436218291,3.317491642978986,53.70501843437383,1.1781405233582847,18.889356544963032
5.6793621308356126e-05,1.0776631092246822,20.01994323242,1.8123881751371629,3.3174900196543655,53.705016707315835,1.1781393779639895,18.889359378283967
6.3339304588824e-05,1.0776633547209997,20.01994779304966,1.8123885880070283,3.3174849235152832,53.7050112858447,1.1781357829556374,18.889368271906694
7.140684788046133e-05,1.0776641266215425,20.019962132786187,1.8123898861709946,3.3174689000899757,53.70499424080717,1.1781244825617674,18.88939623096236
8.15507287036424e-05,1.0776665592721821,20.020007324578774,1.8123939773449578,3.31741840288829,53.70494052930912,1.1780888830932879,18.889484323513393
9.461329443529872e-05,1.0776742515284599,20.020150225020192,1.8124069139985357,3.3172587333977432,53.704770716473064,1.177976376578365,18.88976278300365
0.00011192974701288416,1.0776986906414698,20.020604234859558,1.8124480151172906,3.316751516665184,53.704231337763716,1.1776192264746304,18.89064697847814
0.0001357346938941954,1.0777768246759771,20.022055745004025,1.8125794190774007,3.3151306067685975,53.70250761681079,1.1764788958206847,18.893470891842522
0.00017006153160471294,1.078028342300409,20.02672823357673,1.8130024154335505,3.3099200820823174,53.69696327318621,1.1728167278664632,18.902540925554312
0.00020401988506818286,1.0785475612120414,20.03637385756358,1.8138756254448194,3.2991988979994975,53.68552747146216,1.1652716511959502,18.92120493512195
0.00022504660286348712,1.0790602132420224,20.045897487397756,1.8147377914307796,3.288659116569633,53.674243983692506,1.157830321291811,18.939571086375494
0.00024207403525841254,1.079570855982097,20.055383790288552,1.8155965782407844,3.278204855338919,53.66301487008024,1.1504325881875312,18.95779646188188
0.0002569422529804257,1.0800802575914137,20.064847036467928,1.8164532777466122,3.2678193865332337,53.65182333609234,1.14306789351247,18.975908812055998
0.00027043039328093695,1.080588713909295,20.074292721796684,1.8173083874837959,3.2574957531953594,53.640662796914896,1.135732093853635,18.993919532846338
0.0002829559368282786,1.0810963783851661,20.083723696932662,1.8181621655199278,3.2472299759930117,53.62952978526913,1.1284230688725756,19.011834929027536
0.0002947734922693672,1.0816033473827877,20.09314175204293,1.8190147739172886,3.2370192817674464,53.618422102599204,1.1211395534009876,19.029659188889358
0.00030605193683784477,1.0821096907106076,20.1025481839717,1.8198663300780638,3.22686146834108,53.60733815313622,1.113880710097435,19.047395463664895
0.0003169101685927863,1.0826154647528707,20.111944040179324,1.820716928827935,3.2167546311356108,53.596276655732844,1.1066459417595926,19.065046337611825
0.000327435750926138,1.0831207188501948,20.121330237275423,1.8215666531467791,3.2066970303875992,53.585236502988955,1.0994347982068415,19.0826140591442
0.0003376954983826684,1.0836254986864822,20.13070762393814,1.822415579864697,3.1966870207801534,53.57421668604796,1.0922469258663248,19.100100664816246
0.0003477418879966104,1.0841298482154487,20.140077016703632,1.823263782902001,3.1867230114298657,53.56321625166641,1.0850820389498075,19.117508050132837
0.0003576171451522437,1.0846338108191684,20.149439221488564,1.8241113352176312,3.1768034420606286,53.55223427621385,1.0779399015461952,19.134838012653955
0.0003673559571951013,1.08513743004044,20.15879504719542,1.8249583100408313,3.166926768018518,53.54126984927584,1.070820316420164,19.15209227900879
0.00037698733834352313,1.085640750067666,20.168145314720174,1.8258047816866043,3.1570914504494487,53.530322062783064,1.0637231176903956,19.169272522602643
0.000386535948813165,1.0861438160699395,20.17749086317726,1.8266508261192562,3.14729594965541,53.51939000354986,1.0566481658381652,19.186380375590105
0.000396023051195515,1.0866466744391634,20.186832554397487,1.8274965213595857,3.1375387204976395,53.50847274787848,1.04959534392907,19.203417437498583
0.00040546721878812424,1.0871493729731119,20.196171276328787,1.8283419477927523,3.1278182088363353,53.497569357675715,1.0425645556010965,19.220385280792197
0.000414884870116352,1.0876519610205684,20.205507945732467,1.8291871884123658,3.1181328490871305,53.48667887724762,1.0355557226659662,19.237285455833884
0.000424290678976561,1.088154489600428,20.2148435103958,1.8300323290207894,3.1084810620656653,53.47580033094632,1.0285687842644426,19.254119493706558
0.00043369789364810113,1.0886570115045298,20.224178951042372,1.8308774584020824,3.0988612534272946,53.4649327209692,1.02160369536491,19.270888909289596
0.0004431185886420957,1.0891595813888881,20.233515283026886,1.8317226684754297,3.0892718122472544,53.454075025656564,1.0146604261754428,19.28759520302954
0.00045256386560547836,1.0897873339898876,20.245177157065655,1.8327784078630214,3.0773422586282915,53.440611229724176,1.00621579781049,19.308087814918473
0.00046208091504219574,1.0904133654905641,20.256807057911264,1.833831252745042,3.0654869595687284,53.4272005958613,0.9978290018203526,19.328431766602748
0.0004716783680777555,1.091037795035205,20.26840719892876,1.834881403495519,3.053707266901611,53.41384214551146,0.9895027677573004,19.34862142237015
0.00048136420626547315,1.0916607151404443,20.279979298816446,1.8359290157067256,3.0420004582981695,53.40053415989831,0.9812371162742225,19.36865923586568
0.0004911459830584531,1.0922822187135068,20.291525083528708,1.8369742456278224,3.030363523667665,53.38727487143191,0.9730319851062773,19.388548071924117
0.0005010308845436232,1.0929023998750593,20.30304630156226,1.838017251548707,3.018793489357034,53.374062514021205,0.9648873522700753,19.40829069136567
0.000511025770301669,1.0935213540851936,20.314544726296564,1.8390581940118909,3.007287415387815,53.36089531946785,0.9568032320893597,19.427889758661323
0.0005211372064057483,1.0941391782438175,20.326022157858798,1.8400972359813332,2.9958423933473317,53.3477715144555,0.9487796713873724,19.447347848725848
0.0005313714917648782,1.0947559707665289,20.337480424533386,1.8411345429700445,2.984455544903915,53.33468931797641,0.9408167456928967,19.466667453156816
0.000541734678830376,1.0953718316370284,20.348921383735693,1.8421702831282336,2.9731240206055976,53.321646939341335,0.9329145563667732,19.485850985185337
0.0005522325894655749,1.0959868624383358,20.360346922591916,1.8432046272958063,2.96184499927594,53.30864257662896,0.9250732274420725,19.504900784326974
0.0005628708266013172,1.0966011663610997,20.37175895809347,1.84423774901634,2.9506156876989835,53.29567441548474,0.9172929029299367,19.523819120415443
0.0005736547822309348,1.097214848192287,20.38315943688686,1.8452698245180619,2.9394333210288544,53.28274062833876,0.9095737436119389,19.542608197423238
0.0005845896421756365,1.0978280142812922,20.3945503346441,1.8463010326568534,2.9282951629491483,53.26983937416179,0.9019159255239382,19.561270155782886
0.0005956803879644305,1.0984407724840783,20.405933655024995,1.8473315548223073,2.91719850696726,53.25696879842876,0.8943196366942319,19.57980707557837
0.0006069317961813522,1.0990532320865591,20.417311428253814,1.8483615748088729,2.9061406774848164,53.2441270336562,0.8867850754936651,19.598220978216073
0.0006183484355357234,1.0996655037053888,20.42868570927621,1.849391278649006,2.895119031600978,53.231312200211256,0.8793124482137404,19.616513828343418
0.0006299346619005748,1.1002776991659875,20.44005857549332,1.850420854408039,2.8841309609494283,53.218522407643995,0.8719019676576786,19.63468753468155
0.0006416946115417673,1.10088993135714,20.451432124060602,1.8514504919396435,2.873173894322118,53.20575575632426,0.8645538505200142,19.652743951476225
0.0006536321927832112,1.1015023140629,20.46280846876507,1.8524803826031329,2.8622453000745014,53.193010339612,0.8572683167365085,19.670684878145885
0.0006657510762744515,1.1021149617704376,20.474189736455674,1.8535107189403068,2.851342689434932,53.18028424635174,0.8500455871093922,19.688512059937512
