Показатель,Значение,Единица
Первое обнаружение выделений,4.68687e-05,ч
Максимальная объёмная доля,49.8644,%
Итоговая объёмная доля,49.8644,%
Итоговый средний радиус,0.406111,нм
Итоговая плотность частиц,1.32264e+27,1/м³
Пик скорости зарождения,2.30115e+29,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,не выявлено,—
