generating points... ALPHA_MN BETA_MN BETA_RHOMBO_B CEMENTITE CHI_A12 CR3MN5 CU2S DELTA DIAMOND_A4 DIGENITE DISULF D_NIMO ETA FCC_A1 FC_MONO FC_ORTHO FES_P GAMMA_DP GAMMA_PRIME GRAPHITE G_PHASE HCP_A3 KSI_CARBIDE LAVES LAV_C14 LIQUID M23C6 M23C6_WY M3C2 M6C M6C_WY M7C3 MNS_Q MOB2 MU_PHASE NBB NI2CR NIAL NITI2 PYRR P_PHASE R_PHASE TIB TIB2 TIS ZET done
Adding points to LIQUID. T=1653.162, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1652.662, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1652.162, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1651.662, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1651.162, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1650.662, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1650.162, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1649.662, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1649.162, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. T=1648.662, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 1.000, NP(LIQUID)=1.000 
Adding points to LIQUID. Adding points to FCC_A1. New phases seen: {'FCC_A1'}. T=1648.162, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.01, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.998, NP(LIQUID)=0.998 NP(FCC_A1)=0.002 
