доля твёрдого;T, °C;|dT/d(fs^0.5)|, K
0,900880181761078;1328,01220703125;396,7667964911326
0,9031848302982107;1327,51220703125;412,1034984834567
0,9054075939705398;1327,01220703125;427,8208867561078
0,9075523178123566;1326,51220703125;443,92300034432066
0,9096226266650023;1326,01220703125;460,41362007282174
0,9116219389741288;1325,51220703125;477,2966996667407
0,9135534806955368;1325,01220703125;494,57613197090546
0,9154202987614051;1324,51220703125;512,2555710106391
0,9172252715477351;1324,01220703125;530,3389590291492
0,9189711207054024;1323,51220703125;548,829946451199
0,9206604206588007;1323,01220703125;567,7323086780854
0,9222956081991119;1322,51220703125;587,0497087453701
0,9238789910269417;1322,01220703125;606,7858118131985
0,9254127554540914;1321,51220703125;626,9443886049487
0,9268989742769694;1321,01220703125;647,5290372802451
0,9283396138439564;1320,51220703125;668,5432609846566
0,9297365400321659;1320,01220703125;689,9907477073011
0,9310915244403845;1319,51220703125;711,8750947587223
0,9324062502314308;1319,01220703125;734,1997491527278
0,9336823168040479;1318,51220703125;756,96843587214
0,934921245306947;1318,01220703125;780,1845038399757
0,9361244826222466;1317,51220703125;803,8516149093479
0,9372934059663489;1317,01220703125;827,9732017647123
0,9384293269271013;1316,51220703125;852,5526127862477
0,9395334945184602;1316,01220703125;877,5936710167864
0,9406070994218497;1315,51220703125;903,0996236328505
0,9416512771250259;1315,01220703125;929,073749441791
0,9426671103876483;1314,51220703125;955,5198204120953
0,9436556327081069;1314,01220703125;982,4410662783349
0,9446178304773767;1313,51220703125;1009,8412046349447
0,9455546460795825;1313,01220703125;1037,7233553688552
0,9464669798936322;1312,51220703125;1066,0909731280135
0,9473556923431004;1312,01220703125;1094,947715864433
0,9482216064180438;1311,51220703125;1124,2967142011921
0,9490655093575229;1311,01220703125;1154,141401984396
0,949888154419466;1310,51220703125;1184,4853147028075
0,9506902626189885;1310,01220703125;1215,3319999817056
0,9514725246910272;1309,51220703125;1246,6844989492076
0,9522356023323608;1309,01220703125;1278,5462618024856
0,9529801295382075;1308,51220703125;1310,920941947538
0,9537067142080583;1308,01220703125;1343,8117952282053
0,9544159392496983;1307,51220703125;1377,2223976474174
0,9551083641059439;1307,01220703125;1411,1557204287283
0,9557845255969075;1306,51220703125;1445,615295188023
0,9564449389215273;1306,01220703125;1480,6048629788281
0,9570900990302424;1305,51220703125;1516,1274085300759
0,957720481197579;1305,01220703125;1552,1868023794987
0,9583365424236072;1304,51220703125;1588,78574921082
0,9589387217777232;1304,01220703125;1625,928223973641
0,9595274414765754;1303,51220703125;1663,6175804997495
0,9601031077360362;1303,01220703125;1701,8569321741927
0,9606661113105063;1302,51220703125;1740,6499382930901
0,9612168282469118;1302,01220703125;1780,0001167573048
0,9617556207314835;1301,51220703125;1819,9103699692087
0,9622828373553376;1301,01220703125;1860,3847749882477
0,9627988140437292;1300,51220703125;1901,4262916561404
0,9633038744769468;1300,01220703125;1943,038340296725
0,9637983305235864;1299,51220703125;1985,2247482390449
0,9642824829519374;1299,01220703125;2027,9885597874531
0,964756621738578;1298,51220703125;2071,333507428577
0,9652210266311733;1298,01220703125;2115,262899715304
0,9656893636187293;1297,51220703125;2098,010225551731
0,9661808551313028;1297,01220703125;1999,6682445508823
0,9666614956378943;1296,51220703125;2045,3274479231789
0,9669342907869355;1296,2228551793983;2085,871091652045
0,9671978208065661;1296,055406191058;1249,7136061679116
