generating points... ALPHA_MN BETA_MN BETA_RHOMBO_B CEMENTITE CHI_A12 CR3MN5 CU2S DELTA DIAMOND_A4 DIGENITE DISULF D_NIMO ETA FCC_A1 FC_MONO FC_ORTHO FES_P GAMMA_DP GAMMA_PRIME GRAPHITE G_PHASE HCP_A3 KSI_CARBIDE LAVES LAV_C14 LIQUID M23C6 M23C6_WY M3C2 M6C M6C_WY M7C3 MNS_Q MOB2 MU_PHASE NBB NI2CR NIAL NITI2 PYRR P_PHASE R_PHASE SIGMA TI4C2S2 TIB TIB2 TIS ZET done
Adding points to LIQUID. Adding points to FCC_A1. T=1646.372, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.00, X_MO=0.08, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.725, NP(LIQUID)=0.967 NP(FCC_A1)=0.033 
Adding points to LIQUID. Adding points to FCC_A1. T=1645.872, X_AL=0.01, X_C=0.00, X_CR=0.27, X_FE=0.01, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.701, NP(LIQUID)=0.967 NP(FCC_A1)=0.033 
Adding points to LIQUID. Adding points to FCC_A1. T=1645.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.01, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.679, NP(LIQUID)=0.967 NP(FCC_A1)=0.033 
Adding points to LIQUID. Adding points to FCC_A1. T=1644.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.01, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.657, NP(LIQUID)=0.968 NP(FCC_A1)=0.032 
Adding points to LIQUID. Adding points to FCC_A1. T=1644.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.01, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.636, NP(LIQUID)=0.968 NP(FCC_A1)=0.032 
Adding points to LIQUID. Adding points to FCC_A1. T=1643.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.01, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.616, NP(LIQUID)=0.968 NP(FCC_A1)=0.032 
Adding points to LIQUID. Adding points to FCC_A1. T=1643.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.01, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.596, NP(LIQUID)=0.969 NP(FCC_A1)=0.031 
Adding points to LIQUID. Adding points to FCC_A1. T=1642.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.578, NP(LIQUID)=0.969 NP(FCC_A1)=0.031 
Adding points to LIQUID. Adding points to FCC_A1. T=1642.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.560, NP(LIQUID)=0.969 NP(FCC_A1)=0.031 
Adding points to LIQUID. Adding points to FCC_A1. T=1641.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.543, NP(LIQUID)=0.970 NP(FCC_A1)=0.030 
Adding points to LIQUID. Adding points to FCC_A1. T=1641.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.527, NP(LIQUID)=0.970 NP(FCC_A1)=0.030 
Adding points to LIQUID. Adding points to FCC_A1. T=1640.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.511, NP(LIQUID)=0.970 NP(FCC_A1)=0.030 
Adding points to LIQUID. Adding points to FCC_A1. T=1640.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.496, NP(LIQUID)=0.971 NP(FCC_A1)=0.029 
Adding points to LIQUID. Adding points to FCC_A1. T=1639.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.482, NP(LIQUID)=0.971 NP(FCC_A1)=0.029 
Adding points to LIQUID. Adding points to FCC_A1. T=1639.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.468, NP(LIQUID)=0.971 NP(FCC_A1)=0.029 
Adding points to LIQUID. Adding points to FCC_A1. T=1638.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.455, NP(LIQUID)=0.972 NP(FCC_A1)=0.028 
Adding points to LIQUID. Adding points to FCC_A1. T=1638.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.442, NP(LIQUID)=0.972 NP(FCC_A1)=0.028 
Adding points to LIQUID. Adding points to FCC_A1. T=1637.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.430, NP(LIQUID)=0.972 NP(FCC_A1)=0.028 
Adding points to LIQUID. Adding points to FCC_A1. T=1637.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.418, NP(LIQUID)=0.972 NP(FCC_A1)=0.028 
Adding points to LIQUID. Adding points to FCC_A1. T=1636.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.406, NP(LIQUID)=0.973 NP(FCC_A1)=0.027 
Adding points to LIQUID. Adding points to FCC_A1. T=1636.372, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.395, NP(LIQUID)=0.973 NP(FCC_A1)=0.027 
Adding points to LIQUID. Adding points to FCC_A1. T=1635.872, X_AL=0.01, X_C=0.00, X_CR=0.28, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.385, NP(LIQUID)=0.973 NP(FCC_A1)=0.027 
