элемент;вход A3: ось дендрита;вход A3: междендритная;вход A3: размах;новый расчёт: ось дендрита;новый расчёт: междендритная;новый расчёт: размах;новый расчёт: точек;расхождение размаха, %
MO;0,0699463192301689;0,1193572829741844;0,04941096374401549;0,06761443547443172;0,11850200698474934;0,05088757151031763;160;2,99
CR;0,2568761922478086;0,3072565109814356;0,05038031873362697;0,25354654622314016;0,3058184362406781;0,05227189001753796;160;3,75
