T, °C;источник;текст
950,0;предупреждение расчёта;"Плотность фаз MNS_Q, P_PHASE оценена по правилу смеси; их суммарная мольная доля 0.89 % — влияние на плотность сплава пренебрежимо."
950,0;качество результата;с оценкой по правилу смеси для 0.89 % мольной доли фаз
1000,0;предупреждение расчёта;"Плотность фаз MNS_Q оценена по правилу смеси; их суммарная мольная доля 0.07 % — влияние на плотность сплава пренебрежимо."
1000,0;качество результата;с оценкой по правилу смеси для 0.07 % мольной доли фаз
1050,0;предупреждение расчёта;"Плотность фаз MNS_Q оценена по правилу смеси; их суммарная мольная доля 0.07 % — влияние на плотность сплава пренебрежимо."
1050,0;качество результата;с оценкой по правилу смеси для 0.07 % мольной доли фаз
1100,0;предупреждение расчёта;"Плотность фаз MNS_Q оценена по правилу смеси; их суммарная мольная доля 0.07 % — влияние на плотность сплава пренебрежимо."
1100,0;качество результата;с оценкой по правилу смеси для 0.07 % мольной доли фаз
1150,0;предупреждение расчёта;"Плотность фаз MNS_Q оценена по правилу смеси; их суммарная мольная доля 0.07 % — влияние на плотность сплава пренебрежимо."
1150,0;качество результата;с оценкой по правилу смеси для 0.07 % мольной доли фаз
1200,0;предупреждение расчёта;"Плотность фаз MNS_Q оценена по правилу смеси; их суммарная мольная доля 0.07 % — влияние на плотность сплава пренебрежимо."
1200,0;качество результата;с оценкой по правилу смеси для 0.07 % мольной доли фаз
1250,0;предупреждение расчёта;"Плотность фаз MNS_Q оценена по правилу смеси; их суммарная мольная доля 0.07 % — влияние на плотность сплава пренебрежимо."
1250,0;качество результата;с оценкой по правилу смеси для 0.07 % мольной доли фаз
1300,0;предупреждение расчёта;"Плотность фаз MNS_Q оценена по правилу смеси; их суммарная мольная доля 0.07 % — влияние на плотность сплава пренебрежимо."
1300,0;качество результата;с оценкой по правилу смеси для 0.07 % мольной доли фаз
