T, °C;доля твёрдого;точка посчитана;x(LIQUID,AL);x(LIQUID,C);x(LIQUID,CR);x(LIQUID,FE);x(LIQUID,MN);x(LIQUID,MO);x(LIQUID,NB);x(LIQUID,NI);x(LIQUID,S);x(LIQUID,SI);x(LIQUID,TI);накоплено FCC_A1;накоплено MNS_Q;накоплено SIGMA;накоплено TI4C2S2;накоплено TIS
1371,01220703125;0,23853918475677188;True;0,005560167338646874;0,00032026273815706773;0,2735938616883086;0,005150798527937925;0,006004445046382326;0,08438000456553249;0,0004618787633045438;0,6203485251179838;0,00048816583394783433;0,0022771707991543657;0,0014147195806443165;0,23853918475677188;0,0;0,0;0,0;0,0
1370,51220703125;0,2626770491882384;True;0,005564078080831367;0,0003300790552158509;0,2740937851044836;0,005128373255672819;0,006076572284618379;0,08482012333970441;0,00047198786499223267;0,6192773357171251;0,0005041469780990616;0,002297249474543655;0,0014362688447133896;0,2626770491882384;0,0;0,0;0,0;0,0
1370,01220703125;0,28580796564526617;True;0,005567817243773262;0,0003400889673981118;0,27458820032730136;0,005106069933145413;0,0061486954194278865;0,08525807327971224;0,00048221808772643297;0,6182129524700548;0,0005204750311086459;0,0023174988641779916;0,0014579103761737427;0,28580796564526617;0,0;0,0;0,0;0,0
1369,51220703125;0,30798264513512935;True;0,0055713873105551134;0,00035029365031378535;0,2750771766216236;0,005083889182546869;0,006220808035614815;0,08569385229204313;0,0004925691839335961;0,6171553123948466;0,0005371528655862144;0,002337916178641729;0,0014796422842946863;0,30798264513512935;0,0;0,0;0,0;0,0
1369,01220703125;0,32924884198579746;True;0,00557479071410082;0,00036069424687996005;0,2755607821734188;0,0050618315780333;0,0062929038418039086;0,08612745860141587;0,0005030408901970769;0,6161043532911915;0,0005541832985237291;0,002358498667540651;0,0015014626968943225;0,32924884198579746;0,0;0,0;0,0;0,0
1368,51220703125;0,34965154829075606;True;0,005578029869852533;0,00037129186495411825;0,2760390840811365;0,005039897647471542;0,0063649766688642275;0,08655889073449533;0,0005136329275591288;0,6150600137372614;0,000571569091060708;0,0023792436168683334;0,0015233697604760496;0,34965154829075606;0,0;0,0;0,0;0,0
1368,01220703125;0,36923317428353297;True;0,005581107152958733;0,00038208757826189776;0,27651214839854316;0,005018087873645454;0,006437020468994156;0,08698814751909267;0,0005243450019143074;0,6140222330696515;0,0005893129482149545;0,0024001483482303716;0,0015453616404927926;0,36923317428353297;0,0;0,0;0,0;0,0
1367,51220703125;0,38803371546321086;True;0,0055840249066530165;0,00039308242702846045;0,27698004014023275;0,004996402695910479;0,0065090293143942705;0,0874152280763319;0,0005351768043693021;0,6129909513779414;0,0006074175187314233;0,002421210216841582;0,0015674365215655863;0,38803371546321086;0,0;0,0;0,0;0,0
1367,01220703125;0,40609090784439955;True;0,005586785442717636;0,00040427741740749516;0,27744282330724473;0,004974842511470915;0,006580997395590228;0,08784013181155784;0,0005461280115798141;0,6119661094894577;0,0006258853948461063;0,0024424266105167835;0,0015895926076107494;0,40609090784439955;0,0;0,0;0,0;0,0
1366,51220703125;0,42344037218482106;True;0,00558939103974921;0,0004156735215246952;0,27790056090540727;0,00495340767692846;0,006652919020244987;0,08826285841081273;0,0005571982860853184;0,6109476489570577;0,0006447191121184026;0,0024637949481934613;0,0016118281218778583;0,42344037218482106;0,0;0,0;0,0;0,0
1366,01220703125;0,4401157479820237;True;0,00559184394851669;0,0004272716780805099;0,2783533149565309;0,004932098509377467;0,006724788611838389;0,08868340783183994;0,000568387276684496;0,6099355120519052;0,0006639211493336397;0,002485312678659263;0,0016341413072334385;0,4401157479820237;0,0;0,0;0,0;0,0
1365,51220703125;0,4561488178785926;True;0,00559414638913705;0,0004390727914276809;0,2788011465248034;0,004910915287861011;0,006796600708468699;0,08910178029747994;0,0005796946187615591;0,6089296417477409;0,0006834939284985144;0,002506977279574755;0,0016565304262466927;0,4561488178785926;0,0;0,0;0,0;0,0
1365,01220703125;0,4715696236962882;True;0,005596300545061629;0,0004510777334250766;0,2792441157351335;0,0048898582545780465;0,0068683499612084906;0,08951797629308719;0,0005911199346465033;0,6079299817104945;0,0007034398147379607;0,002528786256524891;0,0016789937611024063;0,4715696236962882;0,0;0,0;0,0;0,0
1364,51220703125;0,48640657420491046;True;0,005598308571360284;0,00046328734238462423;0,27968228178481114;0,004868927616109201;0,006940031132676792;0,08993199655832003;0,0006026628339211921;0,6069364762883571;0,0007237611162095068;0,0025507371419103185;0,0017015296139398063;0,48640657420491046;0,0;0,0;0,0;0,0
