доля твёрдого;T, °C;|dT/d(fs^0.5)|, K
0,8517571112551345;1336,51220703125;353,26785249965275
0,8543029369181717;1336,01220703125;362,78838786997454
0,8574221571949598;1335,51220703125;296,5895091741633
0,8608733356906563;1335,01220703125;268,57543447561267
0,8642067960673234;1334,51220703125;278,60835681790593
0,8674275879230546;1334,01220703125;288,90180508789524
0,8705405012166493;1333,51220703125;299,45991911846966
0,8735500821740038;1333,01220703125;310,28682024867146
0,8764606477024375;1332,51220703125;321,386645239367
0,879276298392581;1332,01220703125;332,7635979682848
0,8820774062192207;1331,51220703125;335,02585673760814
0,8850852044127857;1331,01220703125;312,51754774859535
0,8879764823872968;1330,51220703125;325,65438674304863
0,8907571659326574;1330,01220703125;339,14761154861606
0,8934328143858966;1329,51220703125;353,00135803056105
0,896008646654866;1329,01220703125;367,2197731199207
0,8984895659218841;1328,51220703125;381,8069078121519
0,900880181761078;1328,01220703125;396,7667964911326
0,9031848302982107;1327,51220703125;412,1034984834567
0,9054075939705398;1327,01220703125;427,8208867561078
0,9075523178123566;1326,51220703125;443,92300034432066
0,9096226266650023;1326,01220703125;460,41362007282174
0,9116219389741288;1325,51220703125;477,2966996667407
0,9135534806955368;1325,01220703125;494,57613197090546
0,9154202987614051;1324,51220703125;512,2555710106391
0,9172252715477351;1324,01220703125;530,3389590291492
0,9189711207054024;1323,51220703125;548,829946451199
0,9206604206588007;1323,01220703125;567,7323086780854
0,9222956081991119;1322,51220703125;587,0497087453701
0,9238789910269417;1322,01220703125;606,7858118131985
0,9254127554540914;1321,51220703125;626,9443886049487
0,9268989742769694;1321,01220703125;647,5290372802451
0,9283396138439564;1320,51220703125;668,5432609846566
0,9297365400321659;1320,01220703125;689,9907477073011
0,9310915244403845;1319,51220703125;711,8750947587223
0,9324062502314308;1319,01220703125;734,1997491527278
0,9336823168040479;1318,51220703125;756,96843587214
0,934921245306947;1318,01220703125;780,1845038399757
0,9361244826222466;1317,51220703125;803,8516149093479
0,9372934059663489;1317,01220703125;827,9732017647123
0,9384293269271013;1316,51220703125;852,5526127862477
0,9395334945184602;1316,01220703125;877,5936710167864
0,9406070994218497;1315,51220703125;903,0996236328505
0,9416512771250259;1315,01220703125;929,073749441791
0,9426671103876483;1314,51220703125;955,5198204120953
0,9436556327081069;1314,01220703125;982,4410662783349
0,9446178304773767;1313,51220703125;1009,8412046349447
0,9455546460795825;1313,01220703125;1037,7233553688552
0,9464669798936322;1312,51220703125;1066,0909731280135
0,9473556923431004;1312,01220703125;1094,947715864433
0,9482216064180438;1311,51220703125;1124,2967142011921
0,9490655093575229;1311,01220703125;1154,141401984396
0,949888154419466;1310,51220703125;1184,4853147028075
