пункт;что считалось;pdens;шаг, K;пик рабочего набора, ГиБ;пик фиксации, ГиБ;минимум свободной физической, ГиБ;ушло в подкачку;прирост подкачки, ГиБ;минут под наблюдением;замер завершён
11J-3, пересборка;три прогона A4 пересобраны из кэша, равновесий не считалось;100;0,5;0,209;0,867;3,345;нет;0,0;0,2;True
11J-1, марганец;Mn 0,20 % шагом 0,5 K (Mn 0,50 % взят из кэша);100;0,5;2,293;3,319;0,763;да;0,202;23,4;True
11J-1, пересборка;обе сводки пересобраны из кэша, равновесий не считалось;100;0,5;0,182;0,841;3,366;нет;0,0;0,2;True
11J-2, пересборка;"pdens 300 взят из кэша, pdens 500 пропущен по нехватке памяти; равновесий не считалось";300;0,5;0,204;0,862;3,345;нет;0,0;0,1;True
11J-2, пересборка;сводка пересобрана из кэша, равновесий не считалось;300;0,5;2,017;2,966;4,211;нет;0,0;43,3;True
11J-2, снятый прогон;pdens 500, прогон снят системой по нехватке памяти;500;0,5;1,967;2,838;1,865;нет;0,001;26,2;False
