T, °C;доля LIQUID
1450,0;1,0000000000010023
1445,0;1,0000000000346319
1440,0;1,0000000000023381
1435,0;0,9999999999788541
1430,0;0,9999999999852262
1425,0;0,9999999999894733
1420,0;1,0000000000004272
1415,0;1,0000000000289293
1410,0;1,0000000000472296
1405,0;0,999999999984995
1400,0;1,0000000000486589
1395,0;0,9999999999469931
1390,0;0,9999999999694921
1385,0;0,9999999999198188
1380,0;1,0000000000059859
1375,0;0,9972076115532126
1370,0;0,6810345715508811
1365,0;0,4275322800439541
1360,0;0,24164186382397929
1355,0;0,129599391698036
1350,0;0,07469995000837396
1345,0;0,006861808393567308
1340,0;0,0
1335,0;0,0
1330,0;0,0
1325,0;0,0
1320,0;0,0
1315,0;0,0
1310,0;0,0
1305,0;0,0
1300,0;0,0
1295,0;0,0
1290,0;0,0
1285,0;0,0
1280,0;0,0
1275,0;0,0
1270,0;0,0
1265,0;0,0
1260,0;0,0
1255,0;0,0
1250,0;0,0
1245,0;0,0
1240,0;0,0
1235,0;0,0
1230,0;0,0
1225,0;0,0
1220,0;0,0
1215,0;0,0
1210,0;0,0
1205,0;0,0
1200,0;0,0
