состав;исключённые фазы;шаг по температуре, K;pdens;равновесный ликвидус, °C;шагов;доля твёрдого на последней посчитанной точке;T последней посчитанной точки, °C;неразрешённый остаток жидкости, доля;T при fs=0.5, °C;T при fs=0.9, °C;T при fs=0.95, °C;T при fs=0.99, °C;Kou на фактическом окне fs 0.901…0.967, K;Kou на фактическом окне: точек;Kou на фактическом окне: заявленное окно покрыто;Kou на фактическом окне: почему не покрыто;Kou на фиксированном окне fs 0.85…0.95, K;Kou на фиксированном окне: точек;Kou на фиксированном окне: покрыто полностью;Kou на фиксированном окне: почему не покрыто;Kou на фиксированном окне: зазоры у границ;интервал по Шейлю до последней посчитанной точки, K;интервал — оценка снизу;секунд;причина останова;пояснение;флаг converged;фазы в последнем неудачном равновесии;неудачных равновесий в протоколе;механизм останова;остаток дописан искусственной точкой;последние строки протокола;Kou на фактическом окне fs 0.900…0.982, K
Mn 0,50 %, S 0,020 %;нет;0,5;100;1375,01;172;0,967198;1296,055;0,032802;1364,04;1328,2;1310,44;не достигнуто;2115,3;66;False;расчёт остановился на доле твёрдого 0.9672, не дойдя до верхней границы окна 0.99: зазор 0.0228;1184,5;53;True;;[0.001757, 0.000112];78,96;True;1314,0;отказ сходимости: равновесие не найдено;"в последнем неудачном равновесии не найдено ни одной фазы (Found set()) — это отказ численного метода, а не инвариантная реакция; исчерпан предел дробления шага (scheil: MAXIMUM_STEP_SIZE_REDUCTION); остаток жидкости объявлен твёрдым одним куском";False;ни одной;10;исчерпан предел дробления шага (scheil: MAXIMUM_STEP_SIZE_REDUCTION);True;['No liquid phase found at T=1569.038, X_AL=0.00, X_C=0.01, X_CR=0.32, X_FE=0.00, X_MN=0.01, X_MO=0.14, X_NB=0.00, X_S=0.00, X_SI=0.01, X_TI=0.00. (Found set()) (Convergence failure) Stepping back and reducing step size.', 'No liquid phase found at T=1569.066, X_AL=0.00, X_C=0.01, X_CR=0.32, X_FE=0.00, X_MN=0.01, X_MO=0.14, X_NB=0.00, X_S=0.00, X_SI=0.01, X_TI=0.00. (Found set()) (Convergence failure) Stepping back and reducing step size.', 'No liquid phase found at T=1569.089, X_AL=0.00, X_C=0.01, X_CR=0.32, X_FE=0.00, X_MN=0.01, X_MO=0.14, X_NB=0.00, X_S=0.00, X_SI=0.01, X_TI=0.00. (Found set()) (Convergence failure) Stepping back and reducing step size.', 'No liquid phase found at T=1569.109, X_AL=0.00, X_C=0.01, X_CR=0.32, X_FE=0.00, X_MN=0.01, X_MO=0.14, X_NB=0.00, X_S=0.00, X_SI=0.01, X_TI=0.00. (Found set()) (Convergence failure) Maximum step size reduction exceeded. Stopping.'];
Mn 0,20 %, S 0,020 %;нет;0,5;100;1377,72;228;0,982436;1285,305;0,017564;1367,35;1332,59;1314,05;не достигнуто;;115;False;расчёт остановился на доле твёрдого 0.9824, не дойдя до верхней границы окна 0.99: зазор 0.0076;1219,6;66;True;;[0.000904, 0.000273];92,42;True;1291,9;отказ сходимости: равновесие не найдено;"в последнем неудачном равновесии не найдено ни одной фазы (Found set()) — это отказ численного метода, а не инвариантная реакция; исчерпан предел дробления шага (scheil: MAXIMUM_STEP_SIZE_REDUCTION); остаток жидкости объявлен твёрдым одним куском";False;ни одной;10;исчерпан предел дробления шага (scheil: MAXIMUM_STEP_SIZE_REDUCTION);True;['No liquid phase found at T=1558.287, X_AL=0.00, X_C=0.01, X_CR=0.34, X_FE=0.00, X_MN=0.01, X_MO=0.13, X_NB=0.01, X_S=0.00, X_SI=0.01, X_TI=0.00. (Found set()) (Convergence failure) Stepping back and reducing step size.', 'No liquid phase found at T=1558.315, X_AL=0.00, X_C=0.01, X_CR=0.34, X_FE=0.00, X_MN=0.01, X_MO=0.13, X_NB=0.01, X_S=0.00, X_SI=0.01, X_TI=0.00. (Found set()) (Convergence failure) Stepping back and reducing step size.', 'No liquid phase found at T=1558.338, X_AL=0.00, X_C=0.01, X_CR=0.34, X_FE=0.00, X_MN=0.01, X_MO=0.13, X_NB=0.01, X_S=0.00, X_SI=0.01, X_TI=0.00. (Found set()) (Convergence failure) Stepping back and reducing step size.', 'No liquid phase found at T=1558.358, X_AL=0.00, X_C=0.01, X_CR=0.34, X_FE=0.00, X_MN=0.01, X_MO=0.13, X_NB=0.01, X_S=0.00, X_SI=0.01, X_TI=0.00. (Found set()) (Convergence failure) Maximum step size reduction exceeded. Stopping.'];3494,0
