T, °C;доля твёрдого;точка посчитана;x(LIQUID,AL);x(LIQUID,C);x(LIQUID,CR);x(LIQUID,FE);x(LIQUID,MN);x(LIQUID,MO);x(LIQUID,NB);x(LIQUID,NI);x(LIQUID,S);x(LIQUID,SI);x(LIQUID,TI);накоплено FCC_A1;накоплено MNS_Q;накоплено SIGMA;накоплено TIS
1373,72216796875;0,24946306088507123;True;0,005568311219306881;0,00032471592797224044;0,27416172573731223;0,005147696849809706;0,0024169988284079773;0,08460024398521697;0,00046645491213055565;0,6231094356261457;0,000495374019549943;0,002284565454716892;0,0014244774394309029;0,24946306088507123;0,0;0,0;0,0
1373,22216796875;0,2745410411401421;True;0,0055730187353822454;0,00033522836491856506;0,2747256836433851;0,005124663175510816;0,0024478481716835063;0,08506677242975605;0,0004772368632857726;0,6219839760217731;0,0005124982998539619;0,0023057169915853444;0,0014473573028653717;0,2745410411401421;0,0;0,0;0,0
1372,72216796875;0,29851318273017824;True;0,005577532666065535;0,0003459581289826852;0,27528356765672923;0,005101760590853872;0,002478695373601511;0,08553082975368713;0,0004881540922889017;0,6208660917300017;0,000530012049745628;0,0023270615132983856;0,0014703364447454866;0,29851318273017824;0,0;0,0;0,0
1372,22216796875;0,32143827955836;True;0,005581855830465652;0,00035690646409216003;0,27583545341801163;0,005078989942602202;0,0025095371780057226;0,08599241155413925;0,000499206199931164;0,6197557130461515;0,0005479183951793608;0,0023485955399772667;0,0014934124314441599;0,32143827955836;0,0;0,0;0,0
1371,72216796875;0,34337151462141247;True;0,005585991006224297;0,0003680745660020904;0,2763814154448153;0,005056352012735107;0,002540370396789519;0,08645151394296237;0,000510392765868418;0,6186527709850221;0,0005662203822939973;0,002370315641716714;0,0015165828555701118;0,34337151462141247;0,0;0,0;0,0
1371,22216796875;0,3643647093778686;True;0,005589940945790783;0,00037946358438729905;0,27692152713507334;0,005033847520820087;0,002571191909033717;0,08690813352381846;0,0005217133490848648;0,617557197282638;0,0005849209771286359;0,0023922184359499;0,001539845336274864;0,3643647093778686;0,0;0,0;0,0
1370,72216796875;0,38446655446899963;True;0,005593708364574386;0,0003910746208963633;0,2774558607987668;0,005011477125804748;0,0026019986604340294;0,08736226738871045;0,0005331674885833957;0,6164689243809928;0,0006040230655259001;0,0024143005860479596;0,0015631975196634276;0,38446655446899963;0,0;0,0;0,0
1370,22216796875;0,40372282275834287;True;0,005597295936906751;0,0004029087301686207;0,27798448767682243;0,004989241427978292;0,0026327876628220717;0,08781391310715661;0,00054475470394288;0,6153878854222926;0,0006235294532107568;0,0024365587994737642;0,001586637079225304;0,40372282275834287;0,0;0,0;0,0
1369,72216796875;0,4221765662032169;True;0,005600706316355718;0,0004149669200106013;0,2785074779433623;0,004967140971201305;0,002663555993248325;0,08826306870547333;0,0005564744958506003;0,6143140142473554;0,0006434428654828834;0,002458989825694559;0,0016101617159649736;0,4221765662032169;0,0;0,0;0,0
1369,22216796875;0,4398682981638913;True;0,005603942110851009;0,0004272501524407844;0,27902490074175695;0,004945176244539367;0,0026943007934457698;0,0887097326666599;0,0005683263467286756;0,6132472453820801;0,0006637659475403758;0,0024815904551774557;0,0016337691587795936;0,4398682981638913;0,0;0,0;0,0
1368,72216796875;0,45683616226698504;True;0,0056070058998472306;0,00043975934256768176;0,27953682418981984;0,004923347684163327;0,0027250192691333163;0,08915390391181204;0,0005803097212781957;0,6121875140343558;0,000684501264561856;0,002504357517615889;0,0016574571648449187;0,45683616226698504;0,0;0,0;0,0
